People's United Financial Debt/Equity Ratio Historical Data,People's United Financial Debt/Equity Ratio Historical Data,People's United Financial Debt/Equity Ratio Historical Data,People's United Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$55.49B,$7.60B,7.3
2020-09-30,$53.04B,$7.83B,6.77
2020-06-30,$53.75B,$7.76B,6.92
2020-03-31,$52.71B,$7.73B,6.82
2019-12-31,$50.64B,$7.95B,6.37
2019-09-30,$44.94B,$7.13B,6.3
2019-06-30,$44.58B,$7.05B,6.33
2019-03-31,$41.47B,$6.62B,6.26
2018-12-31,$41.34B,$6.53B,6.33
2018-09-30,$38.17B,$5.96B,6.41
2018-06-30,$38.67B,$5.90B,6.56
2018-03-31,$38.26B,$5.85B,6.54
2017-12-31,$38.63B,$5.82B,6.64
2017-09-30,$38.25B,$5.75B,6.66
2017-06-30,$37.32B,$5.70B,6.54
2017-03-31,$35.04B,$5.20B,6.74
2016-12-31,$35.47B,$5.14B,6.9
2016-09-30,$35.83B,$4.86B,7.37
2016-06-30,$35.32B,$4.83B,7.31
2016-03-31,$34.47B,$4.79B,7.2
2015-12-31,$34.22B,$4.73B,7.23
2015-09-30,$32.75B,$4.73B,6.92
2015-06-30,$32.50B,$4.69B,6.94
2015-03-31,$31.73B,$4.68B,6.78
2014-12-31,$31.36B,$4.63B,6.77
2014-09-30,$30.12B,$4.66B,6.47
2014-06-30,$29.29B,$4.64B,6.32
2014-03-31,$28.52B,$4.60B,6.21
2013-12-31,$28.65B,$4.57B,6.27
2013-09-30,$26.87B,$4.64B,5.8
2013-06-30,$26.67B,$4.68B,5.7
2013-03-31,$25.71B,$4.89B,5.26
2012-12-31,$25.29B,$5.04B,5.02
2012-09-30,$23.47B,$5.11B,4.6
2012-06-30,$23.01B,$5.15B,4.47
2012-03-31,$22.63B,$5.18B,4.37
2011-12-31,$22.34B,$5.22B,4.28
2011-09-30,$21.92B,$5.29B,4.14
2011-06-30,$20.13B,$5.19B,3.88
2011-03-31,$19.80B,$5.16B,3.84
2010-12-31,$19.82B,$5.22B,3.8
2010-09-30,$16.53B,$5.37B,3.08
2010-06-30,$16.54B,$5.41B,3.06
2010-03-31,$16.11B,$5.48B,2.94
2009-12-31,$16.16B,$5.10B,3.17
2009-09-30,$15.70B,$5.12B,3.07
2009-06-30,$15.68B,$5.14B,3.05
2009-03-31,$15.52B,$5.16B,3.01
2008-12-31,$14.99B,$5.17B,2.9
2008-09-30,$14.80B,$5.24B,2.83
2008-06-30,$15.18B,$5.21B,2.91
2008-03-31,$15.89B,$5.22B,3.05
2007-12-31,$9.11B,$4.45B,2.05
2007-09-30,$9.02B,$4.53B,1.99
2007-06-30,$9.32B,$4.50B,2.07
2007-03-31,$10.24B,$1.36B,7.54
2006-12-31,$9.35B,$1.34B,6.98
2006-09-30,$9.26B,$1.35B,6.85
2006-06-30,$9.68B,$1.33B,7.3
2006-03-31,$9.78B,$1.31B,7.48
2005-12-31,$9.64B,$1.29B,7.48
2005-09-30,$9.62B,$1.27B,7.59
2005-06-30,$0.00B,,0.0
2005-03-31,$9.64B,$1.22B,7.93
