Regions Financial Debt/Equity Ratio Historical Data,Regions Financial Debt/Equity Ratio Historical Data,Regions Financial Debt/Equity Ratio Historical Data,Regions Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$129.28B,$18.11B,7.14
2020-09-30,$127.28B,$17.90B,7.11
2020-06-30,$126.44B,$17.63B,7.17
2020-03-31,$116.21B,$17.33B,6.71
2019-12-31,$109.95B,$16.30B,6.75
2019-09-30,$111.57B,$16.58B,6.73
2019-06-30,$110.91B,$16.61B,6.68
2019-03-31,$113.28B,$15.52B,7.3
2018-12-31,$110.60B,$15.09B,7.33
2018-09-30,$109.81B,$14.77B,7.44
2018-06-30,$108.78B,$15.78B,6.9
2018-03-31,$107.05B,$15.87B,6.75
2017-12-31,$108.10B,$16.19B,6.68
2017-09-30,$106.65B,$16.62B,6.42
2017-06-30,$107.75B,$16.89B,6.38
2017-03-31,$107.82B,$16.72B,6.45
2016-12-31,$109.30B,$16.66B,6.56
2016-09-30,$107.81B,$17.37B,6.21
2016-06-30,$108.83B,$17.39B,6.26
2016-03-31,$108.33B,$17.21B,6.29
2015-12-31,$109.21B,$16.84B,6.48
2015-09-30,$107.84B,$16.95B,6.36
2015-06-30,$104.96B,$16.90B,6.21
2015-03-31,$105.40B,$17.05B,6.18
2014-12-31,$102.69B,$16.87B,6.09
2014-09-30,$102.07B,$17.16B,5.95
2014-06-30,$101.69B,$17.03B,5.97
2014-03-31,$101.80B,$16.13B,6.31
2013-12-31,$101.63B,$15.77B,6.45
2013-09-30,$101.38B,$15.49B,6.55
2013-06-30,$103.38B,$15.33B,6.74
2013-03-31,$103.98B,$15.74B,6.61
2012-12-31,$105.85B,$15.50B,6.83
2012-09-30,$106.90B,$14.90B,7.17
2012-06-30,$107.89B,$14.46B,7.46
2012-03-31,$110.75B,$17.53B,6.32
2011-12-31,$110.55B,$16.50B,6.7
2011-09-30,$112.50B,$17.26B,6.52
2011-06-30,$114.02B,$16.89B,6.75
2011-03-31,$115.14B,$16.62B,6.93
2010-12-31,$115.62B,$16.73B,6.91
2010-09-30,$116.34B,$17.16B,6.78
2010-06-30,$117.88B,$17.46B,6.75
2010-03-31,$119.59B,$17.64B,6.78
2009-12-31,$124.44B,$17.88B,6.96
2009-09-30,$121.49B,$18.49B,6.57
2009-06-30,$124.07B,$18.74B,6.62
2009-03-31,$125.16B,$16.82B,7.44
2008-12-31,$129.44B,$16.81B,7.7
2008-09-30,$124.59B,$19.71B,6.32
2008-06-30,$124.73B,$19.71B,6.33
2008-03-31,$124.23B,$20.02B,6.21
2007-12-31,$121.22B,$19.82B,6.12
2007-09-30,$118.39B,$19.85B,5.97
2007-06-30,$117.93B,$19.70B,5.99
2007-03-31,$117.75B,$20.31B,5.8
2006-12-31,$122.67B,$20.70B,5.93
2006-09-30,$75.94B,$11.04B,6.88
2006-06-30,$75.36B,$10.70B,7.04
2006-03-31,$73.94B,$10.66B,6.94
2005-12-31,$74.17B,$10.61B,6.99
2005-09-30,$73.95B,$10.65B,6.95
2005-06-30,$74.54B,$10.74B,6.94
2005-03-31,$73.64B,$10.65B,6.92
