Regions Financial Price/Book Ratio Historical Data,Regions Financial Price/Book Ratio Historical Data,Regions Financial Price/Book Ratio Historical Data,Regions Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,21.23,,1.13
2020-12-31,16.0,$18.86,0.85
2020-09-30,11.33,$18.65,0.61
2020-06-30,10.78,$18.36,0.59
2020-03-31,8.6,$18.10,0.47
2019-12-31,16.26,$17.02,0.96
2019-09-30,14.86,$17.19,0.86
2019-06-30,13.88,$16.54,0.84
2019-03-31,13.02,$15.32,0.85
2018-12-31,12.2,$14.72,0.83
2018-09-30,16.58,$13.99,1.18
2018-06-30,15.95,$14.16,1.13
2018-03-31,16.59,$14.13,1.17
2017-12-31,15.36,$14.28,1.08
2017-09-30,13.47,$14.27,0.94
2017-06-30,12.86,$14.09,0.91
2017-03-31,12.69,$13.88,0.91
2016-12-31,12.49,$13.72,0.91
2016-09-30,8.55,$14.05,0.61
2016-06-30,7.32,$13.81,0.53
2016-03-31,6.71,$13.50,0.5
2015-12-31,8.14,$12.98,0.63
2015-09-30,7.6,$13.00,0.58
2015-06-30,8.68,$12.70,0.68
2015-03-31,7.87,$12.70,0.62
2014-12-31,8.75,$12.46,0.7
2014-09-30,8.28,$12.45,0.67
2014-06-30,8.71,$12.36,0.71
2014-03-31,9.07,$11.71,0.78
2013-12-31,8.05,$11.45,0.7
2013-09-30,7.52,$11.24,0.67
2013-06-30,7.71,$10.99,0.7
2013-03-31,6.61,$11.14,0.59
2012-12-31,5.74,$10.97,0.52
2012-09-30,5.79,$10.55,0.55
2012-06-30,5.42,$10.23,0.53
2012-03-31,5.29,$12.41,0.43
2011-12-31,3.44,$13.11,0.26
2011-09-30,2.66,$13.71,0.19
2011-06-30,4.94,$13.42,0.37
2011-03-31,5.77,$13.23,0.44
2010-12-31,5.56,$13.32,0.42
2010-09-30,5.77,$13.66,0.42
2010-06-30,5.21,$13.90,0.37
2010-03-31,6.21,$14.79,0.42
2009-12-31,4.18,$14.99,0.28
2009-09-30,4.9,$15.67,0.31
2009-06-30,3.18,$15.77,0.2
2009-03-31,3.35,$24.20,0.14
2008-12-31,6.09,$24.32,0.25
2008-09-30,7.26,$28.48,0.25
2008-06-30,8.18,$28.37,0.29
2008-03-31,14.39,$28.82,0.5
2007-12-31,16.91,$28.58,0.59
2007-09-30,20.75,$28.46,0.73
2007-06-30,23.03,$27.96,0.82
2007-03-31,24.36,$28.14,0.87
2006-12-31,25.49,$28.36,0.9
2006-09-30,24.61,$24.27,1.01
2006-06-30,21.94,$23.56,0.93
2006-03-31,23.08,$23.33,0.99
