Regions Financial ROA - Return on Assets Historical Data,Regions Financial ROA - Return on Assets Historical Data,Regions Financial ROA - Return on Assets Historical Data,Regions Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.99B,$147.39B,0.70%
2020-09-30,$0.77B,$145.18B,0.56%
2020-06-30,$0.65B,$144.07B,0.49%
2020-03-31,$1.26B,$133.54B,0.98%
2019-12-31,$1.50B,$126.24B,1.18%
2019-09-30,$1.53B,$128.15B,1.20%
2019-06-30,$1.69B,$127.52B,1.33%
2019-03-31,$1.68B,$128.80B,1.33%
2018-12-31,$1.70B,$125.69B,1.36%
2018-09-30,$1.62B,$124.58B,1.31%
2018-06-30,$1.37B,$124.56B,1.11%
2018-03-31,$1.31B,$122.91B,1.06%
2017-12-31,$1.20B,$124.29B,0.97%
2017-09-30,$1.16B,$123.27B,0.93%
2017-06-30,$1.17B,$124.64B,0.93%
2017-03-31,$1.13B,$124.55B,0.90%
2016-12-31,$1.10B,$125.97B,0.87%
2016-09-30,$1.09B,$125.18B,0.87%
2016-06-30,$1.03B,$126.21B,0.82%
2016-03-31,$1.04B,$125.54B,0.83%
2015-12-31,$1.00B,$126.05B,0.81%
2015-09-30,$0.93B,$124.79B,0.76%
2015-06-30,$0.99B,$121.86B,0.82%
2015-03-31,$1.01B,$122.45B,0.84%
2014-12-31,$1.10B,$119.56B,0.92%
2014-09-30,$1.08B,$119.23B,0.92%
2014-06-30,$1.07B,$118.72B,0.91%
2014-03-31,$1.04B,$117.93B,0.88%
2013-12-31,$1.06B,$117.40B,0.90%
2013-09-30,$1.13B,$116.86B,0.95%
2013-06-30,$1.15B,$118.71B,0.95%
2013-03-31,$1.17B,$119.72B,0.97%
2012-12-31,$0.99B,$121.35B,0.80%
2012-09-30,$0.13B,$121.80B,0.10%
2012-06-30,$-0.07B,$122.35B,-0.06%
2012-03-31,$-0.30B,$128.28B,-0.23%
2011-12-31,$-0.43B,$127.05B,-0.33%
2011-09-30,$0.21B,$129.76B,0.16%
2011-06-30,$-0.10B,$130.91B,-0.08%
2011-03-31,$-0.49B,$131.76B,-0.37%
2010-12-31,$-0.76B,$132.35B,-0.57%
2010-09-30,$-1.41B,$133.50B,-1.02%
2010-06-30,$-1.63B,$135.34B,-1.18%
2010-03-31,$-1.54B,$137.23B,-1.10%
2009-12-31,$-1.26B,$142.32B,-0.89%
2009-09-30,$-6.90B,$139.99B,-4.83%
2009-06-30,$-6.38B,$142.81B,-4.44%
2009-03-31,$-5.93B,$141.98B,-4.11%
2008-12-31,$-5.62B,$146.25B,-3.88%
2008-09-30,$0.69B,$144.29B,0.48%
2008-06-30,$1.01B,$144.44B,0.71%
2008-03-31,$1.26B,$144.25B,0.89%
2007-12-31,$1.25B,$141.04B,0.90%
2007-09-30,$1.54B,$138.24B,1.11%
2007-06-30,$1.50B,$137.62B,1.19%
2007-03-31,$1.39B,$138.07B,1.23%
2006-12-31,$1.35B,$143.37B,1.35%
2006-09-30,$1.25B,$86.98B,1.46%
2006-06-30,$1.15B,$86.06B,1.35%
2006-03-31,$1.05B,$84.60B,1.24%
2005-12-31,$1.00B,$84.79B,1.18%
