Loews Debt/Equity Ratio Historical Data,Loews Debt/Equity Ratio Historical Data,Loews Debt/Equity Ratio Historical Data,Loews Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$61.06B,$19.18B,3.18
2020-09-30,$60.84B,$18.62B,3.27
2020-06-30,$60.03B,$18.41B,3.26
2020-03-31,$60.08B,$19.18B,3.13
2019-12-31,$60.31B,$21.93B,2.75
2019-09-30,$60.24B,$22.26B,2.71
2019-06-30,$59.88B,$22.39B,2.67
2019-03-31,$58.55B,$21.90B,2.67
2018-12-31,$56.93B,$21.39B,2.66
2018-09-30,$56.84B,$21.89B,2.6
2018-06-30,$58.87B,$21.86B,2.69
2018-03-31,$56.94B,$23.85B,2.39
2017-12-31,$55.02B,$24.57B,2.24
2017-09-30,$55.17B,$24.36B,2.27
2017-06-30,$55.00B,$24.11B,2.28
2017-03-31,$53.38B,$23.73B,2.25
2016-12-31,$53.23B,$23.36B,2.28
2016-09-30,$55.10B,$23.41B,2.35
2016-06-30,$56.15B,$23.03B,2.44
2016-03-31,$54.10B,$23.13B,2.34
2015-12-31,$53.20B,$22.81B,2.33
2015-09-30,$53.38B,$24.15B,2.21
2015-06-30,$53.68B,$24.33B,2.21
2015-03-31,$53.99B,$24.63B,2.19
2014-12-31,$53.72B,$24.65B,2.18
2014-09-30,$53.41B,$25.12B,2.13
2014-06-30,$57.54B,$25.36B,2.27
2014-03-31,$56.69B,$25.12B,2.26
2013-12-31,$55.03B,$24.91B,2.21
2013-09-30,$54.69B,$24.82B,2.2
2013-06-30,$55.40B,$24.64B,2.25
2013-03-31,$55.90B,$24.72B,2.26
2012-12-31,$55.35B,$24.68B,2.24
2012-09-30,$54.69B,$24.86B,2.2
2012-06-30,$53.09B,$24.24B,2.19
2012-03-31,$53.12B,$24.12B,2.2
2011-12-31,$52.07B,$23.20B,2.24
2011-09-30,$52.74B,$23.57B,2.24
2011-06-30,$52.59B,$23.48B,2.24
2011-03-31,$52.52B,$23.45B,2.24
2010-12-31,$53.17B,$23.11B,2.3
2010-09-30,$53.32B,$23.50B,2.27
2010-06-30,$52.33B,$22.73B,2.3
2010-03-31,$53.86B,$21.99B,2.45
2009-12-31,$52.99B,$21.09B,2.51
2009-09-30,$53.93B,$21.19B,2.55
2009-06-30,$52.87B,$18.76B,2.82
2009-03-31,$52.77B,$16.90B,3.12
2008-12-31,$52.74B,$17.14B,3.08
2008-09-30,$57.68B,$15.74B,3.66
2008-06-30,$58.00B,$16.78B,3.46
2008-03-31,$59.64B,$17.26B,3.46
2007-12-31,$58.52B,$17.59B,3.33
2007-09-30,$61.69B,$17.28B,3.57
2007-06-30,$62.40B,$17.14B,3.64
2007-03-31,$59.82B,$16.92B,3.54
2006-12-31,$60.38B,$16.50B,3.66
2006-09-30,$59.70B,$16.08B,3.71
2006-06-30,$57.57B,$14.14B,4.07
2006-03-31,$58.02B,$13.31B,4.36
2005-12-31,$57.81B,$13.09B,4.42
2005-09-30,$61.81B,$12.82B,4.82
2005-06-30,$61.28B,$12.90B,4.75
2005-03-31,$61.97B,$12.16B,5.1
