Hancock Whitney Debt/Equity Ratio Historical Data,Hancock Whitney Debt/Equity Ratio Historical Data,Hancock Whitney Debt/Equity Ratio Historical Data,Hancock Whitney Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$30.20B,$3.44B,8.78
2020-09-30,$29.82B,$3.38B,8.83
2020-06-30,$29.90B,$3.32B,9.02
2020-03-31,$28.34B,$3.42B,8.28
2019-12-31,$27.13B,$3.47B,7.83
2019-09-30,$26.96B,$3.59B,7.52
2019-06-30,$25.44B,$3.32B,7.67
2019-03-31,$25.30B,$3.19B,7.93
2018-12-31,$25.16B,$3.08B,8.16
2018-09-30,$25.12B,$2.98B,8.43
2018-06-30,$25.00B,$2.93B,8.53
2018-03-31,$24.40B,$2.90B,8.43
2017-12-31,$24.45B,$2.89B,8.48
2017-09-30,$23.95B,$2.86B,8.37
2017-06-30,$23.82B,$2.81B,8.46
2017-03-31,$22.72B,$2.76B,8.22
2016-12-31,$21.26B,$2.72B,7.82
2016-09-30,$20.62B,$2.49B,8.28
2016-06-30,$20.60B,$2.46B,8.36
2016-03-31,$20.39B,$2.42B,8.42
2015-12-31,$20.42B,$2.41B,8.46
2015-09-30,$19.16B,$2.45B,7.81
2015-06-30,$19.11B,$2.43B,7.86
2015-03-31,$18.30B,$2.43B,7.55
2014-12-31,$18.28B,$2.47B,7.39
2014-09-30,$17.48B,$2.51B,6.97
2014-06-30,$16.86B,$2.49B,6.76
2014-03-31,$16.54B,$2.46B,6.72
2013-12-31,$16.58B,$2.43B,6.84
2013-09-30,$16.45B,$2.36B,6.98
2013-06-30,$16.59B,$2.35B,7.07
2013-03-31,$16.59B,$2.48B,6.7
2012-12-31,$17.01B,$2.45B,6.93
2012-09-30,$16.09B,$2.43B,6.61
2012-06-30,$16.38B,$2.40B,6.83
2012-03-31,$16.92B,$2.38B,7.12
2011-12-31,$17.41B,$2.37B,7.35
2011-09-30,$16.99B,$2.43B,7.0
2011-06-30,$17.37B,$2.39B,7.28
2011-03-31,$7.25B,$1.06B,6.86
2010-12-31,$7.28B,$0.86B,8.5
2010-09-30,$7.37B,$0.87B,8.52
2010-06-30,$7.64B,$0.86B,8.87
2010-03-31,$7.72B,$0.85B,9.07
2009-12-31,$7.86B,$0.84B,9.38
2009-09-30,$6.15B,$0.66B,9.39
2009-06-30,$6.42B,$0.63B,10.17
2009-03-31,$6.47B,$0.63B,10.35
2008-12-31,$6.56B,$0.61B,10.76
2008-09-30,$6.14B,$0.60B,10.23
2008-06-30,$5.70B,$0.57B,9.94
2008-03-31,$5.85B,$0.58B,10.13
2007-12-31,$5.50B,$0.55B,9.93
2007-09-30,$5.35B,$0.56B,9.59
2007-06-30,$5.33B,$0.55B,9.69
2007-03-31,$5.28B,$0.56B,9.41
2006-12-31,$5.41B,$0.56B,9.68
2006-09-30,$5.58B,$0.54B,10.29
2006-06-30,$5.66B,$0.49B,11.5
2006-03-31,$5.77B,$0.49B,11.78
2005-12-31,$5.47B,$0.48B,11.46
2005-09-30,$4.44B,$0.47B,9.48
2005-06-30,$4.31B,$0.48B,8.97
2005-03-31,$4.31B,$0.46B,9.38
