State Street ROA - Return on Assets Historical Data,State Street ROA - Return on Assets Historical Data,State Street ROA - Return on Assets Historical Data,State Street ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$2.26B,$314.71B,0.73%
2020-09-30,$2.25B,$272.08B,0.78%
2020-06-30,$2.26B,$280.24B,0.80%
2020-03-31,$2.14B,$362.53B,0.78%
2019-12-31,$2.01B,$245.61B,0.84%
2019-09-30,$1.91B,$244.61B,0.80%
2019-06-30,$2.09B,$241.54B,0.88%
2019-03-31,$2.25B,$228.33B,0.94%
2018-12-31,$2.40B,$244.60B,0.98%
2018-09-30,$2.32B,$234.01B,0.96%
2018-06-30,$2.24B,$248.31B,0.92%
2018-03-31,$2.13B,$250.29B,0.88%
2017-12-31,$1.97B,$238.43B,0.83%
2017-09-30,$2.22B,$235.99B,0.93%
2017-06-30,$2.09B,$238.27B,0.86%
2017-03-31,$2.10B,$236.80B,0.85%
2016-12-31,$1.97B,$242.70B,0.79%
2016-09-30,$1.96B,$256.14B,0.78%
2016-06-30,$1.99B,$255.39B,0.80%
2016-03-31,$1.79B,$243.69B,0.70%
2015-12-31,$1.85B,$245.16B,0.69%
2015-09-30,$1.76B,$247.27B,0.64%
2015-06-30,$1.76B,$294.57B,0.63%
2015-03-31,$1.98B,$279.48B,0.71%
2014-12-31,$1.96B,$274.12B,0.72%
2014-09-30,$1.96B,$274.81B,0.74%
2014-06-30,$1.95B,$282.32B,0.78%
2014-03-31,$1.92B,$256.66B,0.81%
2013-12-31,$2.02B,$243.29B,0.89%
2013-09-30,$2.03B,$217.18B,0.91%
2013-06-30,$2.15B,$227.30B,0.98%
2013-03-31,$2.06B,$218.19B,0.97%
2012-12-31,$2.02B,$222.58B,0.99%
2012-09-30,$1.92B,$204.52B,0.95%
2012-06-30,$1.81B,$200.78B,0.89%
2012-03-31,$1.83B,$187.96B,0.91%
2011-12-31,$1.88B,$216.83B,0.96%
2011-09-30,$1.59B,$208.80B,0.87%
2011-06-30,$1.59B,$190.46B,0.91%
2011-03-31,$1.51B,$171.80B,0.91%
2010-12-31,$1.54B,$160.51B,0.95%
2010-09-30,$1.96B,$172.96B,1.21%
2010-06-30,$1.74B,$162.08B,1.09%
2010-03-31,$-2.00B,$153.97B,-1.27%
2009-12-31,$-2.04B,$157.95B,-1.33%
2009-09-30,$-2.31B,$163.28B,-1.46%
2009-06-30,$-2.16B,$153.42B,-1.14%
2009-03-31,$1.70B,$142.14B,0.91%
2008-12-31,$1.79B,$173.63B,0.94%
2008-09-30,$1.78B,$285.56B,0.98%
2008-06-30,$1.66B,$146.22B,1.14%
2008-03-31,$1.48B,$154.35B,1.08%
2007-12-31,$1.26B,$142.54B,1.00%
2007-09-30,$1.35B,$139.89B,1.15%
2007-06-30,$1.27B,$112.27B,1.15%
2007-03-31,$1.13B,$110.00B,1.04%
2006-12-31,$1.11B,$107.35B,1.04%
2006-09-30,$1.05B,$112.31B,1.00%
2006-06-30,$0.91B,$102.54B,0.89%
2006-03-31,$0.90B,$104.16B,0.88%
2005-12-31,$0.84B,$97.97B,0.82%
