Commerce Bancshares Debt/Equity Ratio Historical Data,Commerce Bancshares Debt/Equity Ratio Historical Data,Commerce Bancshares Debt/Equity Ratio Historical Data,Commerce Bancshares Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$29.52B,$3.40B,8.68
2020-09-30,$28.15B,$3.31B,8.51
2020-06-30,$27.14B,$3.36B,8.08
2020-03-31,$23.54B,$3.25B,7.24
2019-12-31,$22.93B,$3.14B,7.31
2019-09-30,$22.77B,$3.11B,7.33
2019-06-30,$22.60B,$3.17B,7.13
2019-03-31,$21.99B,$3.04B,7.23
2018-12-31,$22.53B,$2.94B,7.67
2018-09-30,$22.26B,$2.81B,7.93
2018-06-30,$21.75B,$2.77B,7.85
2018-03-31,$21.91B,$2.71B,8.1
2017-12-31,$22.12B,$2.72B,8.14
2017-09-30,$22.28B,$2.70B,8.24
2017-06-30,$22.45B,$2.63B,8.54
2017-03-31,$22.75B,$2.56B,8.87
2016-12-31,$23.14B,$2.50B,9.25
2016-09-30,$22.17B,$2.56B,8.66
2016-06-30,$22.18B,$2.53B,8.78
2016-03-31,$22.06B,$2.45B,9.01
2015-12-31,$22.24B,$2.37B,9.39
2015-09-30,$21.60B,$2.37B,9.11
2015-06-30,$21.39B,$2.32B,9.24
2015-03-31,$21.64B,$2.41B,9.0
2014-12-31,$21.66B,$2.33B,9.28
2014-09-30,$20.41B,$2.29B,8.92
2014-06-30,$20.74B,$2.26B,9.17
2014-03-31,$20.56B,$2.27B,9.05
2013-12-31,$20.86B,$2.21B,9.42
2013-09-30,$20.27B,$2.18B,9.29
2013-06-30,$19.80B,$2.11B,9.4
2013-03-31,$20.05B,$2.18B,9.2
2012-12-31,$19.99B,$2.17B,9.2
2012-09-30,$18.57B,$2.31B,8.05
2012-06-30,$18.51B,$2.23B,8.3
2012-03-31,$18.33B,$2.20B,8.33
2011-12-31,$18.48B,$2.17B,8.51
2011-09-30,$18.51B,$2.13B,8.69
2011-06-30,$17.44B,$2.13B,8.18
2011-03-31,$16.95B,$2.07B,8.19
2010-12-31,$16.48B,$2.02B,8.14
2010-09-30,$16.71B,$2.05B,8.16
2010-06-30,$16.39B,$1.99B,8.24
2010-03-31,$16.11B,$1.93B,8.36
2009-12-31,$16.23B,$1.89B,8.61
2009-09-30,$16.10B,$1.85B,8.7
2009-06-30,$16.02B,$1.70B,9.43
2009-03-31,$16.34B,$1.61B,10.15
2008-12-31,$15.95B,$1.58B,10.1
2008-09-30,$15.36B,$1.60B,9.61
2008-06-30,$15.41B,$1.61B,9.6
2008-03-31,$15.19B,$1.58B,9.63
2007-12-31,$14.68B,$1.53B,9.61
2007-09-30,$14.53B,$1.49B,9.74
2007-06-30,$14.06B,$1.46B,9.65
2007-03-31,$13.75B,$1.45B,9.51
2006-12-31,$13.79B,$1.44B,9.56
2006-09-30,$13.69B,$1.46B,9.38
2006-06-30,$12.94B,$1.33B,9.72
2006-03-31,$12.41B,$1.32B,9.42
2005-12-31,$12.55B,$1.34B,9.38
2005-09-30,$12.58B,$1.36B,9.23
2005-06-30,$12.74B,$1.38B,9.26
2005-03-31,$12.73B,$1.37B,9.28
