Hartford Financial Services Debt/Equity Ratio Historical Data,Hartford Financial Services Debt/Equity Ratio Historical Data,Hartford Financial Services Debt/Equity Ratio Historical Data,Hartford Financial Services Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$55.56B,$18.56B,2.99
2020-09-30,$54.52B,$17.80B,3.06
2020-06-30,$53.92B,$17.07B,3.16
2020-03-31,$53.46B,$15.27B,3.5
2019-12-31,$54.55B,$16.27B,3.35
2019-09-30,$54.18B,$16.08B,3.37
2019-06-30,$54.18B,$15.29B,3.54
2019-03-31,$48.98B,$14.34B,3.42
2018-12-31,$49.21B,$13.10B,3.76
2018-09-30,$48.71B,$12.73B,3.83
2018-06-30,$48.23B,$12.55B,3.84
2018-03-31,$203.52B,$13.14B,15.49
2017-12-31,$211.77B,$13.49B,15.69
2017-09-30,$206.98B,$17.23B,12.01
2017-06-30,$208.58B,$17.29B,12.07
2017-03-31,$208.38B,$17.01B,12.25
2016-12-31,$207.67B,$16.90B,12.29
2016-09-30,$209.77B,$18.66B,11.24
2016-06-30,$209.06B,$18.56B,11.26
2016-03-31,$209.38B,$18.11B,11.56
2015-12-31,$210.71B,$17.64B,11.94
2015-09-30,$213.25B,$18.20B,11.71
2015-06-30,$222.79B,$18.23B,12.22
2015-03-31,$227.88B,$19.08B,11.95
2014-12-31,$226.29B,$18.72B,12.09
2014-09-30,$228.27B,$18.84B,12.12
2014-06-30,$235.29B,$19.43B,12.11
2014-03-31,$253.15B,$19.77B,12.8
2013-12-31,$258.98B,$18.91B,13.7
2013-09-30,$265.02B,$18.93B,14.0
2013-06-30,$275.82B,$19.01B,14.51
2013-03-31,$276.10B,$20.92B,13.2
2012-12-31,$276.07B,$22.45B,12.3
2012-09-30,$285.74B,$22.98B,12.43
2012-06-30,$282.02B,$21.96B,12.84
2012-03-31,$289.27B,$21.27B,13.6
2011-12-31,$281.12B,$21.49B,13.08
2011-09-30,$282.82B,$22.78B,12.42
2011-06-30,$295.79B,$21.68B,13.65
2011-03-31,$301.54B,$21.00B,14.36
2010-12-31,$298.04B,$20.31B,14.67
2010-09-30,$293.02B,$20.91B,14.01
2010-06-30,$295.26B,$18.89B,15.63
2010-03-31,$299.44B,$17.84B,16.79
2009-12-31,$289.82B,$17.89B,16.2
2009-09-30,$299.24B,$17.48B,17.12
2009-06-30,$276.24B,$13.46B,20.52
2009-03-31,$268.28B,$7.89B,34.02
2008-12-31,$278.22B,$9.36B,29.73
2008-09-30,$298.93B,$12.56B,23.81
2008-06-30,$317.02B,$16.82B,18.84
2008-03-31,$326.33B,$17.84B,18.3
2007-12-31,$341.16B,$19.20B,17.77
2007-09-30,$337.51B,$18.95B,17.81
2007-06-30,$327.00B,$18.65B,17.54
2007-03-31,$313.86B,$18.85B,16.65
2006-12-31,$307.67B,$18.88B,16.3
2006-09-30,$287.06B,$17.73B,16.19
2006-06-30,$279.56B,$15.38B,18.17
2006-03-31,$279.97B,$15.41B,18.17
2005-12-31,$270.23B,$15.33B,17.63
2005-09-30,$265.16B,$15.31B,17.32
2005-06-30,$252.79B,$15.59B,16.22
2005-03-31,$247.21B,$14.21B,17.4
