M&T Bank Debt/Equity Ratio Historical Data,M&T Bank Debt/Equity Ratio Historical Data,M&T Bank Debt/Equity Ratio Historical Data,M&T Bank Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$126.41B,$16.19B,7.81
2020-09-30,$122.53B,$16.10B,7.61
2020-06-30,$123.59B,$15.95B,7.75
2020-03-31,$108.76B,$15.82B,6.88
2019-12-31,$104.16B,$15.72B,6.63
2019-09-30,$109.72B,$15.78B,6.95
2019-06-30,$105.86B,$15.69B,6.75
2019-03-31,$104.44B,$15.59B,6.7
2018-12-31,$104.64B,$15.46B,6.77
2018-09-30,$101.39B,$15.44B,6.57
2018-06-30,$102.85B,$15.58B,6.6
2018-03-31,$102.91B,$15.71B,6.55
2017-12-31,$102.34B,$16.25B,6.3
2017-09-30,$104.08B,$16.32B,6.38
2017-06-30,$104.61B,$16.28B,6.42
2017-03-31,$107.01B,$16.21B,6.6
2016-12-31,$106.96B,$16.49B,6.49
2016-09-30,$110.50B,$16.34B,6.76
2016-06-30,$107.35B,$16.47B,6.52
2016-03-31,$108.27B,$16.36B,6.62
2015-12-31,$106.62B,$16.17B,6.59
2015-09-30,$84.88B,$12.92B,6.57
2015-06-30,$84.41B,$12.67B,6.66
2015-03-31,$85.85B,$12.53B,6.85
2014-12-31,$84.35B,$12.34B,6.84
2014-09-30,$84.90B,$12.33B,6.88
2014-06-30,$78.67B,$12.17B,6.47
2014-03-31,$76.64B,$11.89B,6.45
2013-12-31,$73.86B,$11.31B,6.53
2013-09-30,$73.41B,$11.02B,6.66
2013-06-30,$72.51B,$10.72B,6.77
2013-03-31,$72.39B,$10.42B,6.95
2012-12-31,$72.81B,$10.20B,7.14
2012-09-30,$71.14B,$9.95B,7.15
2012-06-30,$71.18B,$9.63B,7.39
2012-03-31,$69.76B,$9.43B,7.4
2011-12-31,$68.65B,$9.27B,7.41
2011-09-30,$68.49B,$9.38B,7.31
2011-06-30,$68.48B,$9.24B,7.41
2011-03-31,$59.37B,$8.51B,6.98
2010-12-31,$59.66B,$8.36B,7.14
2010-09-30,$60.02B,$8.23B,7.29
2010-06-30,$60.05B,$8.10B,7.41
2010-03-31,$60.52B,$7.92B,7.65
2009-12-31,$61.13B,$7.75B,7.88
2009-09-30,$61.39B,$7.61B,8.06
2009-06-30,$62.51B,$7.40B,8.45
2009-03-31,$57.98B,$6.90B,8.4
2008-12-31,$59.03B,$6.79B,8.7
2008-09-30,$58.83B,$6.42B,9.17
2008-06-30,$59.37B,$6.52B,9.11
2008-03-31,$59.60B,$6.49B,9.19
2007-12-31,$58.39B,$6.49B,9.0
2007-09-30,$53.77B,$6.24B,8.62
2007-06-30,$51.69B,$6.18B,8.37
2007-03-31,$51.59B,$6.25B,8.25
2006-12-31,$50.78B,$6.28B,8.09
2006-09-30,$50.22B,$6.15B,8.17
2006-06-30,$50.51B,$6.00B,8.42
2006-03-31,$49.50B,$5.92B,8.36
2005-12-31,$49.27B,$5.88B,8.38
2005-09-30,$48.99B,$5.85B,8.38
2005-06-30,$48.64B,$5.84B,8.33
2005-03-31,$48.21B,$5.67B,8.5
