Owl Rock Capital ROA - Return on Assets Historical Data,Owl Rock Capital ROA - Return on Assets Historical Data,Owl Rock Capital ROA - Return on Assets Historical Data,Owl Rock Capital ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.39B,$11.30B,3.84%
2020-09-30,$0.35B,$10.23B,3.62%
2020-06-30,$0.25B,$9.50B,2.73%
2020-03-31,$0.07B,$9.42B,0.82%
2019-12-31,$0.50B,$9.20B,6.17%
2019-09-30,$0.39B,$8.57B,5.41%
2019-06-30,$0.35B,$7.55B,5.46%
2019-03-31,$0.27B,$6.98B,5.07%
2018-12-31,$0.20B,$5.95B,4.60%
2018-09-30,$0.21B,$4.88B,5.83%
2018-06-30,$0.16B,$3.67B,5.60%
2018-03-31,$0.13B,$3.07B,5.35%
2017-12-31,$0.10B,$2.44B,5.24%
2017-09-30,$0.08B,$2.24B,4.72%
2017-06-30,$0.06B,$1.89B,4.51%
2017-03-31,$0.04B,$1.30B,3.86%
2016-12-31,$0.02B,$1.18B,2.68%
