U.S Bancorp Price/Book Ratio Historical Data,U.S Bancorp Price/Book Ratio Historical Data,U.S Bancorp Price/Book Ratio Historical Data,U.S Bancorp Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,57.29,,1.61
2020-12-31,46.24,$35.65,1.3
2020-09-30,35.26,$35.31,1.0
2020-06-30,35.79,$34.84,1.03
2020-03-31,33.1,$34.63,0.96
2019-12-31,56.31,$34.21,1.65
2019-09-30,52.19,$34.46,1.51
2019-06-30,49.05,$33.79,1.45
2019-03-31,44.79,$32.95,1.36
2018-12-31,42.15,$32.12,1.31
2018-09-30,48.31,$31.43,1.54
2018-06-30,45.44,$30.72,1.48
2018-03-31,45.6,$30.21,1.51
2017-12-31,48.09,$30.00,1.6
2017-09-30,47.84,$29.61,1.62
2017-06-30,46.09,$29.15,1.58
2017-03-31,45.47,$28.63,1.59
2016-12-31,45.11,$28.25,1.6
2016-09-30,37.46,$28.39,1.32
2016-06-30,35.0,$27.94,1.25
2016-03-31,34.99,$27.36,1.28
2015-12-31,36.56,$26.83,1.36
2015-09-30,34.93,$26.10,1.34
2015-06-30,36.73,$25.60,1.43
2015-03-31,36.75,$25.26,1.45
2014-12-31,37.61,$24.73,1.52
2014-09-30,34.82,$24.42,1.43
2014-06-30,35.85,$23.99,1.49
2014-03-31,35.27,$23.47,1.5
2013-12-31,33.06,$22.91,1.44
2013-09-30,29.77,$22.69,1.31
2013-06-30,29.23,$22.26,1.31
2013-03-31,27.26,$21.98,1.24
2012-12-31,25.52,$21.54,1.18
2012-09-30,27.24,$21.18,1.29
2012-06-30,25.39,$20.55,1.24
2012-03-31,24.86,$19.42,1.28
2011-12-31,21.09,$18.31,1.15
2011-09-30,18.27,$17.89,1.02
2011-06-30,19.7,$17.32,1.14
2011-03-31,20.3,$16.26,1.25
2010-12-31,20.62,$15.79,1.31
2010-09-30,16.5,$15.61,1.06
2010-06-30,17.02,$15.10,1.13
2010-03-31,19.67,$14.29,1.38
2009-12-31,17.07,$13.94,1.22
2009-09-30,16.54,$13.53,1.22
2009-06-30,13.53,$13.02,1.04
2009-03-31,11.0,$15.89,0.69
2008-12-31,18.77,$15.40,1.22
2008-09-30,26.56,$12.36,2.15
2008-06-30,20.32,$12.53,1.62
2008-03-31,23.24,$12.41,1.87
2007-12-31,22.5,$12.18,1.85
2007-09-30,22.76,$12.04,1.89
2007-06-30,22.77,$11.77,1.94
2007-03-31,23.88,$11.94,2.0
2006-12-31,24.43,$12.01,2.03
2006-09-30,22.18,$11.87,1.87
2006-06-30,20.42,$11.45,1.78
2006-03-31,19.95,$11.36,1.76
