U.S Bancorp Debt/Equity Ratio Historical Data,U.S Bancorp Debt/Equity Ratio Historical Data,U.S Bancorp Debt/Equity Ratio Historical Data,U.S Bancorp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$500.18B,$53.73B,9.31
2020-09-30,$487.26B,$53.20B,9.16
2020-06-30,$494.17B,$52.48B,9.42
2020-03-31,$490.75B,$52.16B,9.41
2019-12-31,$442.94B,$52.48B,8.44
2019-09-30,$433.52B,$54.15B,8.01
2019-06-30,$428.18B,$53.54B,8.0
2019-03-31,$423.09B,$52.69B,8.03
2018-12-31,$415.72B,$51.66B,8.05
2018-09-30,$413.60B,$51.01B,8.11
2018-06-30,$411.07B,$50.26B,8.18
2018-03-31,$410.31B,$49.81B,8.24
2017-12-31,$412.37B,$49.67B,8.3
2017-09-30,$409.88B,$49.35B,8.31
2017-06-30,$414.90B,$48.95B,8.48
2017-03-31,$401.09B,$48.43B,8.28
2016-12-31,$398.03B,$47.93B,8.3
2016-09-30,$405.74B,$48.40B,8.38
2016-06-30,$390.43B,$48.03B,8.13
2016-03-31,$381.25B,$47.39B,8.04
2015-12-31,$375.04B,$46.82B,8.01
2015-09-30,$370.18B,$45.77B,8.09
2015-06-30,$373.84B,$45.23B,8.27
2015-03-31,$365.27B,$44.97B,8.12
2014-12-31,$358.36B,$44.17B,8.11
2014-09-30,$347.46B,$43.83B,7.93
2014-06-30,$345.68B,$43.39B,7.97
2014-03-31,$328.55B,$42.74B,7.69
2013-12-31,$322.21B,$41.81B,7.71
2013-09-30,$319.13B,$41.55B,7.68
2013-06-30,$312.37B,$41.05B,7.61
2013-03-31,$314.60B,$40.85B,7.7
2012-12-31,$313.59B,$40.27B,7.79
2012-09-30,$312.43B,$39.83B,7.85
2012-06-30,$314.26B,$38.87B,8.08
2012-03-31,$303.85B,$36.91B,8.23
2011-12-31,$305.15B,$34.97B,8.73
2011-09-30,$295.93B,$34.21B,8.65
2011-06-30,$287.53B,$33.34B,8.62
2011-03-31,$280.13B,$31.34B,8.94
2010-12-31,$277.46B,$30.32B,9.15
2010-09-30,$260.71B,$29.94B,8.71
2010-06-30,$254.30B,$28.94B,8.79
2010-03-31,$255.04B,$27.39B,9.31
2009-12-31,$254.52B,$26.66B,9.55
2009-09-30,$239.18B,$25.88B,9.24
2009-06-30,$240.67B,$24.89B,9.67
2009-03-31,$235.68B,$27.94B,8.44
2008-12-31,$238.88B,$27.03B,8.84
2008-09-30,$225.38B,$21.68B,10.4
2008-06-30,$224.71B,$21.83B,10.3
2008-03-31,$220.21B,$21.57B,10.21
2007-12-31,$216.57B,$21.05B,10.29
2007-09-30,$206.86B,$20.77B,9.96
2007-06-30,$202.20B,$20.33B,9.95
2007-03-31,$200.65B,$20.80B,9.65
2006-12-31,$198.04B,$21.20B,9.34
2006-09-30,$195.93B,$20.93B,9.36
2006-06-30,$192.99B,$20.42B,9.45
2006-03-31,$189.65B,$20.26B,9.36
2005-12-31,$189.38B,$20.09B,9.43
2005-09-30,$187.03B,$19.86B,9.42
2005-06-30,$184.08B,$19.90B,9.25
2005-03-31,$179.26B,$19.21B,9.33
