Principal Financial Debt/Equity Ratio Historical Data,Principal Financial Debt/Equity Ratio Historical Data,Principal Financial Debt/Equity Ratio Historical Data,Principal Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$280.01B,$16.62B,16.85
2020-09-30,$262.76B,$15.72B,16.71
2020-06-30,$256.00B,$15.31B,16.72
2020-03-31,$233.93B,$12.97B,18.03
2019-12-31,$261.40B,$14.69B,17.8
2019-09-30,$255.37B,$14.87B,17.17
2019-06-30,$253.82B,$14.10B,18.0
2019-03-31,$246.66B,$12.76B,19.33
2018-12-31,$231.58B,$11.46B,20.22
2018-09-30,$246.99B,$11.77B,20.99
2018-06-30,$240.40B,$11.71B,20.54
2018-03-31,$241.38B,$12.26B,19.7
2017-12-31,$241.02B,$12.92B,18.65
2017-09-30,$235.87B,$12.07B,19.55
2017-06-30,$228.92B,$11.24B,20.37
2017-03-31,$224.81B,$10.69B,21.04
2016-12-31,$217.72B,$10.29B,21.15
2016-09-30,$219.50B,$10.86B,20.21
2016-06-30,$212.51B,$10.57B,20.11
2016-03-31,$207.46B,$10.11B,20.52
2015-12-31,$209.28B,$9.38B,22.32
2015-09-30,$205.68B,$9.69B,21.24
2015-06-30,$212.51B,$9.76B,21.77
2015-03-31,$212.00B,$10.49B,20.21
2014-12-31,$208.86B,$10.23B,20.41
2014-09-30,$206.05B,$10.37B,19.87
2014-06-30,$207.86B,$10.46B,19.87
2014-03-31,$201.14B,$10.06B,20.0
2013-12-31,$198.41B,$9.78B,20.29
2013-09-30,$192.31B,$9.37B,20.52
2013-06-30,$187.10B,$9.41B,19.89
2013-03-31,$190.94B,$9.83B,19.43
2012-12-31,$152.13B,$9.70B,15.68
2012-09-30,$149.35B,$9.85B,15.17
2012-06-30,$142.62B,$9.44B,15.12
2012-03-31,$143.99B,$9.75B,14.77
2011-12-31,$137.99B,$9.37B,14.72
2011-09-30,$133.01B,$10.29B,12.93
2011-06-30,$138.61B,$10.67B,12.99
2011-03-31,$137.18B,$10.37B,13.23
2010-12-31,$135.75B,$9.89B,13.73
2010-09-30,$133.42B,$10.03B,13.3
2010-06-30,$127.53B,$9.07B,14.06
2010-03-31,$132.15B,$8.69B,15.21
2009-12-31,$129.74B,$8.02B,16.19
2009-09-30,$129.77B,$7.61B,17.06
2009-06-30,$124.93B,$5.78B,21.63
2009-03-31,$120.53B,$2.71B,44.49
2008-12-31,$125.61B,$2.57B,48.89
2008-09-30,$137.80B,$5.61B,24.55
2008-06-30,$144.91B,$6.62B,21.89
2008-03-31,$145.16B,$6.84B,21.22
2007-12-31,$147.10B,$7.42B,19.82
2007-09-30,$147.75B,$7.87B,18.78
2007-06-30,$142.77B,$7.99B,17.88
2007-03-31,$138.51B,$8.11B,17.09
2006-12-31,$135.80B,$7.86B,17.28
2006-09-30,$128.48B,$7.69B,16.71
2006-06-30,$124.59B,$6.85B,18.2
2006-03-31,$124.38B,$7.60B,16.37
2005-12-31,$119.23B,$7.81B,15.27
2005-09-30,$113.31B,$7.80B,14.53
2005-06-30,$109.34B,$7.85B,13.93
2005-03-31,$106.19B,$7.34B,14.46
