Principal Financial Price/Book Ratio Historical Data,Principal Financial Price/Book Ratio Historical Data,Principal Financial Price/Book Ratio Historical Data,Principal Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,61.96,,1.02
2020-12-31,49.12,$60.80,0.81
2020-09-30,39.43,$57.27,0.69
2020-06-30,40.14,$55.88,0.72
2020-03-31,29.85,$47.45,0.63
2019-12-31,51.73,$53.09,0.97
2019-09-30,53.2,$53.50,0.99
2019-06-30,53.37,$50.62,1.05
2019-03-31,45.73,$45.87,1.0
2018-12-31,39.83,$40.99,0.97
2018-09-30,52.26,$41.50,1.26
2018-06-30,46.78,$41.13,1.14
2018-03-31,53.33,$42.60,1.25
2017-12-31,61.26,$44.71,1.37
2017-09-30,55.48,$41.83,1.33
2017-06-30,54.83,$38.94,1.41
2017-03-31,53.63,$37.09,1.45
2016-12-31,48.81,$35.78,1.36
2016-09-30,43.14,$37.76,1.14
2016-06-30,34.14,$36.69,0.93
2016-03-31,32.48,$34.81,0.93
2015-12-31,36.67,$32.18,1.14
2015-09-30,38.3,$33.00,1.16
2015-06-30,41.17,$33.13,1.24
2015-03-31,40.93,$35.64,1.15
2014-12-31,41.09,$34.81,1.18
2014-09-30,41.25,$35.32,1.17
2014-06-30,39.44,$35.60,1.11
2014-03-31,35.69,$34.12,1.05
2013-12-31,38.04,$33.12,1.15
2013-09-30,32.86,$31.89,1.03
2013-06-30,28.56,$32.01,0.89
2013-03-31,25.8,$33.50,0.77
2012-12-31,21.47,$33.03,0.65
2012-09-30,20.13,$33.54,0.6
2012-06-30,19.45,$31.92,0.61
2012-03-31,21.72,$32.41,0.67
2011-12-31,17.98,$31.12,0.58
2011-09-30,16.12,$33.72,0.48
2011-06-30,21.64,$34.01,0.64
2011-03-31,22.84,$32.28,0.71
2010-12-31,23.16,$30.85,0.75
2010-09-30,18.08,$31.33,0.58
2010-06-30,16.35,$28.44,0.57
2010-03-31,20.37,$27.18,0.75
2009-12-31,16.77,$25.13,0.67
2009-09-30,18.74,$23.85,0.79
2009-06-30,12.89,$18.15,0.71
2009-03-31,5.6,$10.42,0.54
2008-12-31,15.44,$9.91,1.56
2008-09-30,29.01,$21.65,1.34
2008-06-30,27.99,$25.56,1.1
2008-03-31,37.16,$26.46,1.4
2007-12-31,45.91,$28.64,1.6
2007-09-30,41.53,$29.97,1.39
2007-06-30,38.37,$30.03,1.28
2007-03-31,39.41,$30.32,1.3
2006-12-31,38.64,$29.29,1.32
2006-09-30,35.25,$28.52,1.24
2006-06-30,36.14,$25.44,1.42
2006-03-31,31.69,$27.37,1.16
