Waddell & Reed Financial ROA - Return on Assets Historical Data,Waddell & Reed Financial ROA - Return on Assets Historical Data,Waddell & Reed Financial ROA - Return on Assets Historical Data,Waddell & Reed Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.07B,$1.15B,6.16%
2020-09-30,$0.09B,$1.13B,7.96%
2020-06-30,$0.10B,$1.17B,7.91%
2020-03-31,$0.11B,$1.17B,8.47%
2019-12-31,$0.12B,$1.27B,9.17%
2019-09-30,$0.15B,$1.26B,11.38%
2019-06-30,$0.16B,$1.27B,12.31%
2019-03-31,$0.17B,$1.23B,13.04%
2018-12-31,$0.18B,$1.34B,13.99%
2018-09-30,$0.17B,$1.29B,12.66%
2018-06-30,$0.17B,$1.29B,13.01%
2018-03-31,$0.15B,$1.28B,11.26%
2017-12-31,$0.14B,$1.38B,10.17%
2017-09-30,$0.14B,$1.40B,10.28%
2017-06-30,$0.14B,$1.41B,10.28%
2017-03-31,$0.15B,$1.39B,11.00%
2016-12-31,$0.16B,$1.41B,11.10%
2016-09-30,$0.18B,$1.40B,12.40%
2016-06-30,$0.17B,$1.41B,11.90%
2016-03-31,$0.21B,$1.45B,14.02%
2015-12-31,$0.24B,$1.56B,15.97%
2015-09-30,$0.26B,$1.44B,17.85%
2015-06-30,$0.29B,$1.46B,19.83%
2015-03-31,$0.31B,$1.48B,21.01%
2014-12-31,$0.31B,$1.51B,22.05%
2014-09-30,$0.31B,$1.40B,22.60%
2014-06-30,$0.31B,$1.44B,22.79%
2014-03-31,$0.27B,$1.35B,21.45%
2013-12-31,$0.25B,$1.34B,20.35%
2013-09-30,$0.23B,$1.23B,18.96%
2013-06-30,$0.17B,$1.19B,14.12%
2013-03-31,$0.16B,$1.21B,13.42%
2012-12-31,$0.15B,$1.15B,12.97%
2012-09-30,$0.14B,$1.20B,12.04%
2012-06-30,$0.17B,$1.14B,15.24%
2012-03-31,$0.18B,$1.16B,16.32%
2011-12-31,$0.18B,$1.08B,16.77%
2011-09-30,$0.18B,$1.05B,17.79%
2011-06-30,$0.18B,$1.05B,18.54%
2011-03-31,$0.17B,$1.02B,17.70%
2010-12-31,$0.16B,$0.98B,17.19%
2010-09-30,$0.14B,$0.91B,15.74%
2010-06-30,$0.14B,$0.87B,15.13%
2010-03-31,$0.13B,$0.90B,14.20%
2009-12-31,$0.10B,$0.98B,12.13%
2009-09-30,$0.07B,$0.84B,8.69%
2009-06-30,$0.07B,$0.80B,8.70%
2009-03-31,$0.08B,$0.81B,9.88%
2008-12-31,$0.10B,$0.78B,11.17%
2008-09-30,$0.13B,$0.84B,14.88%
2008-06-30,$0.13B,$0.90B,15.20%
2008-03-31,$0.13B,$0.89B,15.79%
2007-12-31,$0.13B,$0.89B,17.33%
2007-09-30,$0.12B,$0.74B,18.08%
2007-06-30,$0.11B,$0.64B,17.93%
2007-03-31,$0.05B,$0.63B,8.05%
2006-12-31,$0.05B,$0.66B,7.35%
2006-09-30,$0.04B,$0.61B,5.86%
2006-06-30,$0.04B,$0.63B,5.87%
2006-03-31,$0.06B,$0.66B,10.19%
2005-12-31,$0.06B,$0.63B,10.06%
