Prudential Financial Debt/Equity Ratio Historical Data,Prudential Financial Debt/Equity Ratio Historical Data,Prudential Financial Debt/Equity Ratio Historical Data,Prudential Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$872.51B,$68.21B,12.79
2020-09-30,$844.70B,$66.89B,12.63
2020-06-30,$848.88B,$66.51B,12.76
2020-03-31,$812.64B,$61.07B,13.31
2019-12-31,$832.83B,$63.72B,13.07
2019-09-30,$819.31B,$66.31B,12.36
2019-06-30,$811.67B,$62.15B,13.06
2019-03-31,$793.87B,$55.45B,14.32
2018-12-31,$766.05B,$49.03B,15.62
2018-09-30,$775.67B,$47.08B,16.48
2018-06-30,$771.27B,$48.59B,15.87
2018-03-31,$777.50B,$52.18B,14.9
2017-12-31,$777.63B,$54.51B,14.27
2017-09-30,$770.57B,$50.57B,15.24
2017-06-30,$763.95B,$48.64B,15.71
2017-03-31,$750.39B,$46.97B,15.98
2016-12-31,$737.87B,$46.09B,16.01
2016-09-30,$762.89B,$56.97B,13.39
2016-06-30,$741.31B,$55.18B,13.44
2016-03-31,$723.73B,$49.27B,14.69
2015-12-31,$715.33B,$41.92B,17.06
2015-09-30,$711.76B,$42.77B,16.64
2015-06-30,$720.44B,$42.29B,17.04
2015-03-31,$733.04B,$45.57B,16.09
2014-12-31,$724.31B,$42.35B,17.1
2014-09-30,$721.80B,$42.35B,17.04
2014-06-30,$723.73B,$41.81B,17.31
2014-03-31,$707.87B,$38.86B,18.21
2013-12-31,$695.90B,$35.88B,19.4
2013-09-30,$688.01B,$35.12B,19.59
2013-06-30,$669.71B,$35.91B,18.65
2013-03-31,$683.43B,$40.67B,16.81
2012-12-31,$670.12B,$39.11B,17.13
2012-09-30,$632.33B,$39.37B,16.06
2012-06-30,$608.83B,$38.63B,15.76
2012-03-31,$602.20B,$35.54B,16.95
2011-12-31,$585.40B,$34.84B,16.8
2011-09-30,$573.67B,$37.80B,15.18
2011-06-30,$577.74B,$35.64B,16.21
2011-03-31,$565.76B,$33.25B,17.02
2010-12-31,$506.93B,$32.93B,15.4
2010-09-30,$492.86B,$34.07B,14.47
2010-06-30,$465.72B,$30.27B,15.39
2010-03-31,$464.36B,$27.51B,16.88
2009-12-31,$454.47B,$25.73B,17.66
2009-09-30,$450.62B,$24.85B,18.14
2009-06-30,$426.04B,$18.68B,22.81
2009-03-31,$414.02B,$13.51B,30.66
2008-12-31,$431.23B,$13.79B,31.28
2008-09-30,$441.70B,$18.70B,23.62
2008-06-30,$453.04B,$21.57B,21.0
2008-03-31,$455.62B,$22.70B,20.07
2007-12-31,$462.36B,$23.46B,19.71
2007-09-30,$457.44B,$22.98B,19.91
2007-06-30,$438.87B,$22.94B,19.13
2007-03-31,$435.37B,$23.54B,18.5
2006-12-31,$431.37B,$22.89B,18.84
2006-09-30,$423.70B,$23.20B,18.27
2006-06-30,$419.18B,$21.49B,19.5
2006-03-31,$411.28B,$22.33B,18.42
2005-12-31,$390.61B,$22.76B,17.16
2005-09-30,$389.93B,$23.66B,16.48
2005-06-30,$385.93B,$23.57B,16.37
2005-03-31,$380.75B,$22.42B,16.98
