Selective Insurance Debt/Equity Ratio Historical Data,Selective Insurance Debt/Equity Ratio Historical Data,Selective Insurance Debt/Equity Ratio Historical Data,Selective Insurance Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$6.95B,$2.74B,2.54
2020-09-30,$7.12B,$2.39B,2.98
2020-06-30,$7.01B,$2.30B,3.05
2020-03-31,$6.88B,$2.10B,3.28
2019-12-31,$6.60B,$2.20B,3.01
2019-09-30,$6.58B,$2.14B,3.08
2019-06-30,$6.52B,$2.06B,3.16
2019-03-31,$6.36B,$1.93B,3.3
2018-12-31,$6.16B,$1.79B,3.44
2018-09-30,$6.25B,$1.74B,3.59
2018-06-30,$6.01B,$1.70B,3.54
2018-03-31,$6.00B,$1.66B,3.62
2017-12-31,$5.97B,$1.71B,3.49
2017-09-30,$6.11B,$1.70B,3.6
2017-06-30,$5.88B,$1.65B,3.56
2017-03-31,$5.81B,$1.59B,3.65
2016-12-31,$5.82B,$1.53B,3.8
2016-09-30,$5.79B,$1.58B,3.68
2016-06-30,$5.64B,$1.55B,3.63
2016-03-31,$5.55B,$1.48B,3.76
2015-12-31,$5.51B,$1.40B,3.94
2015-09-30,$5.54B,$1.36B,4.08
2015-06-30,$5.47B,$1.31B,4.18
2015-03-31,$5.39B,$1.32B,4.09
2014-12-31,$5.30B,$1.28B,4.15
2014-09-30,$5.31B,$1.27B,4.19
2014-06-30,$5.25B,$1.24B,4.24
2014-03-31,$5.19B,$1.19B,4.37
2013-12-31,$5.12B,$1.15B,4.43
2013-09-30,$5.14B,$1.12B,4.57
2013-06-30,$5.01B,$1.10B,4.56
2013-03-31,$5.21B,$1.14B,4.58
2012-12-31,$5.70B,$1.09B,5.23
2012-09-30,$4.76B,$1.12B,4.23
2012-06-30,$4.60B,$1.09B,4.24
2012-03-31,$4.55B,$1.08B,4.2
2011-12-31,$4.63B,$1.06B,4.37
2011-09-30,$4.66B,$1.09B,4.29
2011-06-30,$4.27B,$1.10B,3.88
2011-03-31,$4.19B,$1.08B,3.87
2010-12-31,$4.16B,$1.07B,3.88
2010-09-30,$4.24B,$1.09B,3.88
2010-06-30,$4.18B,$1.05B,3.98
2010-03-31,$4.28B,$1.01B,4.24
2009-12-31,$4.11B,$1.00B,4.1
2009-09-30,$4.17B,$0.99B,4.23
2009-06-30,$4.09B,$0.95B,4.32
2009-03-31,$4.09B,$0.91B,4.5
2008-12-31,$4.06B,$0.89B,4.55
2008-09-30,$4.06B,$0.98B,4.16
2008-06-30,$4.06B,$1.02B,3.99
2008-03-31,$3.93B,$1.05B,3.75
2007-12-31,$3.93B,$1.08B,3.65
2007-09-30,$3.94B,$1.04B,3.78
2007-06-30,$3.85B,$1.00B,3.84
2007-03-31,$3.76B,$1.04B,3.62
2006-12-31,$3.69B,$1.08B,3.43
2006-09-30,$3.75B,$1.05B,3.58
2006-06-30,$3.49B,$1.00B,3.47
2006-03-31,$3.50B,$0.96B,3.65
2005-12-31,$3.40B,$0.98B,3.46
2005-09-30,$3.34B,$0.95B,3.5
2005-06-30,$3.23B,$0.94B,3.43
2005-03-31,$3.14B,$0.89B,3.53
