UMB Financial Debt/Equity Ratio Historical Data,UMB Financial Debt/Equity Ratio Historical Data,UMB Financial Debt/Equity Ratio Historical Data,UMB Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$30.11B,$3.02B,9.98
2020-09-30,$27.40B,$2.85B,9.6
2020-06-30,$26.98B,$2.78B,9.71
2020-03-31,$23.58B,$2.66B,8.85
2019-12-31,$23.96B,$2.61B,9.19
2019-09-30,$21.58B,$2.56B,8.42
2019-06-30,$21.54B,$2.48B,8.69
2019-03-31,$21.21B,$2.35B,9.02
2018-12-31,$21.12B,$2.23B,9.48
2018-09-30,$19.26B,$2.20B,8.74
2018-06-30,$18.33B,$2.20B,8.33
2018-03-31,$18.82B,$2.17B,8.68
2017-12-31,$19.59B,$2.18B,8.98
2017-09-30,$18.18B,$2.10B,8.65
2017-06-30,$18.28B,$2.07B,8.83
2017-03-31,$18.57B,$2.01B,9.23
2016-12-31,$18.72B,$1.96B,9.54
2016-09-30,$17.70B,$2.03B,8.74
2016-06-30,$17.73B,$2.00B,8.85
2016-03-31,$17.36B,$1.95B,8.91
2015-12-31,$17.20B,$1.89B,9.08
2015-09-30,$16.70B,$1.90B,8.78
2015-06-30,$16.56B,$1.86B,8.92
2015-03-31,$15.05B,$1.68B,8.94
2014-12-31,$15.86B,$1.64B,9.65
2014-09-30,$14.67B,$1.62B,9.08
2014-06-30,$13.96B,$1.60B,8.72
2014-03-31,$14.40B,$1.54B,9.34
2013-12-31,$15.41B,$1.51B,10.23
2013-09-30,$14.72B,$1.46B,10.06
2013-06-30,$14.03B,$1.23B,11.44
2013-03-31,$14.42B,$1.29B,11.22
2012-12-31,$13.65B,$1.28B,10.67
2012-09-30,$11.99B,$1.29B,9.27
2012-06-30,$11.93B,$1.25B,9.53
2012-03-31,$12.43B,$1.21B,10.25
2011-12-31,$12.35B,$1.19B,10.37
2011-09-30,$10.97B,$1.17B,9.37
2011-06-30,$11.64B,$1.13B,10.27
2011-03-31,$12.27B,$1.08B,11.38
2010-12-31,$11.34B,$1.06B,10.69
2010-09-30,$10.25B,$1.09B,9.4
2010-06-30,$9.99B,$1.07B,9.35
2010-03-31,$9.70B,$1.03B,9.42
2009-12-31,$10.65B,$1.02B,10.49
2009-09-30,$9.22B,$1.01B,9.1
2009-06-30,$8.96B,$0.99B,9.04
2009-03-31,$9.26B,$0.99B,9.4
2008-12-31,$10.00B,$0.98B,10.26
2008-09-30,$8.40B,$0.93B,9.0
2008-06-30,$7.89B,$0.92B,8.6
2008-03-31,$8.01B,$0.92B,8.67
2007-12-31,$8.45B,$0.89B,9.49
2007-09-30,$7.14B,$0.88B,8.07
2007-06-30,$7.17B,$0.86B,8.34
2007-03-31,$7.14B,$0.86B,8.31
2006-12-31,$8.07B,$0.85B,9.51
2006-09-30,$6.82B,$0.86B,7.98
2006-06-30,$6.81B,$0.82B,8.28
2006-03-31,$6.81B,$0.83B,8.23
2005-12-31,$7.41B,$0.83B,8.9
2005-09-30,$6.26B,$0.83B,7.53
2005-06-30,$6.15B,$0.83B,7.44
2005-03-31,$6.10B,$0.82B,7.49
