Synovus Financial Price/Book Ratio Historical Data,Synovus Financial Price/Book Ratio Historical Data,Synovus Financial Price/Book Ratio Historical Data,Synovus Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,45.97,,1.32
2020-12-31,32.15,$34.86,0.92
2020-09-30,20.82,$34.38,0.61
2020-06-30,19.89,$34.30,0.58
2020-03-31,16.76,$34.39,0.49
2019-12-31,36.48,$33.58,1.09
2019-09-30,33.02,$32.99,1.0
2019-06-30,32.06,$30.30,1.06
2019-03-31,31.19,$29.20,1.07
2018-12-31,28.81,$27.05,1.07
2018-09-30,40.9,$26.05,1.57
2018-06-30,46.94,$26.88,1.75
2018-03-31,44.18,$24.91,1.77
2017-12-31,42.2,$24.91,1.69
2017-09-30,40.42,$25.07,1.61
2017-06-30,38.69,$24.64,1.57
2017-03-31,35.76,$24.22,1.48
2016-12-31,35.68,$23.95,1.49
2016-09-30,28.17,$23.93,1.18
2016-06-30,25.01,$23.79,1.05
2016-03-31,24.84,$23.47,1.06
2015-12-31,27.71,$23.16,1.2
2015-09-30,25.24,$23.10,1.09
2015-06-30,26.19,$22.73,1.15
2015-03-31,23.73,$22.63,1.05
2014-12-31,22.87,$22.34,1.02
2014-09-30,19.88,$22.12,0.9
2014-06-30,20.44,$21.96,0.93
2014-03-31,19.84,$21.57,0.92
2013-12-31,21.01,$21.23,0.99
2013-09-30,19.2,$21.10,0.91
2013-06-30,16.94,$27.42,0.62
2013-03-31,16.01,$31.79,0.5
2012-12-31,14.11,$31.76,0.44
2012-09-30,13.59,$25.58,0.53
2012-06-30,11.31,$25.39,0.45
2012-03-31,11.64,$25.10,0.46
2011-12-31,7.97,$25.20,0.32
2011-09-30,6.0,$25.21,0.24
2011-06-30,11.58,$25.41,0.46
2011-03-31,13.3,$25.69,0.52
2010-12-31,14.57,$26.95,0.54
2010-09-30,13.52,$28.89,0.47
2010-06-30,13.9,$30.72,0.45
2010-03-31,17.94,$37.69,0.48
2009-12-31,11.14,$41.02,0.27
2009-09-30,20.28,$46.23,0.44
2009-06-30,16.13,$64.71,0.25
2009-03-31,17.49,$77.76,0.22
2008-12-31,44.52,$80.91,0.55
2008-09-30,55.11,$71.57,0.77
2008-06-30,46.22,$72.67,0.64
2008-03-31,57.47,$74.85,0.77
2007-12-31,54.31,$73.01,0.74
2007-09-30,63.03,$86.39,0.73
2007-06-30,68.77,$83.90,0.82
2007-03-31,72.24,$82.13,0.88
2006-12-31,68.68,$79.72,0.86
2006-09-30,65.23,$76.78,0.85
2006-06-30,59.3,$72.99,0.81
2006-03-31,59.78,$70.09,0.85
