Fidelity National Financial Debt/Equity Ratio Historical Data,Fidelity National Financial Debt/Equity Ratio Historical Data,Fidelity National Financial Debt/Equity Ratio Historical Data,Fidelity National Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$42.06B,$8.39B,5.01
2020-09-30,$42.70B,$7.18B,5.95
2020-06-30,$41.65B,$6.35B,6.56
2020-03-31,$5.09B,$5.12B,1.0
2019-12-31,$5.31B,$5.37B,0.99
2019-09-30,$5.30B,$5.12B,1.04
2019-06-30,$5.24B,$4.95B,1.06
2019-03-31,$4.88B,$4.77B,1.03
2018-12-31,$4.67B,$4.63B,1.01
2018-09-30,$4.68B,$4.69B,1.0
2018-06-30,$4.63B,$4.63B,1.0
2018-03-31,$4.54B,$4.48B,1.01
2017-12-31,$4.68B,$4.47B,1.05
2017-09-30,$5.13B,$5.37B,0.96
2017-06-30,$7.28B,$6.92B,1.05
2017-03-31,$7.29B,$6.89B,1.06
2016-12-31,$7.62B,$6.90B,1.11
2016-09-30,$7.62B,$6.76B,1.13
2016-06-30,$7.77B,$6.67B,1.17
2016-03-31,$7.37B,$6.58B,1.12
2015-12-31,$7.34B,$6.59B,1.12
2015-09-30,$7.43B,$6.61B,1.13
2015-06-30,$7.63B,$6.77B,1.13
2015-03-31,$7.81B,$5.91B,1.32
2014-12-31,$7.77B,$6.07B,1.28
2014-09-30,$8.43B,$6.34B,1.33
2014-06-30,$8.47B,$6.37B,1.33
2014-03-31,$8.41B,$6.28B,1.34
2013-12-31,$4.99B,$5.54B,0.9
2013-09-30,$5.14B,$4.94B,1.04
2013-06-30,$5.18B,$4.83B,1.07
2013-03-31,$4.91B,$4.77B,1.03
2012-12-31,$5.15B,$4.75B,1.09
2012-09-30,$5.12B,$4.62B,1.11
2012-06-30,$4.46B,$4.05B,1.1
2012-03-31,$4.24B,$3.76B,1.13
2011-12-31,$4.21B,$3.66B,1.15
2011-09-30,$4.36B,$3.51B,1.24
2011-06-30,$4.30B,$3.53B,1.22
2011-03-31,$4.35B,$3.45B,1.26
2010-12-31,$4.44B,$3.44B,1.29
2010-09-30,$4.40B,$3.48B,1.27
2010-06-30,$4.50B,$3.42B,1.32
2010-03-31,$4.47B,$3.32B,1.35
2009-12-31,$4.59B,$3.35B,1.37
2009-09-30,$4.84B,$3.25B,1.49
2009-06-30,$5.20B,$3.13B,1.66
2009-03-31,$5.41B,$2.75B,1.97
2008-12-31,$5.51B,$2.86B,1.93
2008-09-30,$4.49B,$2.82B,1.59
2008-06-30,$4.14B,$3.11B,1.33
2008-03-31,$4.24B,$3.23B,1.31
2007-12-31,$4.34B,$3.24B,1.34
2007-09-30,$3.80B,$3.42B,1.11
2007-06-30,$3.81B,$3.55B,1.07
2007-03-31,$3.52B,$3.49B,1.01
2006-12-31,$3.79B,$3.47B,1.09
2006-09-30,$3.52B,$2.64B,1.34
2006-06-30,$3.65B,$2.55B,1.43
2006-03-31,$3.39B,$2.51B,1.35
2005-12-31,$7.83B,$3.28B,2.39
2005-09-30,$3.61B,$2.40B,1.51
2005-06-30,$0.00B,,0.0
2005-03-31,$0.00B,,0.0
