Intercontinental Exchange ROA - Return on Assets Historical Data,Intercontinental Exchange ROA - Return on Assets Historical Data,Intercontinental Exchange ROA - Return on Assets Historical Data,Intercontinental Exchange ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$2.09B,$126.20B,1.62%
2020-09-30,$2.01B,$128.08B,1.66%
2020-06-30,$2.15B,$124.06B,1.90%
2020-03-31,$2.10B,$138.90B,2.00%
2019-12-31,$1.93B,$94.49B,2.06%
2019-09-30,$2.10B,$95.34B,2.25%
2019-06-30,$2.03B,$90.93B,2.22%
2019-03-31,$2.01B,$93.86B,2.25%
2018-12-31,$1.99B,$92.79B,2.31%
2018-09-30,$2.61B,$87.24B,3.16%
2018-06-30,$2.52B,$82.85B,3.13%
2018-03-31,$2.49B,$82.06B,3.11%
2017-12-31,$2.53B,$78.26B,3.19%
2017-09-30,$1.65B,$79.12B,2.06%
2017-06-30,$1.63B,$80.32B,2.04%
2017-03-31,$1.56B,$79.46B,2.00%
2016-12-31,$1.43B,$82.00B,1.83%
2016-09-30,$1.44B,$76.30B,1.87%
2016-06-30,$1.40B,$75.22B,1.88%
2016-03-31,$1.33B,$79.16B,1.86%
2015-12-31,$1.27B,$77.99B,1.86%
2015-09-30,$1.19B,$65.86B,1.81%
2015-06-30,$1.09B,$63.10B,1.65%
2015-03-31,$1.04B,$66.43B,1.53%
2014-12-31,$0.98B,$68.25B,1.45%
2014-09-30,$0.52B,$67.29B,0.78%
2014-06-30,$0.45B,$68.48B,0.73%
2014-03-31,$0.38B,$65.92B,0.69%
2013-12-31,$0.25B,$64.42B,0.53%
2013-09-30,$0.56B,$48.89B,1.35%
2013-06-30,$0.55B,$40.61B,1.43%
2013-03-31,$0.54B,$38.86B,1.41%
2012-12-31,$0.55B,$37.22B,1.47%
2012-09-30,$0.55B,$37.54B,1.47%
2012-06-30,$0.55B,$39.51B,1.46%
2012-03-31,$0.53B,$36.12B,1.49%
2011-12-31,$0.51B,$36.15B,1.52%
2011-09-30,$0.48B,$38.67B,1.54%
2011-06-30,$0.45B,$31.04B,1.55%
2011-03-31,$0.43B,$28.62B,1.54%
2010-12-31,$0.40B,$26.64B,1.50%
2010-09-30,$0.38B,$28.22B,1.51%
2010-06-30,$0.37B,$27.45B,1.61%
2010-03-31,$0.34B,$23.81B,1.60%
2009-12-31,$0.32B,$21.89B,1.62%
2009-09-30,$0.28B,$19.56B,1.58%
2009-06-30,$0.27B,$20.86B,1.93%
2009-03-31,$0.28B,$15.63B,2.98%
2008-12-31,$0.30B,$14.96B,4.78%
2008-09-30,$0.32B,$4.16B,9.75%
2008-06-30,$0.31B,$3.00B,10.72%
2008-03-31,$0.28B,$3.05B,10.04%
2007-12-31,$0.24B,$2.80B,9.38%
2007-09-30,$0.23B,$2.68B,11.27%
2007-06-30,$0.20B,$2.55B,14.10%
2007-03-31,$0.18B,$2.30B,20.23%
2006-12-31,$0.14B,$0.49B,37.02%
2006-09-30,$0.11B,$0.42B,33.11%
2006-06-30,$0.07B,$0.35B,30.40%
2006-03-31,$0.03B,$0.29B,22.22%
2005-12-31,$0.02B,$0.27B,30.08%
