Aon Debt/Equity Ratio Historical Data,Aon Debt/Equity Ratio Historical Data,Aon Debt/Equity Ratio Historical Data,Aon Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$28.53B,$3.58B,7.96
2020-09-30,$27.74B,$3.62B,7.66
2020-06-30,$28.30B,$3.70B,7.66
2020-03-31,$27.02B,$3.26B,8.29
2019-12-31,$25.96B,$3.45B,7.53
2019-09-30,$24.61B,$3.56B,6.91
2019-06-30,$25.89B,$3.91B,6.62
2019-03-31,$24.27B,$4.86B,4.99
2018-12-31,$22.20B,$4.22B,5.26
2018-09-30,$21.27B,$4.33B,4.92
2018-06-30,$22.60B,$4.62B,4.89
2018-03-31,$22.46B,$5.39B,4.17
2017-12-31,$21.44B,$4.65B,4.61
2017-09-30,$20.68B,$5.25B,3.94
2017-06-30,$21.64B,$5.55B,3.9
2017-03-31,$21.16B,$5.83B,3.63
2016-12-31,$21.08B,$5.53B,3.81
2016-09-30,$19.76B,$5.49B,3.6
2016-06-30,$21.13B,$5.56B,3.8
2016-03-31,$21.47B,$5.35B,4.02
2015-12-31,$20.82B,$6.06B,3.44
2015-09-30,$21.26B,$5.94B,3.58
2015-06-30,$22.75B,$6.46B,3.52
2015-03-31,$21.96B,$6.43B,3.41
2014-12-31,$23.14B,$6.63B,3.49
2014-09-30,$21.56B,$7.27B,2.96
2014-06-30,$24.02B,$7.76B,3.1
2014-03-31,$22.07B,$8.01B,2.76
2013-12-31,$22.06B,$8.20B,2.69
2013-09-30,$21.72B,$7.59B,2.86
2013-06-30,$22.44B,$7.62B,2.95
2013-03-31,$22.40B,$7.63B,2.93
2012-12-31,$22.68B,$7.81B,2.91
2012-09-30,$21.15B,$8.36B,2.53
2012-06-30,$22.60B,$8.21B,2.75
2012-03-31,$21.86B,$8.42B,2.6
2011-12-31,$21.43B,$8.12B,2.64
2011-09-30,$20.47B,$8.28B,2.47
2011-06-30,$22.03B,$8.47B,2.6
2011-03-31,$21.32B,$8.49B,2.51
2010-12-31,$20.68B,$8.31B,2.49
2010-09-30,$17.51B,$5.84B,3.0
2010-06-30,$18.48B,$5.48B,3.37
2010-03-31,$17.50B,$5.46B,3.21
2009-12-31,$17.53B,$5.43B,3.23
2009-09-30,$15.51B,$6.13B,2.53
2009-06-30,$18.43B,$6.01B,3.07
2009-03-31,$17.45B,$5.66B,3.08
2008-12-31,$17.53B,$5.42B,3.24
2008-09-30,$14.77B,$5.95B,2.48
2008-06-30,$17.62B,$6.46B,2.73
2008-03-31,$20.06B,$6.45B,3.11
2007-12-31,$18.71B,$6.22B,3.01
2007-09-30,$18.21B,$5.62B,3.24
2007-06-30,$19.45B,$5.34B,3.64
2007-03-31,$19.33B,$5.26B,3.68
2006-12-31,$19.17B,$5.22B,3.67
2006-09-30,$23.31B,$5.37B,4.34
2006-06-30,$24.71B,$5.39B,4.58
2006-03-31,$23.31B,$5.31B,4.39
2005-12-31,$22.52B,$5.32B,4.24
2005-09-30,$21.89B,$5.33B,4.11
2005-06-30,$22.64B,$5.25B,4.31
2005-03-31,$23.42B,$5.14B,4.55
