Aon Price/Book Ratio Historical Data,Aon Price/Book Ratio Historical Data,Aon Price/Book Ratio Historical Data,Aon Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,237.0,,14.92
2020-12-31,210.79,$15.89,13.27
2020-09-30,205.32,$15.79,13.0
2020-06-30,191.28,$15.96,11.98
2020-03-31,163.49,$14.11,11.59
2019-12-31,205.92,$14.86,13.86
2019-09-30,190.93,$15.21,12.55
2019-06-30,189.91,$16.60,11.44
2019-03-31,167.57,$20.18,8.3
2018-12-31,142.33,$17.57,8.1
2018-09-30,150.19,$17.94,8.37
2018-06-30,133.6,$19.00,7.03
2018-03-31,136.29,$21.96,6.21
2017-12-31,129.82,$18.77,6.92
2017-09-30,141.18,$20.92,6.75
2017-06-30,128.14,$21.72,5.9
2017-03-31,114.06,$22.17,5.14
2016-12-31,106.86,$21.11,5.06
2016-09-30,107.46,$20.85,5.15
2016-06-30,104.04,$20.92,4.97
2016-03-31,99.17,$20.19,4.91
2015-12-31,87.24,$22.46,3.88
2015-09-30,83.57,$21.69,3.85
2015-06-30,93.74,$23.07,4.06
2015-03-31,90.11,$22.83,3.95
2014-12-31,88.66,$23.68,3.74
2014-09-30,81.72,$25.51,3.2
2014-06-30,83.73,$26.71,3.14
2014-03-31,78.1,$27.00,2.89
2013-12-31,77.57,$27.25,2.85
2013-09-30,68.69,$25.22,2.72
2013-06-30,59.22,$24.77,2.39
2013-03-31,56.43,$24.69,2.29
2012-12-31,50.89,$25.10,2.03
2012-09-30,47.71,$26.23,1.82
2012-06-30,42.55,$25.47,1.67
2012-03-31,44.49,$25.78,1.73
2011-12-31,42.31,$25.00,1.69
2011-09-30,37.83,$25.61,1.48
2011-06-30,46.09,$25.91,1.78
2011-03-31,47.45,$25.68,1.85
2010-12-31,41.08,$25.00,1.64
2010-09-30,34.8,$21.57,1.61
2010-06-30,32.89,$20.31,1.62
2010-03-31,37.71,$20.25,1.86
2009-12-31,33.73,$20.39,1.65
2009-09-30,35.66,$22.37,1.59
2009-06-30,33.07,$21.89,1.51
2009-03-31,35.51,$20.46,1.74
2008-12-31,39.59,$19.92,1.99
2008-09-30,38.81,$22.04,1.76
2008-06-30,39.52,$23.25,1.7
2008-03-31,34.47,$21.60,1.6
2007-12-31,40.75,$20.44,1.99
2007-09-30,38.17,$19.25,1.98
2007-06-30,36.16,$18.25,1.98
2007-03-31,32.09,$17.91,1.79
2006-12-31,29.75,$17.41,1.71
2006-09-30,28.39,$17.35,1.64
2006-06-30,29.06,$17.15,1.69
2006-03-31,34.52,$16.66,2.07
