Markel Debt/Equity Ratio Historical Data,Markel Debt/Equity Ratio Historical Data,Markel Debt/Equity Ratio Historical Data,Markel Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$28.90B,$12.82B,2.26
2020-09-30,$28.26B,$11.91B,2.37
2020-06-30,$27.66B,$11.41B,2.42
2020-03-31,$26.32B,$9.73B,2.7
2019-12-31,$26.40B,$11.08B,2.38
2019-09-30,$26.40B,$10.64B,2.48
2019-06-30,$26.01B,$10.41B,2.5
2019-03-31,$24.92B,$9.82B,2.54
2018-12-31,$24.21B,$9.10B,2.66
2018-09-30,$24.18B,$9.78B,2.47
2018-06-30,$23.77B,$9.48B,2.51
2018-03-31,$23.55B,$9.32B,2.53
2017-12-31,$23.30B,$9.50B,2.45
2017-09-30,$19.61B,$8.91B,2.2
2017-06-30,$18.25B,$8.95B,2.04
2017-03-31,$17.75B,$8.65B,2.05
2016-12-31,$17.41B,$8.47B,2.06
2016-09-30,$17.87B,$8.53B,2.09
2016-06-30,$17.89B,$8.45B,2.12
2016-03-31,$17.44B,$8.25B,2.12
2015-12-31,$17.10B,$7.84B,2.18
2015-09-30,$17.48B,$7.70B,2.27
2015-06-30,$17.62B,$7.75B,2.27
2015-03-31,$17.38B,$7.88B,2.21
2014-12-31,$17.60B,$7.60B,2.32
2014-09-30,$17.89B,$7.18B,2.49
2014-06-30,$18.02B,$7.15B,2.52
2014-03-31,$17.55B,$6.91B,2.54
2013-12-31,$17.28B,$6.68B,2.59
2013-09-30,$17.35B,$6.46B,2.68
2013-06-30,$17.17B,$6.33B,2.72
2013-03-31,$8.96B,$4.16B,2.16
2012-12-31,$8.67B,$3.89B,2.23
2012-09-30,$8.58B,$3.81B,2.25
2012-06-30,$8.31B,$3.66B,2.27
2012-03-31,$8.18B,$3.68B,2.23
2011-12-31,$8.14B,$3.39B,2.4
2011-09-30,$8.09B,$3.28B,2.47
2011-06-30,$8.12B,$3.35B,2.42
2011-03-31,$7.78B,$3.26B,2.38
2010-12-31,$7.64B,$3.19B,2.4
2010-09-30,$7.51B,$3.07B,2.44
2010-06-30,$7.46B,$2.87B,2.6
2010-03-31,$7.42B,$2.92B,2.54
2009-12-31,$7.45B,$2.79B,2.67
2009-09-30,$7.51B,$2.69B,2.79
2009-06-30,$7.36B,$2.35B,3.13
2009-03-31,$7.22B,$2.18B,3.31
2008-12-31,$7.33B,$2.18B,3.36
2008-09-30,$7.62B,$2.31B,3.29
2008-06-30,$7.56B,$2.49B,3.04
2008-03-31,$7.54B,$2.62B,2.88
2007-12-31,$7.49B,$2.64B,2.84
2007-09-30,$7.67B,$2.56B,2.99
2007-06-30,$7.75B,$2.45B,3.16
2007-03-31,$7.60B,$2.37B,3.2
2006-12-31,$7.79B,$2.30B,3.39
2006-09-30,$8.01B,$1.98B,4.05
2006-06-30,$7.95B,$1.74B,4.57
2006-03-31,$8.02B,$1.71B,4.7
2005-12-31,$8.11B,$1.71B,4.76
2005-09-30,$8.31B,$1.60B,5.21
2005-06-30,$7.52B,$1.75B,4.3
2005-03-31,$7.60B,$1.63B,4.67
