ProAssurance Price/Book Ratio Historical Data,ProAssurance Price/Book Ratio Historical Data,ProAssurance Price/Book Ratio Historical Data,ProAssurance Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,27.18,,1.09
2020-12-31,17.76,$25.04,0.71
2020-09-30,15.57,$24.68,0.63
2020-06-30,14.35,$27.36,0.52
2020-03-31,24.72,$26.51,0.93
2019-12-31,35.3,$28.11,1.26
2019-09-30,38.99,$29.56,1.32
2019-06-30,34.7,$29.42,1.18
2019-03-31,32.99,$29.06,1.14
2018-12-31,38.32,$28.39,1.35
2018-09-30,43.43,$29.60,1.47
2018-06-30,32.57,$29.37,1.11
2018-03-31,44.23,$29.28,1.51
2017-12-31,51.73,$29.83,1.73
2017-09-30,45.46,$34.65,1.31
2017-06-30,50.29,$34.41,1.46
2017-03-31,49.58,$34.19,1.45
2016-12-31,46.01,$33.78,1.36
2016-09-30,39.5,$38.38,1.03
2016-06-30,40.06,$38.12,1.05
2016-03-31,37.63,$37.30,1.01
2015-12-31,35.87,$36.88,0.97
2015-09-30,35.31,$37.76,0.94
2015-06-30,33.04,$38.09,0.87
2015-03-31,32.61,$38.39,0.85
2014-12-31,31.86,$38.17,0.83
2014-09-30,29.16,$40.24,0.72
2014-06-30,29.18,$40.23,0.73
2014-03-31,29.07,$39.51,0.74
2013-12-31,31.44,$39.13,0.8
2013-09-30,29.04,$38.48,0.75
2013-06-30,33.43,$37.79,0.88
2013-03-31,30.18,$38.19,0.79
2012-12-31,26.62,$36.85,0.72
2012-09-30,26.82,$38.23,0.7
2012-06-30,26.34,$37.15,0.71
2012-03-31,25.98,$36.16,0.72
2011-12-31,23.47,$35.42,0.66
2011-09-30,21.11,$33.11,0.64
2011-06-30,20.45,$32.14,0.64
2011-03-31,18.51,$30.82,0.6
2010-12-31,17.7,$30.17,0.59
2010-09-30,16.82,$29.45,0.57
2010-06-30,16.58,$28.15,0.59
2010-03-31,17.1,$27.04,0.63
2009-12-31,15.69,$26.30,0.6
2009-09-30,15.24,$25.25,0.6
2009-06-30,13.5,$23.36,0.58
2009-03-31,13.62,$22.10,0.62
2008-12-31,15.42,$21.35,0.72
2008-09-30,16.36,$19.89,0.82
2008-06-30,14.05,$20.06,0.7
2008-03-31,15.72,$18.97,0.83
2007-12-31,16.04,$19.34,0.83
2007-09-30,15.74,$18.34,0.86
2007-06-30,16.26,$17.45,0.93
2007-03-31,14.94,$17.46,0.86
2006-12-31,14.58,$16.81,0.87
2006-09-30,14.39,$16.29,0.88
2006-06-30,14.07,$14.59,0.96
2006-03-31,15.19,$14.30,1.06
