Brighthouse Financial ROA - Return on Assets Historical Data,Brighthouse Financial ROA - Return on Assets Historical Data,Brighthouse Financial ROA - Return on Assets Historical Data,Brighthouse Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$-1.11B,$247.87B,-0.47%
2020-09-30,$-1.14B,$239.68B,-0.49%
2020-06-30,$2.55B,$235.37B,1.12%
2020-03-31,$4.93B,$223.95B,2.19%
2019-12-31,$-0.76B,$227.26B,-0.34%
2019-09-30,$1.76B,$225.88B,0.81%
2019-06-30,$0.81B,$221.21B,0.38%
2019-03-31,$0.20B,$216.43B,0.09%
2018-12-31,$0.87B,$206.29B,0.40%
2018-09-30,$0.09B,$216.95B,0.04%
2018-06-30,$-0.58B,$216.21B,-0.26%
2018-03-31,$-0.10B,$219.00B,-0.04%
2017-12-31,$-0.38B,$224.19B,-0.23%
2017-06-30,$-0.26B,$224.33B,-0.47%
2017-03-31,$-1.93B,$0.00B,inf%
