Brighthouse Financial Debt/Equity Ratio Historical Data,Brighthouse Financial Debt/Equity Ratio Historical Data,Brighthouse Financial Debt/Equity Ratio Historical Data,Brighthouse Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$229.78B,$18.09B,12.7
2020-09-30,$221.35B,$18.33B,12.08
2020-06-30,$214.39B,$20.97B,10.22
2020-03-31,$203.51B,$20.44B,9.96
2019-12-31,$211.02B,$16.24B,13.0
2019-09-30,$208.12B,$17.76B,11.72
2019-06-30,$204.87B,$16.34B,12.54
2019-03-31,$201.37B,$15.06B,13.37
2018-12-31,$191.81B,$14.48B,13.24
2018-09-30,$204.00B,$12.95B,15.75
2018-06-30,$202.71B,$13.50B,15.02
2018-03-31,$205.32B,$13.67B,15.02
2017-12-31,$209.61B,$14.58B,14.38
2017-09-30,$209.45B,$13.83B,15.14
2017-06-30,$207.86B,$16.47B,12.63
2017-03-31,$0.00B,$0.00B,0.0
2016-12-31,$0.00B,,0.0
2016-09-30,$0.00B,$0.00B,0.0
2016-06-30,$0.00B,$0.00B,0.0
2015-12-31,$0.00B,$0.00B,0.0
