Reinsurance Group Of America Debt/Equity Ratio Historical Data,Reinsurance Group Of America Debt/Equity Ratio Historical Data,Reinsurance Group Of America Debt/Equity Ratio Historical Data,Reinsurance Group Of America Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$70.30B,$14.35B,4.9
2020-09-30,$68.91B,$13.21B,5.22
2020-06-30,$68.18B,$12.55B,5.43
2020-03-31,$66.35B,$9.30B,7.13
2019-12-31,$65.13B,$11.60B,5.61
2019-09-30,$64.25B,$11.52B,5.58
2019-06-30,$61.34B,$10.71B,5.73
2019-03-31,$57.02B,$9.67B,5.9
2018-12-31,$56.09B,$8.45B,6.64
2018-09-30,$54.39B,$8.58B,6.34
2018-06-30,$51.17B,$8.60B,5.95
2018-03-31,$51.95B,$9.01B,5.77
2017-12-31,$50.95B,$9.57B,5.32
2017-09-30,$50.60B,$8.10B,6.25
2017-06-30,$50.17B,$7.97B,6.29
2017-03-31,$46.39B,$7.42B,6.25
2016-12-31,$46.01B,$7.09B,6.49
2016-09-30,$46.84B,$7.99B,5.86
2016-06-30,$46.30B,$7.58B,6.11
2016-03-31,$45.47B,$6.72B,6.77
2015-12-31,$44.25B,$6.14B,7.21
2015-09-30,$41.37B,$6.24B,6.63
2015-06-30,$40.98B,$6.48B,6.32
2015-03-31,$37.54B,$7.15B,5.25
2014-12-31,$37.63B,$7.02B,5.36
2014-09-30,$36.23B,$6.68B,5.42
2014-06-30,$36.48B,$6.69B,5.45
2014-03-31,$34.29B,$6.25B,5.49
2013-12-31,$33.74B,$5.94B,5.68
2013-09-30,$33.63B,$5.90B,5.7
2013-06-30,$32.90B,$5.89B,5.59
2013-03-31,$33.28B,$6.92B,4.81
2012-12-31,$33.45B,$6.91B,4.84
2012-09-30,$33.19B,$6.73B,4.93
2012-06-30,$32.10B,$6.25B,5.14
2012-03-31,$26.36B,$5.93B,4.45
2011-12-31,$25.82B,$5.82B,4.44
2011-09-30,$25.52B,$5.66B,4.51
2011-06-30,$25.34B,$5.33B,4.76
2011-03-31,$24.49B,$5.02B,4.88
2010-12-31,$24.04B,$5.04B,4.77
2010-09-30,$23.94B,$5.00B,4.79
2010-06-30,$22.78B,$4.44B,5.13
2010-03-31,$22.56B,$4.17B,5.42
2009-12-31,$21.38B,$3.87B,5.53
2009-09-30,$20.39B,$3.77B,5.41
2009-06-30,$19.55B,$3.10B,6.31
2009-03-31,$19.16B,$2.47B,7.75
2008-12-31,$19.04B,$2.62B,7.28
2008-09-30,$19.24B,$2.61B,7.38
2008-06-30,$19.35B,$3.06B,6.32
2008-03-31,$18.75B,$3.06B,6.13
2007-12-31,$18.41B,$3.19B,5.77
2007-09-30,$18.06B,$3.04B,5.94
2007-06-30,$17.44B,$2.90B,6.03
2007-03-31,$16.94B,$2.89B,5.86
2006-12-31,$16.22B,$2.82B,5.76
2006-09-30,$15.70B,$2.78B,5.66
2006-06-30,$15.35B,$2.47B,6.23
2006-03-31,$14.08B,$2.49B,5.67
2005-12-31,$13.67B,$2.53B,5.41
2005-09-30,$12.92B,$2.53B,5.12
2005-06-30,$12.55B,$2.48B,5.06
2005-03-31,$12.13B,$2.30B,5.26
