Reinsurance Group Of America ROA - Return on Assets Historical Data,Reinsurance Group Of America ROA - Return on Assets Historical Data,Reinsurance Group Of America ROA - Return on Assets Historical Data,Reinsurance Group Of America ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.42B,$84.66B,0.51%
2020-09-30,$0.52B,$82.13B,0.66%
2020-06-30,$0.57B,$80.73B,0.74%
2020-03-31,$0.61B,$75.65B,0.82%
2019-12-31,$0.87B,$76.73B,1.19%
2019-09-30,$0.75B,$75.77B,1.07%
2019-06-30,$0.78B,$72.04B,1.18%
2019-03-31,$0.79B,$66.69B,1.24%
2018-12-31,$0.72B,$64.54B,1.15%
2018-09-30,$1.82B,$62.97B,2.98%
2018-06-30,$1.75B,$59.77B,2.92%
2018-03-31,$1.78B,$60.96B,2.98%
2017-12-31,$1.82B,$60.52B,3.15%
2017-09-30,$0.80B,$58.69B,1.42%
2017-06-30,$0.77B,$58.14B,1.40%
2017-03-31,$0.77B,$53.81B,1.43%
2016-12-31,$0.70B,$53.10B,1.31%
2016-09-30,$0.67B,$54.83B,1.28%
2016-06-30,$0.56B,$53.88B,1.10%
2016-03-31,$0.45B,$52.19B,0.92%
2015-12-31,$0.50B,$50.38B,1.06%
2015-09-30,$0.53B,$47.61B,1.15%
2015-06-30,$0.60B,$47.46B,1.34%
2015-03-31,$0.67B,$44.69B,1.53%
2014-12-31,$0.68B,$44.65B,1.60%
2014-09-30,$0.64B,$42.91B,1.53%
2014-06-30,$0.62B,$43.17B,1.52%
2014-03-31,$0.37B,$40.54B,0.93%
2013-12-31,$0.42B,$39.67B,1.06%
2013-09-30,$0.50B,$39.53B,1.25%
2013-06-30,$0.50B,$38.79B,1.26%
2013-03-31,$0.69B,$40.20B,1.75%
2012-12-31,$0.63B,$40.36B,1.67%
2012-09-30,$0.55B,$39.92B,1.54%
2012-06-30,$0.54B,$38.34B,1.61%
2012-03-31,$0.52B,$32.29B,1.66%
2011-12-31,$0.55B,$31.63B,1.78%
2011-09-30,$0.57B,$31.18B,1.88%
2011-06-30,$0.56B,$30.66B,1.89%
2011-03-31,$0.56B,$29.51B,1.96%
2010-12-31,$0.54B,$29.08B,1.91%
2010-09-30,$0.49B,$28.93B,1.81%
2010-06-30,$0.48B,$27.22B,1.85%
2010-03-31,$0.51B,$26.72B,2.04%
2009-12-31,$0.41B,$25.25B,1.73%
2009-09-30,$0.30B,$24.16B,1.35%
2009-06-30,$0.21B,$22.65B,0.96%
2009-03-31,$0.17B,$21.63B,0.77%
2008-12-31,$0.18B,$21.66B,0.81%
2008-09-30,$0.23B,$21.84B,1.06%
2008-06-30,$0.28B,$22.41B,1.31%
2008-03-31,$0.25B,$21.81B,1.18%
2007-12-31,$0.29B,$21.60B,1.42%
2007-09-30,$0.31B,$21.10B,1.55%
2007-06-30,$0.31B,$20.33B,1.59%
2007-03-31,$0.30B,$19.83B,1.57%
2006-12-31,$0.29B,$19.04B,1.60%
2006-09-30,$0.28B,$18.48B,1.59%
2006-06-30,$0.27B,$17.82B,1.63%
2006-03-31,$0.23B,$16.56B,1.44%
2005-12-31,$0.23B,$16.19B,1.47%
