Reinsurance Group Of America Price/Book Ratio Historical Data,Reinsurance Group Of America Price/Book Ratio Historical Data,Reinsurance Group Of America Price/Book Ratio Historical Data,Reinsurance Group Of America Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,129.15,,0.61
2020-12-31,115.22,$211.19,0.55
2020-09-30,94.06,$194.51,0.48
2020-06-30,76.94,$184.78,0.42
2020-03-31,81.89,$150.88,0.54
2019-12-31,157.97,$185.15,0.85
2019-09-30,154.25,$184.06,0.84
2019-06-30,149.82,$170.64,0.88
2019-03-31,136.33,$154.61,0.88
2018-12-31,134.08,$134.52,1.0
2018-09-30,137.65,$136.29,1.01
2018-06-30,126.57,$135.09,0.94
2018-03-31,145.55,$139.63,1.04
2017-12-31,146.89,$148.48,0.99
2017-09-30,131.01,$125.79,1.04
2017-06-30,120.12,$123.60,0.97
2017-03-31,118.42,$115.24,1.03
2016-12-31,116.97,$110.31,1.06
2016-09-30,99.96,$124.50,0.8
2016-06-30,89.46,$118.32,0.76
2016-03-31,88.43,$104.88,0.84
2015-12-31,78.26,$94.09,0.83
2015-09-30,82.54,$94.92,0.87
2015-06-30,86.1,$97.61,0.88
2015-03-31,84.28,$107.62,0.78
2014-12-31,78.94,$102.13,0.77
2014-09-30,71.92,$97.28,0.74
2014-06-30,70.52,$97.21,0.73
2014-03-31,70.9,$89.92,0.79
2013-12-31,68.65,$83.87,0.82
2013-09-30,59.15,$83.58,0.71
2013-06-30,60.75,$82.97,0.73
2013-03-31,52.26,$94.34,0.55
2012-12-31,46.68,$93.47,0.5
2012-09-30,50.25,$91.18,0.55
2012-06-30,46.01,$84.75,0.54
2012-03-31,51.24,$80.44,0.64
2011-12-31,44.88,$79.31,0.57
2011-09-30,39.33,$77.29,0.51
2011-06-30,51.92,$71.88,0.72
2011-03-31,53.46,$68.06,0.79
2010-12-31,45.65,$68.71,0.66
2010-09-30,40.94,$68.30,0.6
2010-06-30,38.66,$60.73,0.64
2010-03-31,44.32,$56.98,0.78
2009-12-31,40.1,$52.99,0.76
2009-09-30,37.46,$51.83,0.72
2009-06-30,29.26,$42.59,0.69
2009-03-31,27.07,$33.99,0.8
2008-12-31,35.69,$36.03,0.99
2008-09-30,39.43,$41.83,0.94
