Citigroup Debt/Equity Ratio Historical Data,Citigroup Debt/Equity Ratio Historical Data,Citigroup Debt/Equity Ratio Historical Data,Citigroup Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,"$2,059.89B",$200.20B,10.29
2020-09-30,"$2,039.86B",$194.60B,10.48
2020-06-30,"$2,040.41B",$192.30B,10.61
2020-03-31,"$2,026.79B",$192.98B,10.5
2019-12-31,"$1,757.21B",$193.95B,9.06
2019-09-30,"$1,817.73B",$197.07B,9.22
2019-06-30,"$1,790.12B",$198.11B,9.04
2019-03-31,"$1,761.40B",$197.02B,8.94
2018-12-31,"$1,720.31B",$197.07B,8.73
2018-09-30,"$1,727.30B",$197.86B,8.73
2018-06-30,"$1,711.37B",$200.97B,8.52
2018-03-31,"$1,719.24B",$202.87B,8.48
2017-12-31,"$1,640.79B",$201.67B,8.14
2017-09-30,"$1,660.51B",$228.62B,7.26
2017-06-30,"$1,632.96B",$231.11B,7.07
2017-03-31,"$1,592.48B",$229.15B,6.95
2016-12-31,"$1,565.93B",$226.14B,6.93
2016-09-30,"$1,585.43B",$232.69B,6.81
2016-06-30,"$1,585.75B",$233.02B,6.81
2016-03-31,"$1,572.21B",$228.76B,6.87
2015-12-31,"$1,508.12B",$223.09B,6.76
2015-09-30,"$1,586.22B",$222.14B,7.14
2015-06-30,"$1,608.55B",$220.83B,7.28
2015-03-31,"$1,615.78B",$216.02B,7.48
2014-12-31,"$1,630.49B",$211.70B,7.7
2014-09-30,"$1,668.96B",$213.89B,7.8
2014-06-30,"$1,696.62B",$213.10B,7.96
2014-03-31,"$1,684.49B",$210.24B,8.01
2013-12-31,"$1,674.25B",$206.13B,8.12
2013-09-30,"$1,696.77B",$202.74B,8.37
2013-06-30,"$1,686.16B",$197.83B,8.52
2013-03-31,"$1,686.40B",$195.34B,8.63
2012-12-31,"$1,673.66B",$191.00B,8.76
2012-09-30,"$1,742.61B",$188.74B,9.23
2012-06-30,"$1,730.61B",$185.84B,9.31
2012-03-31,"$1,760.70B",$183.72B,9.58
2011-12-31,"$1,694.31B",$179.57B,9.44
2011-09-30,"$1,756.65B",$179.34B,9.8
2011-06-30,"$1,777.98B",$178.65B,9.95
2011-03-31,"$1,774.42B",$173.39B,10.23
2010-12-31,"$1,748.11B",$165.79B,10.54
2010-09-30,"$1,818.10B",$165.18B,11.01
2010-06-30,"$1,780.33B",$157.33B,11.32
2010-03-31,"$1,848.43B",$153.78B,12.02
2009-12-31,"$1,701.67B",$154.97B,10.98
2009-09-30,"$1,745.65B",$142.95B,12.21
2009-06-30,"$1,694.37B",$154.17B,10.99
2009-03-31,"$1,676.65B",$145.93B,11.49
2008-12-31,"$1,794.45B",$144.02B,12.46
2008-09-30,"$1,924.07B",$126.06B,15.26
2008-06-30,"$1,963.98B",$136.41B,14.4
2008-03-31,"$2,071.63B",$128.22B,16.16
2007-12-31,"$2,074.03B",$113.45B,18.28
2007-09-30,"$2,231.15B",$127.11B,17.55
2007-06-30,"$2,093.11B",$127.75B,16.38
2007-03-31,"$1,898.88B",$122.08B,15.55
2006-12-31,"$1,764.54B",$119.78B,14.73
2006-09-30,"$1,628.38B",$117.87B,13.82
2006-06-30,"$1,511.12B",$115.43B,13.09
2006-03-31,"$1,471.78B",$114.42B,12.86
2005-12-31,"$1,381.50B",$112.54B,12.28
2005-09-30,"$1,360.96B",$111.84B,12.17
2005-06-30,"$1,434.75B",$113.04B,12.69
2005-03-31,"$1,379.36B",$110.54B,12.48
