Ares Management Debt/Equity Ratio Historical Data,Ares Management Debt/Equity Ratio Historical Data,Ares Management Debt/Equity Ratio Historical Data,Ares Management Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$12.70B,$2.47B,5.14
2020-09-30,$12.56B,$2.37B,5.3
2020-06-30,$11.72B,$2.00B,5.85
2020-03-31,$11.24B,$1.98B,5.69
2019-12-31,$10.16B,$1.86B,5.46
2019-09-30,$9.75B,$1.84B,5.29
2019-06-30,$9.38B,$1.60B,5.85
2019-03-31,$9.01B,$1.48B,6.09
2018-12-31,$8.76B,$1.39B,6.28
2018-09-30,$8.93B,$1.49B,5.99
2018-06-30,$8.61B,$1.54B,5.61
2018-03-31,$7.00B,$1.57B,4.47
2017-12-31,$7.10B,$1.46B,4.86
2017-09-30,$6.64B,$1.38B,4.82
2017-06-30,$5.00B,$1.25B,4.0
2017-03-31,$4.54B,$1.18B,3.86
2016-12-31,$4.45B,$1.38B,3.23
2016-09-30,$3.97B,$1.35B,2.95
2016-06-30,$3.38B,$1.29B,2.62
2016-03-31,$3.40B,$0.94B,3.62
2015-12-31,$3.35B,$0.97B,3.46
2015-09-30,$3.76B,$1.00B,3.78
2015-06-30,$14.72B,$5.72B,2.58
2015-03-31,$15.75B,$5.86B,2.69
2014-12-31,$15.94B,$5.70B,2.8
2014-09-30,$16.35B,$5.67B,2.89
2014-06-30,$15.80B,$5.79B,2.73
2014-03-31,$0.00B,$0.00B,0.0
2013-12-31,$0.00B,,0.0
2013-09-30,$0.00B,$0.00B,0.0
2013-06-30,$0.00B,$0.00B,0.0
2012-12-31,$17.50B,$6.99B,2.5
2011-12-31,$0.00B,$0.00B,0.0
