Main Street Capital ROA - Return on Assets Historical Data,Main Street Capital ROA - Return on Assets Historical Data,Main Street Capital ROA - Return on Assets Historical Data,Main Street Capital ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.03B,$2.77B,1.11%
2020-09-30,$-0.03B,$2.66B,-1.31%
2020-06-30,$-0.08B,$2.55B,-3.00%
2020-03-31,$-0.08B,$2.48B,-3.17%
2019-12-31,$0.13B,$2.71B,4.87%
2019-09-30,$0.12B,$2.67B,4.71%
2019-06-30,$0.16B,$2.63B,6.13%
2019-03-31,$0.18B,$2.60B,6.91%
2018-12-31,$0.17B,$2.55B,6.80%
2018-09-30,$0.22B,$2.52B,9.12%
2018-06-30,$0.19B,$2.46B,7.92%
2018-03-31,$0.17B,$2.40B,7.65%
2017-12-31,$0.17B,$2.27B,7.75%
2017-09-30,$0.16B,$2.27B,7.32%
2017-06-30,$0.17B,$2.17B,7.93%
2017-03-31,$0.15B,$2.08B,7.52%
2016-12-31,$0.14B,$2.07B,6.98%
2016-09-30,$0.10B,$2.01B,5.09%
2016-06-30,$0.08B,$1.99B,3.99%
2016-03-31,$0.09B,$1.90B,4.56%
2015-12-31,$0.11B,$1.88B,5.56%
2015-09-30,$0.12B,$1.96B,6.46%
2015-06-30,$0.12B,$1.89B,6.86%
2015-03-31,$0.11B,$1.83B,6.55%
2014-12-31,$0.10B,$1.69B,6.52%
2014-09-30,$0.10B,$1.58B,6.82%
2014-06-30,$0.11B,$1.55B,7.67%
2014-03-31,$0.10B,$1.38B,7.69%
2013-12-31,$0.10B,$1.36B,7.99%
2013-09-30,$0.10B,$1.24B,8.83%
2013-06-30,$0.10B,$1.23B,9.99%
2013-03-31,$0.10B,$1.03B,11.01%
2012-12-31,$0.10B,$1.04B,11.78%
2012-09-30,$0.10B,$0.87B,12.50%
2012-06-30,$0.08B,$0.84B,10.97%
2012-03-31,$0.08B,$0.78B,11.00%
2011-12-31,$0.06B,$0.74B,9.88%
2011-09-30,$0.05B,$0.67B,9.20%
2011-06-30,$0.05B,$0.62B,9.73%
2011-03-31,$0.04B,$0.53B,9.24%
2010-12-31,$0.04B,$0.45B,10.34%
2010-09-30,$0.03B,$0.42B,9.87%
2010-06-30,$0.03B,$0.33B,10.50%
2010-03-31,$0.02B,$0.31B,10.02%
2009-12-31,$0.01B,$0.20B,7.07%
2009-09-30,$0.01B,$0.19B,6.75%
2009-06-30,$0.01B,$0.18B,4.63%
2009-03-31,$0.01B,$0.17B,4.69%
2008-12-31,$0.01B,$0.17B,6.15%
2008-09-30,$0.01B,$0.17B,3.89%
2008-06-30,$0.01B,$0.17B,4.33%
2008-03-31,$0.00B,$0.20B,3.38%
2007-12-31,$0.00B,$0.18B,4.38%
2007-09-30,$0.01B,$0.10B,52.53%
