First Commonwealth Financial Debt/Equity Ratio Historical Data,First Commonwealth Financial Debt/Equity Ratio Historical Data,First Commonwealth Financial Debt/Equity Ratio Historical Data,First Commonwealth Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$8.00B,$1.07B,7.49
2020-09-30,$8.22B,$1.07B,7.66
2020-06-30,$8.29B,$1.08B,7.71
2020-03-31,$7.46B,$1.06B,7.05
2019-12-31,$7.25B,$1.06B,6.87
2019-09-30,$7.11B,$1.04B,6.85
2019-06-30,$7.05B,$1.02B,6.9
2019-03-31,$6.98B,$1.00B,6.99
2018-12-31,$6.85B,$0.98B,7.03
2018-09-30,$6.71B,$0.97B,6.9
2018-06-30,$6.69B,$0.96B,6.96
2018-03-31,$6.42B,$0.90B,7.14
2017-12-31,$6.42B,$0.89B,7.23
2017-09-30,$6.49B,$0.89B,7.26
2017-06-30,$6.50B,$0.88B,7.4
2017-03-31,$6.05B,$0.76B,7.95
2016-12-31,$5.93B,$0.75B,7.91
2016-09-30,$5.92B,$0.75B,7.87
2016-06-30,$6.01B,$0.74B,8.1
2016-03-31,$5.97B,$0.73B,8.14
2015-12-31,$5.85B,$0.72B,8.13
2015-09-30,$5.66B,$0.72B,7.83
2015-06-30,$5.61B,$0.71B,7.88
2015-03-31,$5.62B,$0.71B,7.88
2014-12-31,$5.64B,$0.72B,7.88
2014-09-30,$5.65B,$0.71B,7.96
2014-06-30,$5.58B,$0.73B,7.7
2014-03-31,$5.49B,$0.72B,7.66
2013-12-31,$5.50B,$0.71B,7.73
2013-09-30,$5.44B,$0.71B,7.65
2013-06-30,$5.44B,$0.71B,7.66
2013-03-31,$5.35B,$0.75B,7.16
2012-12-31,$5.25B,$0.75B,7.04
2012-09-30,$5.19B,$0.77B,6.71
2012-06-30,$5.17B,$0.77B,6.7
2012-03-31,$5.20B,$0.77B,6.78
2011-12-31,$5.08B,$0.76B,6.7
2011-09-30,$4.89B,$0.77B,6.36
2011-06-30,$4.93B,$0.76B,6.47
2011-03-31,$5.01B,$0.75B,6.66
2010-12-31,$5.06B,$0.75B,6.75
2010-09-30,$5.17B,$0.74B,6.97
2010-06-30,$5.40B,$0.65B,8.26
2010-03-31,$5.71B,$0.63B,9.02
2009-12-31,$5.81B,$0.64B,9.09
2009-09-30,$5.87B,$0.64B,9.12
2009-06-30,$5.82B,$0.63B,9.18
2009-03-31,$5.78B,$0.65B,8.92
2008-12-31,$5.77B,$0.65B,8.84
2008-09-30,$5.67B,$0.53B,10.67
2008-06-30,$5.71B,$0.55B,10.44
2008-03-31,$5.55B,$0.57B,9.65
2007-12-31,$5.32B,$0.57B,9.34
2007-09-30,$5.16B,$0.56B,9.18
2007-06-30,$5.18B,$0.56B,9.24
2007-03-31,$5.29B,$0.57B,9.24
2006-12-31,$5.47B,$0.57B,9.58
2006-09-30,$5.52B,$0.57B,9.71
2006-06-30,$5.41B,$0.51B,10.59
2006-03-31,$5.43B,$0.52B,10.53
2005-12-31,$5.51B,$0.52B,10.57
2005-09-30,$5.64B,$0.52B,10.83
2005-06-30,$5.65B,$0.53B,10.68
2005-03-31,$5.69B,$0.51B,11.08
