Alleghany Debt/Equity Ratio Historical Data,Alleghany Debt/Equity Ratio Historical Data,Alleghany Debt/Equity Ratio Historical Data,Alleghany Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$20.17B,$8.76B,2.3
2020-09-30,$19.86B,$8.60B,2.31
2020-06-30,$19.17B,$8.46B,2.27
2020-03-31,$17.90B,$7.86B,2.28
2019-12-31,$18.16B,$8.78B,2.07
2019-09-30,$17.66B,$8.83B,2.0
2019-06-30,$17.67B,$8.69B,2.03
2019-03-31,$17.56B,$8.24B,2.13
2018-12-31,$17.65B,$7.69B,2.3
2018-09-30,$17.20B,$8.60B,2.0
2018-06-30,$16.68B,$8.40B,1.99
2018-03-31,$16.72B,$8.37B,2.0
2017-12-31,$16.87B,$8.51B,1.98
2017-09-30,$17.51B,$8.20B,2.14
2017-06-30,$16.09B,$8.44B,1.91
2017-03-31,$15.75B,$8.19B,1.93
2016-12-31,$15.82B,$7.94B,1.99
2016-09-30,$16.01B,$8.11B,1.98
2016-06-30,$15.90B,$7.92B,2.01
2016-03-31,$15.28B,$7.77B,1.97
2015-12-31,$15.28B,$7.56B,2.02
2015-09-30,$15.97B,$7.46B,2.14
2015-06-30,$16.28B,$7.65B,2.13
2015-03-31,$15.92B,$7.64B,2.09
2014-12-31,$16.02B,$7.47B,2.14
2014-09-30,$16.52B,$7.41B,2.23
2014-06-30,$16.44B,$7.41B,2.22
2014-03-31,$16.36B,$7.14B,2.29
2013-12-31,$16.41B,$6.95B,2.36
2013-09-30,$16.50B,$6.74B,2.45
2013-06-30,$16.39B,$6.50B,2.52
2013-03-31,$16.18B,$6.63B,2.44
2012-12-31,$16.40B,$6.40B,2.56
2012-09-30,$16.18B,$6.58B,2.46
2012-06-30,$16.14B,$6.28B,2.57
2012-03-31,$15.59B,$6.18B,2.52
2011-12-31,$3.55B,$2.93B,1.21
2011-09-30,$3.57B,$2.85B,1.25
2011-06-30,$3.59B,$3.03B,1.18
2011-03-31,$3.48B,$3.05B,1.14
2010-12-31,$3.52B,$2.91B,1.21
2010-09-30,$3.68B,$2.81B,1.31
2010-06-30,$3.51B,$2.71B,1.29
2010-03-31,$3.41B,$2.77B,1.23
2009-12-31,$3.48B,$2.72B,1.28
2009-09-30,$3.58B,$2.68B,1.34
2009-06-30,$3.61B,$2.57B,1.41
2009-03-31,$3.46B,$2.55B,1.36
2008-12-31,$3.54B,$2.65B,1.34
2008-09-30,$4.51B,$2.69B,1.68
2008-06-30,$4.31B,$2.90B,1.49
2008-03-31,$3.99B,$2.84B,1.41
2007-12-31,$4.16B,$2.78B,1.49
2007-09-30,$3.96B,$2.70B,1.47
2007-06-30,$3.74B,$2.60B,1.44
2007-03-31,$3.70B,$2.51B,1.47
2006-12-31,$3.73B,$2.45B,1.52
2006-09-30,$3.89B,$2.35B,1.66
2006-06-30,$3.90B,$2.29B,1.71
2006-03-31,$3.94B,$1.94B,2.03
2005-12-31,$3.93B,$1.87B,2.1
2005-09-30,$3.91B,$1.81B,2.16
2005-06-30,$2.87B,$1.84B,1.56
2005-03-31,$2.76B,$1.83B,1.51
