Morgan Stanley Debt/Equity Ratio Historical Data,Morgan Stanley Debt/Equity Ratio Historical Data,Morgan Stanley Debt/Equity Ratio Historical Data,Morgan Stanley Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$0.00B,,0.0
2020-09-30,$866.12B,$89.82B,9.64
2020-06-30,$887.35B,$88.01B,10.08
2020-03-31,$860.57B,$87.23B,9.87
2019-12-31,$812.73B,$82.70B,9.83
2019-09-30,$819.05B,$83.55B,9.8
2019-06-30,$809.11B,$82.85B,9.77
2019-03-31,$794.07B,$81.89B,9.7
2018-12-31,$772.13B,$81.41B,9.49
2018-09-30,$785.44B,$80.07B,9.81
2018-06-30,$795.37B,$80.51B,9.88
2018-03-31,$779.01B,$79.49B,9.8
2017-12-31,$773.27B,$78.47B,9.86
2017-09-30,$773.58B,$80.11B,9.66
2017-06-30,$761.05B,$79.97B,9.52
2017-03-31,$753.31B,$79.08B,9.53
2016-12-31,$737.77B,$77.18B,9.56
2016-09-30,$735.43B,$78.46B,9.37
2016-06-30,$750.50B,$78.38B,9.58
2016-03-31,$730.32B,$77.18B,9.46
2015-12-31,$711.28B,$76.18B,9.34
2015-09-30,$757.69B,$76.42B,9.92
2015-06-30,$749.69B,$76.07B,9.86
2015-03-31,$753.63B,$75.47B,9.99
2014-12-31,$729.41B,$72.10B,10.12
2014-09-30,$740.50B,$74.01B,10.01
2014-06-30,$754.37B,$72.20B,10.45
2014-03-31,$761.11B,$70.27B,10.83
2013-12-31,$763.67B,$69.03B,11.06
2013-09-30,$763.98B,$68.24B,11.2
2013-06-30,$736.58B,$66.11B,11.14
2013-03-31,$735.31B,$66.07B,11.13
2012-12-31,$715.53B,$65.43B,10.94
2012-09-30,$699.82B,$65.17B,10.74
2012-06-30,$676.88B,$71.64B,9.45
2012-03-31,$710.44B,$70.59B,10.06
2011-12-31,$679.82B,$70.08B,9.7
2011-09-30,$724.85B,$70.09B,10.34
2011-06-30,$762.60B,$68.14B,11.19
2011-03-31,$769.68B,$66.51B,11.57
2010-12-31,$742.29B,$65.41B,11.35
2010-09-30,$775.79B,$65.58B,11.83
2010-06-30,$750.30B,$59.16B,12.68
2010-03-31,$764.54B,$55.18B,13.86
2009-12-31,$718.68B,$52.78B,13.62
2009-09-30,$717.28B,$52.22B,13.74
2009-06-30,$625.49B,$51.46B,12.15
2009-03-31,$576.82B,$49.21B,11.72
2008-12-31,$627.31B,$49.46B,12.68
2008-11-30,$607.50B,$51.54B,11.79
2008-09-30,$0.00B,,0.0
2008-08-31,$951.64B,$35.77B,26.61
2008-06-30,$0.00B,,0.0
2008-05-31,$996.74B,$34.49B,28.9
2008-03-31,$0.00B,,0.0
2008-02-29,"$1,057.62B",$33.28B,31.78
2007-12-31,$0.00B,,0.0
2007-11-30,"$1,014.14B",$31.27B,32.43
2007-08-31,"$1,149.88B",$35.25B,32.62
2007-05-31,"$1,160.48B",$39.51B,29.37
2007-02-28,"$1,144.11B",$37.95B,30.15
2006-11-30,"$1,085.83B",$35.36B,30.7
2006-08-31,$994.70B,$34.17B,29.11
2006-05-31,$994.79B,$32.26B,30.84
2006-02-28,$929.49B,$30.12B,30.86
2005-11-30,$869.34B,$29.18B,29.79
2005-08-31,$809.17B,$28.23B,28.67
2005-05-31,$790.38B,$28.33B,27.9
2005-02-28,$773.72B,$28.50B,27.15
