BLK,2020-12-31,$4.93B,$0.00B,4.18%
BLK,2020-09-30,$4.69B,$165.12B,2.93%
BLK,2020-06-30,$4.44B,$157.34B,2.78%
BLK,2020-03-31,$4.23B,$149.02B,2.62%
BLK,2019-12-31,$4.48B,$168.62B,2.71%
BLK,2019-09-30,$4.10B,$163.87B,2.52%
BLK,2019-06-30,$4.20B,$163.35B,2.53%
BLK,2019-03-31,$4.27B,$165.01B,2.46%
BLK,2018-12-31,$4.31B,$159.57B,2.31%
BLK,2018-09-30,$5.67B,$174.86B,2.81%
BLK,2018-06-30,$5.40B,$195.55B,2.53%
BLK,2018-03-31,$5.18B,$216.02B,2.37%
BLK,2017-12-31,$4.95B,$220.24B,2.23%
BLK,2017-09-30,$3.50B,$220.57B,1.58%
BLK,2017-06-30,$3.44B,$217.49B,1.54%
BLK,2017-03-31,$3.37B,$230.59B,1.50%
BLK,2016-12-31,$3.17B,$220.18B,1.42%
BLK,2016-09-30,$3.18B,$226.74B,1.42%
BLK,2016-06-30,$3.15B,$222.06B,1.41%
BLK,2016-03-31,$3.18B,$222.96B,1.40%
BLK,2015-12-31,$3.35B,$225.26B,1.44%
BLK,2015-09-30,$3.30B,$222.22B,1.40%
BLK,2015-06-30,$3.37B,$237.01B,1.43%
BLK,2015-03-31,$3.36B,$242.71B,1.43%
BLK,2014-12-31,$3.29B,$239.79B,1.45%
BLK,2014-09-30,$3.32B,$222.81B,1.49%
BLK,2014-06-30,$3.14B,$231.69B,1.42%
BLK,2014-03-31,$3.06B,$216.30B,1.45%
BLK,2013-12-31,$2.93B,$219.87B,1.42%
BLK,2013-09-30,$2.78B,$212.72B,1.38%
BLK,2013-06-30,$2.69B,$193.75B,1.37%
BLK,2013-03-31,$2.52B,$200.74B,1.30%
BLK,2012-12-31,$2.46B,$200.45B,1.29%
BLK,2012-09-30,$2.33B,$192.83B,1.26%
BLK,2012-06-30,$2.28B,$182.48B,1.26%
BLK,2012-03-31,$2.35B,$185.52B,1.30%
BLK,2011-12-31,$2.34B,$179.90B,1.30%
BLK,2011-09-30,$2.43B,$174.28B,1.36%
BLK,2011-06-30,$2.39B,$185.05B,1.33%
BLK,2011-03-31,$2.20B,$178.42B,1.27%
BLK,2010-12-31,$2.06B,$178.46B,1.21%
BLK,2010-09-30,$1.66B,$174.50B,0.97%
BLK,2010-06-30,$1.43B,$162.27B,1.08%
BLK,2010-03-31,$1.21B,$168.06B,1.25%
BLK,2009-12-31,$0.88B,$178.12B,1.46%
BLK,2009-09-30,$0.67B,$21.38B,3.32%
BLK,2009-06-30,$0.57B,$20.41B,2.81%
BLK,2009-03-31,$0.63B,$19.22B,3.03%
BLK,2008-12-31,$0.78B,$19.92B,3.67%
BLK,2008-09-30,$1.05B,$21.70B,4.78%
BLK,2008-06-30,$1.09B,$22.02B,4.87%
BLK,2008-03-31,$1.04B,$21.82B,4.64%
BLK,2007-12-31,$0.99B,$22.56B,4.48%
BLK,2007-09-30,$0.84B,$23.08B,3.90%
BLK,2007-06-30,$0.61B,$21.99B,2.98%
BLK,2007-03-31,$0.45B,$20.88B,2.92%
BLK,2006-12-31,$0.32B,$20.47B,3.07%
BLK,2006-09-30,$0.23B,$17.88B,3.85%
BLK,2006-06-30,$0.27B,$1.92B,14.71%
BLK,2006-03-31,$0.26B,$1.84B,14.90%
BLK,2005-12-31,$0.23B,$1.85B,14.23%
CME,2020-12-31,$2.11B,$124.66B,1.67%
CME,2020-09-30,$2.15B,$125.76B,1.89%
CME,2020-06-30,$2.38B,$117.22B,2.32%
CME,2020-03-31,$2.39B,$137.93B,2.63%
CME,2019-12-31,$2.12B,$75.22B,2.86%
CME,2019-09-30,$2.03B,$79.42B,2.72%
CME,2019-06-30,$1.81B,$70.35B,2.50%
CME,2019-03-31,$1.86B,$71.62B,2.58%
CME,2018-12-31,$1.96B,$77.48B,2.73%
