Capital One Financial Price/Book Ratio Historical Data,Capital One Financial Price/Book Ratio Historical Data,Capital One Financial Price/Book Ratio Historical Data,Capital One Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,134.17,,1.02
2020-12-31,98.52,$131.17,0.75
2020-09-30,71.53,$127.73,0.56
2020-06-30,62.21,$122.82,0.51
2020-03-31,49.79,$124.82,0.4
2019-12-31,101.23,$127.06,0.8
2019-09-30,89.13,$125.04,0.71
2019-06-30,88.5,$118.57,0.75
2019-03-31,79.32,$113.89,0.7
2018-12-31,73.02,$110.47,0.66
2018-09-30,91.3,$106.91,0.85
2018-06-30,88.03,$104.35,0.84
2018-03-31,91.39,$101.27,0.9
2017-12-31,94.56,$100.37,0.94
2017-09-30,80.02,$103.53,0.77
2017-06-30,77.73,$101.59,0.77
2017-03-31,81.13,$99.51,0.82
2016-12-31,81.3,$98.94,0.82
2016-09-30,66.59,$98.55,0.68
2016-06-30,58.52,$95.09,0.62
2016-03-31,63.5,$92.73,0.68
2015-12-31,65.7,$89.68,0.73
2015-09-30,65.67,$89.15,0.74
2015-06-30,79.28,$86.01,0.92
2015-03-31,70.68,$83.45,0.85
2014-12-31,73.74,$81.41,0.91
2014-09-30,72.64,$78.81,0.92
2014-06-30,73.23,$77.98,0.94
2014-03-31,68.14,$74.71,0.91
2013-12-31,67.37,$72.70,0.93
2013-09-30,60.19,$71.74,0.84
2013-06-30,54.76,$70.17,0.78
2013-03-31,47.66,$70.71,0.67
2012-12-31,50.2,$69.56,0.72
2012-09-30,49.37,$68.25,0.72
2012-06-30,47.29,$64.05,0.74
2012-03-31,48.18,$63.68,0.76
2011-12-31,36.51,$64.50,0.57
2011-09-30,34.17,$63.92,0.53
2011-06-30,44.5,$62.44,0.71
2011-03-31,44.71,$60.06,0.74
2010-12-31,36.59,$58.07,0.63
2010-09-30,33.96,$57.04,0.6
2010-06-30,34.56,$55.33,0.62
2010-03-31,35.47,$53.40,0.66
2009-12-31,32.79,$58.42,0.56
2009-09-30,30.52,$57.62,0.53
2009-06-30,18.66,$55.68,0.34
2009-03-31,10.42,$67.59,0.15
2008-12-31,26.46,$67.92,0.39
2008-09-30,41.87,$65.39,0.64
2008-06-30,30.93,$66.34,0.47
2008-03-31,39.78,$65.70,0.61
2007-12-31,37.91,$65.16,0.58
2007-09-30,53.26,$64.31,0.83
2007-06-30,62.86,$64.34,0.98
2007-03-31,60.45,$63.11,0.96
2006-12-31,61.52,$61.56,1.0
2006-09-30,62.97,$54.78,1.15
2006-06-30,68.39,$52.31,1.31
2006-03-31,64.42,$50.06,1.29
