Capital One Financial ROA - Return on Assets Historical Data,Capital One Financial ROA - Return on Assets Historical Data,Capital One Financial ROA - Return on Assets Historical Data,Capital One Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$2.38B,$421.60B,0.57%
2020-09-30,$0.93B,$421.88B,0.23%
2020-06-30,$-0.12B,$421.30B,-0.03%
2020-03-31,$2.42B,$396.88B,0.63%
2019-12-31,$5.19B,$390.37B,1.37%
2019-09-30,$5.32B,$378.81B,1.42%
2019-06-30,$5.49B,$373.62B,1.48%
2019-03-31,$5.77B,$373.19B,1.57%
2018-12-31,$5.71B,$372.54B,1.56%
2018-09-30,$3.50B,$362.91B,0.96%
2018-06-30,$3.10B,$363.99B,0.85%
2018-03-31,$2.24B,$362.86B,0.62%
2017-12-31,$1.70B,$365.69B,0.48%
2017-09-30,$3.46B,$361.40B,0.98%
2017-06-30,$3.37B,$350.59B,0.96%
2017-03-31,$3.30B,$348.55B,0.95%
2016-12-31,$3.51B,$357.03B,1.02%
2016-09-30,$3.65B,$345.06B,1.08%
2016-06-30,$3.77B,$339.12B,1.14%
2016-03-31,$3.73B,$330.35B,1.16%
2015-12-31,$3.87B,$334.05B,1.22%
2015-09-30,$4.00B,$313.70B,1.29%
2015-06-30,$3.98B,$310.51B,1.30%
2015-03-31,$4.32B,$306.22B,1.43%
2014-12-31,$4.34B,$308.17B,1.45%
2014-09-30,$4.20B,$300.20B,1.42%
2014-06-30,$4.24B,$298.32B,1.44%
2014-03-31,$4.15B,$290.50B,1.41%
2013-12-31,$4.05B,$296.93B,1.37%
2013-09-30,$4.02B,$289.89B,1.34%
2013-06-30,$4.10B,$296.54B,1.35%
2013-03-31,$3.10B,$300.16B,1.02%
2012-12-31,$3.46B,$312.92B,1.15%
2012-09-30,$3.04B,$301.99B,1.11%
2012-06-30,$2.68B,$296.57B,1.08%
2012-03-31,$3.50B,$294.48B,1.56%
2011-12-31,$3.12B,$206.02B,1.55%
2011-09-30,$3.44B,$200.15B,1.73%
2011-06-30,$3.43B,$199.75B,1.73%
2011-03-31,$3.12B,$199.30B,1.58%
2010-12-31,$2.74B,$197.50B,1.38%
2010-09-30,$2.42B,$196.93B,1.27%
2010-06-30,$2.01B,$197.49B,1.09%
2010-03-31,$1.13B,$200.71B,0.63%
2009-12-31,$0.32B,$169.65B,0.19%
2009-09-30,$-1.51B,$168.50B,-0.88%
2009-06-30,$-1.53B,$171.91B,-0.91%
2009-03-31,$-0.80B,$177.39B,-0.49%
2008-12-31,$-0.08B,$165.91B,-0.05%
2008-09-30,$1.60B,$154.80B,1.06%
2008-06-30,$1.15B,$151.11B,0.77%
2008-03-31,$1.44B,$150.61B,0.97%
2007-12-31,$1.57B,$150.59B,1.06%
2007-09-30,$1.73B,$147.16B,1.17%
2007-06-30,$2.40B,$145.94B,1.78%
2007-03-31,$2.21B,$148.70B,1.83%
2006-12-31,$2.42B,$149.74B,2.28%
2006-09-30,$2.30B,$94.91B,2.54%
2006-06-30,$2.21B,$89.53B,2.69%
2006-03-31,$2.19B,$89.27B,2.96%
2005-12-31,$1.81B,$88.70B,2.76%
