Capital One Financial Debt/Equity Ratio Historical Data,Capital One Financial Debt/Equity Ratio Historical Data,Capital One Financial Debt/Equity Ratio Historical Data,Capital One Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$361.40B,$60.20B,6.0
2020-09-30,$363.46B,$58.42B,6.22
2020-06-30,$365.25B,$56.05B,6.52
2020-03-31,$340.05B,$56.83B,5.98
2019-12-31,$332.35B,$58.01B,5.73
2019-09-30,$320.58B,$58.24B,5.51
2019-06-30,$317.85B,$55.77B,5.7
2019-03-31,$319.71B,$53.48B,5.98
2018-12-31,$320.87B,$51.67B,6.21
2018-09-30,$312.27B,$50.64B,6.17
2018-06-30,$314.06B,$49.93B,6.29
2018-03-31,$313.65B,$49.20B,6.38
2017-12-31,$316.96B,$48.73B,6.5
2017-09-30,$311.25B,$50.15B,6.21
2017-06-30,$301.46B,$49.14B,6.14
2017-03-31,$300.51B,$48.04B,6.26
2016-12-31,$309.52B,$47.51B,6.51
2016-09-30,$296.85B,$48.21B,6.16
2016-06-30,$291.01B,$48.11B,6.05
2016-03-31,$282.64B,$47.71B,5.92
2015-12-31,$286.76B,$47.28B,6.07
2015-09-30,$266.02B,$47.69B,5.58
2015-06-30,$263.85B,$46.66B,5.66
2015-03-31,$260.49B,$45.73B,5.7
2014-12-31,$263.11B,$45.05B,5.84
2014-09-30,$256.18B,$44.02B,5.82
2014-06-30,$254.50B,$43.82B,5.81
2014-03-31,$247.70B,$42.80B,5.79
2013-12-31,$255.30B,$41.63B,6.13
2013-09-30,$248.14B,$41.75B,5.94
2013-06-30,$255.50B,$41.04B,6.23
2013-03-31,$258.87B,$41.30B,6.27
2012-12-31,$272.42B,$40.50B,6.73
2012-09-30,$262.32B,$39.67B,6.61
2012-06-30,$259.38B,$37.19B,6.97
2012-03-31,$257.53B,$36.95B,6.97
2011-12-31,$176.35B,$29.67B,5.95
2011-09-30,$170.77B,$29.38B,5.81
2011-06-30,$171.07B,$28.68B,5.97
2011-03-31,$171.75B,$27.55B,6.23
2010-12-31,$170.96B,$26.54B,6.44
2010-09-30,$170.87B,$26.06B,6.56
2010-06-30,$172.22B,$25.27B,6.82
2010-03-31,$176.33B,$24.37B,7.23
2009-12-31,$143.06B,$26.59B,5.38
2009-09-30,$142.28B,$26.22B,5.43
2009-06-30,$146.58B,$25.33B,5.79
2009-03-31,$150.64B,$26.74B,5.63
2008-12-31,$139.30B,$26.61B,5.23
2008-09-30,$129.19B,$25.61B,5.04
2008-06-30,$126.19B,$24.92B,5.06
2008-03-31,$125.99B,$24.62B,5.12
2007-12-31,$126.30B,$24.29B,5.2
2007-09-30,$122.37B,$24.79B,4.94
2007-06-30,$120.75B,$25.19B,4.79
2007-03-31,$122.68B,$26.02B,4.72
2006-12-31,$124.50B,$25.24B,4.93
2006-09-30,$78.23B,$16.68B,4.69
2006-06-30,$73.63B,$15.90B,4.63
2006-03-31,$74.10B,$15.17B,4.89
2005-12-31,$74.57B,$14.13B,5.28
2005-09-30,$49.39B,$11.04B,4.48
2005-06-30,$46.58B,$10.41B,4.47
2005-03-31,$46.65B,$8.98B,5.2
