1,AFL,NYK,24.05.2016,fraud,-2,2,-4,6,insurance,,Event ID,
3,AFL,NYK,30.10.2013,fraud,-2,2,-4,6,insurance,,1,insurance
6,AFL,NYK,29.11.2012,fraud,-2,2,-4,6,insurance,,3,insurance
12,ANAT,NYK,22.03.2021,fraud,-2,2,-4,6,insurance,,6,insurance
20,AON,NYK,14.04.2021,fraud,-2,2,-4,6,insurance,,12,insurance
21,AON,NYK,06.03.2019,fraud,-2,2,-4,6,insurance,,20,insurance
23,AON,NYK,20.07.2020,fraud,-2,2,-4,6,insurance,,21,insurance
26,AON,NYK,13.04.2021,fraud,-2,2,-4,6,insurance,,23,insurance
30,ARCC,NYK,14.04.2021,fraud,-2,2,-4,6,asset management,,26,insurance
36,ARCC,NYK,17.11.2020,fraud,-2,2,-4,6,asset management,,30,asset management
37,ARCC,NYK,01.02.2017,fraud,-2,2,-4,6,asset management,,36,asset management
38,ARCC,NYK,20.02.2018,fraud,-2,2,-4,6,asset management,,37,asset management
42,AXP,NYK,22.03.2021,fraud,-2,2,-4,6,banking,,38,asset management
50,BAC,NYK,07.10.2020,fraud,-2,2,-4,6,banking,,42,banking
51,BAC,NYK,27.02.2018,fraud,-2,2,-4,6,banking,,50,banking
54,BAC,NYK,15.07.2015,fraud,-2,2,-4,6,banking,,51,banking
55,BAC,NYK,31.01.2013,fraud,-2,2,-4,6,banking,,54,banking
56,BAC,NYK,08.10.2009,fraud,-2,2,-4,6,banking,,55,banking
57,BAC,NYK,07.12.2018,fraud,-2,2,-4,6,banking,,57,banking
58,BAC,NYK,20.02.2018,fraud,-2,2,-4,6,banking,,58,banking
60,BHF,NYK,13.04.2021,fraud,-2,2,-4,6,insurance,,60,insurance
64,BHF,NYK,22.03.2021,fraud,-2,2,-4,6,insurance,,64,insurance
65,BHF,NYK,09.04.2021,fraud,-2,2,-4,6,insurance,,65,insurance
67,BHF,NYK,01.02.2017,fraud,-2,2,-4,6,insurance,,70,banking
70,BK,NYK,07.10.2020,fraud,-2,2,-4,6,banking,,71,banking
71,BK,NYK,27.02.2018,fraud,-2,2,-4,6,banking,,74,banking
74,BK,NYK,15.07.2015,fraud,-2,2,-4,6,banking,,75,banking
75,BK,NYK,31.01.2013,fraud,-2,2,-4,6,banking,,77,banking
76,BK,NYK,08.10.2009,fraud,-2,2,-4,6,banking,,78,banking
77,BK,NYK,07.12.2018,fraud,-2,2,-4,6,banking,,81,asset management
78,BK,NYK,20.02.2018,fraud,-2,2,-4,6,banking,,82,asset management
81,BLK,NYK,28.07.2011,fraud,-2,2,-4,6,asset management,,90,insurance
82,BLK,NYK,11.01.2021,fraud,-2,2,-4,6,asset management,,100,asset management
90,BRK-A,NYK,08.05.2019,fraud,-2,2,-4,6,insurance,,112,insurance
100,CG,NYK,28.08.2019,fraud,-2,2,-4,6,asset management,,121,asset management
