Event ID,sector
1,insurance
3,insurance
6,insurance
12,insurance
20,insurance
21,insurance
23,insurance
26,insurance
30,asset management
36,asset management
37,asset management
38,asset management
42,banking
50,banking
51,banking
54,banking
55,banking
57,banking
58,banking
60,insurance
64,insurance
65,insurance
70,banking
71,banking
74,banking
75,banking
77,banking
78,banking
81,asset management
82,asset management
90,insurance
100,asset management
112,insurance
121,asset management
122,asset management
123,asset management
132,insurance
134,insurance
136,insurance
138,insurance
144,banking
150,insurance
152,insurance
154,insurance
157,insurance
160,banking
162,banking
164,banking
167,banking
170,banking
171,banking
173,banking
174,banking
180,banking
182,banking
184,banking
187,banking
201,insurance
203,insurance
204,insurance
208,insurance
210,insurance
211,insurance
213,insurance
214,insurance
215,insurance
216,insurance
221,insurance
222,insurance
223,insurance
224,insurance
226,insurance
230,banking
232,banking
233,banking
236,banking
240,banking
241,banking
242,banking
243,banking
244,banking
245,banking
247,banking
251,asset management
252,asset management
253,asset management
255,asset management
258,asset management
260,banking
265,banking
266,banking
269,banking
270,banking
271,banking
276,banking
277,banking
281,insurance
285,insurance
289,asset management
290,asset management
294,asset management
299,asset management
300,insurance
307,insurance
308,insurance
313,banking
315,banking
318,banking
324,insurance
327,insurance
328,insurance
330,asset management
333,asset management
334,asset management
335,asset management
336,asset management
339,asset management
340,insurance
347,insurance
350,asset management
353,asset management
354,asset management
355,asset management
360,insurance
363,insurance
364,insurance
371,asset management
380,banking
393,insurance
396,insurance
398,insurance
400,banking
403,banking
405,banking
406,banking
407,banking
413,insurance
415,insurance
416,insurance
420,banking
425,banking
428,banking
429,banking
431,insurance
432,insurance
435,insurance
440,banking
444,banking
446,banking
448,banking
463,banking
465,banking
471,insurance
473,insurance
477,insurance
481,banking
482,banking
484,banking
486,banking
487,banking
