Cincinnati Financial Debt/Equity Ratio Historical Data,Cincinnati Financial Debt/Equity Ratio Historical Data,Cincinnati Financial Debt/Equity Ratio Historical Data,Cincinnati Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$16.75B,$10.79B,1.55
2020-09-30,$16.63B,$9.75B,1.71
2020-06-30,$16.19B,$9.26B,1.75
2020-03-31,$15.33B,$8.04B,1.91
2019-12-31,$15.54B,$9.86B,1.58
2019-09-30,$15.37B,$9.37B,1.64
2019-06-30,$15.21B,$9.13B,1.67
2019-03-31,$14.72B,$8.63B,1.71
2018-12-31,$14.10B,$7.83B,1.8
2018-09-30,$14.15B,$8.33B,1.7
2018-06-30,$13.84B,$7.92B,1.75
2018-03-31,$13.52B,$7.95B,1.7
2017-12-31,$13.60B,$8.24B,1.65
2017-09-30,$14.07B,$7.52B,1.87
2017-06-30,$13.87B,$7.37B,1.88
2017-03-31,$13.50B,$7.26B,1.86
2016-12-31,$13.33B,$7.06B,1.89
2016-09-30,$13.33B,$7.12B,1.87
2016-06-30,$13.18B,$6.97B,1.89
2016-03-31,$12.71B,$6.74B,1.89
2015-12-31,$12.46B,$6.43B,1.94
2015-09-30,$12.40B,$6.35B,1.95
2015-06-30,$12.39B,$6.50B,1.91
2015-03-31,$12.29B,$6.61B,1.86
2014-12-31,$12.18B,$6.57B,1.85
2014-09-30,$12.10B,$6.38B,1.9
2014-06-30,$11.99B,$6.34B,1.89
2014-03-31,$11.77B,$6.17B,1.91
2013-12-31,$11.59B,$6.07B,1.91
2013-09-30,$11.52B,$5.82B,1.98
2013-06-30,$11.34B,$5.70B,1.99
2013-03-31,$11.25B,$5.79B,1.95
2012-12-31,$11.10B,$5.45B,2.04
2012-09-30,$11.12B,$5.36B,2.08
2012-06-30,$10.95B,$5.14B,2.13
2012-03-31,$10.82B,$5.21B,2.08
2011-12-31,$10.60B,$5.03B,2.11
2011-09-30,$10.63B,$4.79B,2.22
2011-06-30,$10.65B,$5.06B,2.11
2011-03-31,$10.25B,$5.12B,2.0
2010-12-31,$10.06B,$5.03B,2.0
2010-09-30,$10.06B,$5.01B,2.01
2010-06-30,$9.87B,$4.74B,2.08
2010-03-31,$9.75B,$4.87B,2.0
2009-12-31,$9.68B,$4.76B,2.03
2009-09-30,$9.60B,$4.63B,2.08
2009-06-30,$9.38B,$4.14B,2.26
2009-03-31,$9.23B,$3.88B,2.38
2008-12-31,$9.19B,$4.18B,2.2
2008-09-30,$9.62B,$4.69B,2.05
2008-06-30,$10.10B,$4.71B,2.15
2008-03-31,$10.50B,$5.45B,1.93
2007-12-31,$10.71B,$5.93B,1.81
2007-09-30,$11.08B,$6.54B,1.7
2007-06-30,$11.44B,$6.83B,1.68
2007-03-31,$11.51B,$6.71B,1.72
2006-12-31,$10.41B,$6.81B,1.53
2006-09-30,$11.21B,$6.46B,1.73
2006-06-30,$10.87B,$6.07B,1.79
2006-03-31,$10.56B,$6.20B,1.7
2005-12-31,$9.92B,$6.09B,1.63
2005-09-30,$9.97B,$6.02B,1.66
2005-06-30,$9.89B,$6.13B,1.61
2005-03-31,$9.79B,$6.01B,1.63
