Hanover Insurance Debt/Equity Ratio Historical Data,Hanover Insurance Debt/Equity Ratio Historical Data,Hanover Insurance Debt/Equity Ratio Historical Data,Hanover Insurance Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$10.24B,$3.20B,3.2
2020-09-30,$10.24B,$3.16B,3.25
2020-06-30,$9.77B,$3.07B,3.18
2020-03-31,$9.54B,$2.74B,3.49
2019-12-31,$9.57B,$2.92B,3.28
2019-09-30,$9.54B,$3.09B,3.09
2019-06-30,$9.22B,$2.94B,3.13
2019-03-31,$9.06B,$2.93B,3.09
2018-12-31,$9.45B,$2.96B,3.2
2018-09-30,$12.64B,$2.98B,4.24
2018-06-30,$12.46B,$2.94B,4.24
2018-03-31,$12.42B,$2.91B,4.26
2017-12-31,$12.47B,$3.00B,4.16
2017-09-30,$12.42B,$2.97B,4.18
2017-06-30,$11.82B,$2.97B,3.98
2017-03-31,$11.58B,$2.91B,3.97
2016-12-31,$11.36B,$2.86B,3.98
2016-09-30,$11.32B,$3.05B,3.72
2016-06-30,$11.15B,$3.01B,3.71
2016-03-31,$11.07B,$2.96B,3.74
2015-12-31,$10.94B,$2.84B,3.85
2015-09-30,$11.16B,$2.88B,3.88
2015-06-30,$11.24B,$2.91B,3.86
2015-03-31,$11.03B,$2.90B,3.8
2014-12-31,$10.92B,$2.84B,3.84
2014-09-30,$11.19B,$2.77B,4.04
2014-06-30,$11.17B,$2.80B,4.0
2014-03-31,$10.96B,$2.68B,4.09
2013-12-31,$10.78B,$2.60B,4.16
2013-09-30,$10.92B,$2.54B,4.29
2013-06-30,$10.81B,$2.50B,4.33
2013-03-31,$10.82B,$2.62B,4.12
2012-12-31,$10.89B,$2.60B,4.2
2012-09-30,$10.63B,$2.70B,3.94
2012-06-30,$10.50B,$2.62B,4.01
2012-03-31,$10.33B,$2.58B,4.01
2011-12-31,$10.12B,$2.48B,4.07
2011-09-30,$10.23B,$2.46B,4.17
2011-06-30,$6.50B,$2.49B,2.61
2011-03-31,$6.03B,$2.49B,2.42
2010-12-31,$6.11B,$2.46B,2.48
2010-09-30,$6.12B,$2.48B,2.47
2010-06-30,$6.02B,$2.35B,2.56
2010-03-31,$5.77B,$2.30B,2.51
2009-12-31,$5.68B,$2.36B,2.41
2009-09-30,$5.68B,$2.41B,2.36
2009-06-30,$5.53B,$2.22B,2.49
2009-03-31,$5.73B,$1.97B,2.91
2008-12-31,$7.34B,$1.89B,3.89
2008-09-30,$7.22B,$2.04B,3.54
2008-06-30,$7.25B,$2.21B,3.28
2008-03-31,$7.38B,$2.32B,3.18
2007-12-31,$7.52B,$2.30B,3.27
2007-09-30,$7.65B,$2.19B,3.49
2007-06-30,$7.71B,$2.10B,3.67
2007-03-31,$7.68B,$2.10B,3.65
2006-12-31,$7.86B,$2.00B,3.93
2006-09-30,$7.94B,$1.91B,4.16
2006-06-30,$7.92B,$1.77B,4.47
2006-03-31,$8.31B,$1.84B,4.51
2005-12-31,$8.68B,$1.95B,4.45
2005-09-30,$19.78B,$1.87B,10.59
2005-06-30,$19.36B,$2.49B,7.77
2005-03-31,$19.84B,$2.33B,8.53
