American National Price/Book Ratio Historical Data,American National Price/Book Ratio Historical Data,American National Price/Book Ratio Historical Data,American National Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,110.57,,0.53
2020-03-31,79.26,$208.54,0.38
2019-12-31,112.28,$223.00,0.5
2019-09-30,117.22,$216.90,0.54
2019-06-30,109.59,$214.51,0.51
2019-03-31,112.87,$208.02,0.54
2018-12-31,118.18,$196.08,0.6
2018-09-30,119.3,$200.17,0.6
2018-06-30,109.65,$194.98,0.56
2018-03-31,106.5,$193.83,0.55
2017-12-31,115.96,$195.15,0.59
2017-09-30,106.07,$181.33,0.58
2017-06-30,103.9,$178.20,0.58
2017-03-31,104.54,$175.95,0.59
2016-12-31,109.61,$173.19,0.63
2016-09-30,106.55,$173.93,0.61
2016-06-30,98.17,$171.56,0.57
2016-03-31,99.52,$168.15,0.59
2015-12-31,87.45,$165.93,0.53
2015-09-30,82.87,$165.29,0.5
2015-06-30,86.14,$167.15,0.52
2015-03-31,82.24,$168.48,0.49
2014-12-31,94.81,$165.23,0.57
2014-09-30,92.63,$164.08,0.56
2014-06-30,93.48,$162.93,0.57
2014-03-31,91.92,$158.67,0.58
2013-12-31,92.51,$156.29,0.59
2013-09-30,78.65,$149.66,0.53
2013-06-30,79.22,$146.24,0.54
2013-03-31,68.64,$146.78,0.47
2012-12-31,53.45,$143.06,0.37
2012-09-30,55.6,$143.02,0.39
2012-06-30,54.57,$139.65,0.39
2012-03-31,54.9,$139.93,0.39
2011-12-31,54.7,$136.10,0.4
2011-09-30,51.32,$135.66,0.38
2011-06-30,56.85,$138.10,0.41
2011-03-31,57.51,$137.55,0.42
2010-12-31,61.61,$135.59,0.45
2010-09-30,54.14,$134.91,0.4
2010-06-30,57.14,$129.96,0.44
2010-03-31,79.54,$132.01,0.6
2009-12-31,83.09,$129.47,0.64
2009-09-30,58.85,$128.52,0.46
2009-06-30,51.71,$121.45,0.43
2009-03-31,35.51,,0.0
2008-12-31,48.98,$117.16,0.42
2008-09-30,56.71,,0.0
2008-06-30,63.88,,0.0
2008-03-31,69.05,,0.0
2007-12-31,77.92,,0.0
2007-09-30,84.02,,0.0
2007-06-30,96.91,,0.0
2007-03-31,80.82,,0.0
2006-12-31,71.66,,0.0
2006-09-30,72.3,,0.0
2006-06-30,80.4,,0.0
2006-03-31,69.02,,0.0
