Travelers Price/Book Ratio Historical Data,Travelers Price/Book Ratio Historical Data,Travelers Price/Book Ratio Historical Data,Travelers Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,151.65,,1.31
2020-12-31,139.6,$115.69,1.21
2020-09-30,106.92,$109.94,0.97
2020-06-30,111.88,$106.41,1.05
2020-03-31,96.8,$99.70,0.97
2019-12-31,132.5,$101.54,1.3
2019-09-30,142.99,$99.21,1.44
2019-06-30,143.01,$97.28,1.47
2019-03-31,130.47,$92.94,1.4
2018-12-31,113.24,$86.85,1.3
2018-09-30,121.9,$84.82,1.44
2018-06-30,114.3,$84.51,1.35
2018-03-31,128.97,$85.04,1.52
2017-12-31,125.33,$87.44,1.43
2017-09-30,112.6,$86.73,1.3
2017-06-30,115.57,$86.47,1.34
2017-03-31,109.46,$84.51,1.3
2016-12-31,110.55,$83.05,1.33
2016-09-30,102.86,$86.02,1.2
2016-06-30,106.29,$85.72,1.24
2016-03-31,103.6,$82.65,1.25
2015-12-31,99.64,$79.75,1.25
2015-09-30,87.4,$79.00,1.11
2015-06-30,84.36,$77.51,1.09
2015-03-31,93.78,$77.96,1.2
2014-12-31,91.33,$77.08,1.18
2014-09-30,80.64,$76.41,1.06
2014-06-30,80.27,$75.32,1.07
2014-03-31,72.2,$73.06,0.99
2013-12-31,76.36,$70.14,1.09
2013-09-30,71.1,$68.14,1.04
2013-06-30,66.62,$66.64,1.0
2013-03-31,69.75,$68.00,1.03
2012-12-31,59.16,$67.32,0.88
2012-09-30,55.88,$67.81,0.82
2012-06-30,51.9,$64.89,0.8
2012-03-31,47.77,$63.81,0.75
2011-12-31,47.4,$62.31,0.76
2011-09-30,38.75,$60.98,0.64
2011-06-30,46.05,$59.61,0.77
2011-03-31,46.61,$60.06,0.78
2010-12-31,43.39,$58.62,0.74
2010-09-30,40.31,$59.27,0.68
2010-06-30,37.83,$55.83,0.68
2010-03-31,41.13,$53.66,0.77
2009-12-31,37.79,$52.69,0.72
2009-09-30,37.07,$51.40,0.72
2009-06-30,30.71,$47.44,0.65
2009-03-31,30.21,$45.27,0.67
2008-12-31,33.31,$43.27,0.77
2008-09-30,33.08,$42.10,0.79
2008-06-30,31.55,$43.73,0.72
2008-03-31,34.57,$43.48,0.8
2007-12-31,38.62,$42.44,0.91
2007-09-30,35.95,$40.72,0.88
2007-06-30,37.99,$38.54,0.99
2007-03-31,36.57,$38.11,0.96
2006-12-31,37.73,$37.06,1.02
2006-09-30,32.79,$35.89,0.91
2006-06-30,30.99,$33.34,0.93
2006-03-31,28.88,$32.80,0.88
