Travelers Debt/Equity Ratio Historical Data,Travelers Debt/Equity Ratio Historical Data,Travelers Debt/Equity Ratio Historical Data,Travelers Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$87.56B,$29.20B,3.0
2020-09-30,$88.54B,$27.85B,3.18
2020-06-30,$86.39B,$26.94B,3.21
2020-03-31,$84.23B,$25.20B,3.34
2019-12-31,$84.18B,$25.94B,3.25
2019-09-30,$84.63B,$25.61B,3.31
2019-06-30,$83.25B,$25.32B,3.29
2019-03-31,$82.91B,$24.34B,3.41
2018-12-31,$81.34B,$22.89B,3.55
2018-09-30,$81.93B,$22.46B,3.65
2018-06-30,$80.90B,$22.62B,3.58
2018-03-31,$80.70B,$22.98B,3.51
2017-12-31,$79.75B,$23.73B,3.36
2017-09-30,$80.57B,$23.74B,3.39
2017-06-30,$78.81B,$23.86B,3.3
2017-03-31,$77.63B,$23.61B,3.29
2016-12-31,$77.02B,$23.22B,3.32
2016-09-30,$78.35B,$24.44B,3.21
2016-06-30,$77.73B,$24.71B,3.15
2016-03-31,$77.51B,$24.17B,3.21
2015-12-31,$76.59B,$23.60B,3.25
2015-09-30,$78.08B,$24.03B,3.25
2015-06-30,$77.54B,$24.12B,3.22
2015-03-31,$77.84B,$24.85B,3.13
2014-12-31,$78.24B,$24.84B,3.15
2014-09-30,$79.20B,$25.32B,3.13
2014-06-30,$79.28B,$25.53B,3.11
2014-03-31,$78.75B,$25.39B,3.1
2013-12-31,$79.02B,$24.80B,3.19
2013-09-30,$77.87B,$24.81B,3.14
2013-06-30,$77.01B,$24.89B,3.09
2013-03-31,$78.30B,$25.60B,3.06
2012-12-31,$79.53B,$25.41B,3.13
2012-09-30,$79.54B,$25.91B,3.07
2012-06-30,$79.28B,$25.05B,3.17
2012-03-31,$79.99B,$24.87B,3.22
2011-12-31,$80.10B,$24.48B,3.27
2011-09-30,$81.76B,$25.17B,3.25
2011-06-30,$81.46B,$25.01B,3.26
2011-03-31,$80.01B,$25.24B,3.17
2010-12-31,$80.18B,$25.48B,3.15
2010-09-30,$80.86B,$27.30B,2.96
2010-06-30,$80.74B,$26.29B,3.07
2010-03-31,$82.03B,$26.67B,3.08
2009-12-31,$82.15B,$27.42B,3.0
2009-09-30,$84.46B,$28.16B,3.0
2009-06-30,$84.41B,$26.92B,3.14
2009-03-31,$83.97B,$26.50B,3.17
2008-12-31,$84.31B,$25.32B,3.33
2008-09-30,$87.97B,$24.72B,3.56
2008-06-30,$87.70B,$25.92B,3.38
2008-03-31,$87.76B,$26.39B,3.33
2007-12-31,$88.61B,$26.62B,3.33
2007-09-30,$89.34B,$26.31B,3.4
2007-06-30,$90.04B,$25.32B,3.56
2007-03-31,$88.76B,$25.36B,3.5
2006-12-31,$90.16B,$25.14B,3.59
2006-09-30,$90.75B,$24.75B,3.67
2006-06-30,$90.83B,$23.05B,3.94
2006-03-31,$90.54B,$22.84B,3.97
2005-12-31,$90.88B,$22.30B,4.08
2005-09-30,$91.03B,$22.41B,4.06
2005-06-30,$89.44B,$22.37B,4.0
2005-03-31,$90.80B,$20.73B,4.38
