PNC Financial Services ROA - Return on Assets Historical Data,PNC Financial Services ROA - Return on Assets Historical Data,PNC Financial Services ROA - Return on Assets Historical Data,PNC Financial Services ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$7.28B,$466.68B,1.59%
2020-09-30,$7.20B,$461.82B,1.62%
2020-06-30,$7.06B,$458.98B,1.64%
2020-03-31,$4.78B,$445.49B,1.14%
2019-12-31,$5.13B,$410.30B,1.27%
2019-09-30,$5.10B,$408.92B,1.28%
2019-06-30,$5.11B,$405.76B,1.31%
2019-03-31,$5.09B,$392.84B,1.33%
2018-12-31,$5.06B,$382.32B,1.33%
2018-09-30,$5.79B,$380.08B,1.52%
2018-06-30,$5.52B,$380.71B,1.46%
2018-03-31,$5.25B,$379.16B,1.39%
2017-12-31,$5.05B,$380.77B,1.35%
2017-09-30,$4.01B,$375.19B,1.08%
2017-06-30,$3.89B,$372.19B,1.05%
2017-03-31,$3.78B,$370.94B,1.03%
2016-12-31,$3.66B,$366.38B,1.00%
2016-09-30,$3.64B,$369.35B,1.00%
2016-06-30,$3.71B,$361.34B,1.03%
2016-03-31,$3.78B,$360.99B,1.05%
2015-12-31,$3.86B,$358.49B,1.08%
2015-09-30,$3.90B,$362.13B,1.10%
2015-06-30,$3.87B,$353.95B,1.12%
2015-03-31,$3.88B,$350.96B,1.14%
2014-12-31,$3.94B,$345.07B,1.18%
2014-09-30,$3.95B,$334.42B,1.21%
2014-06-30,$3.94B,$327.06B,1.23%
2014-03-31,$4.00B,$323.42B,1.27%
2013-12-31,$3.93B,$320.19B,1.28%
2013-09-30,$3.58B,$308.60B,1.18%
2013-06-30,$3.51B,$304.42B,1.16%
2013-03-31,$2.97B,$300.81B,0.99%
2012-12-31,$2.81B,$305.11B,0.93%
2012-09-30,$2.62B,$300.80B,0.90%
2012-06-30,$2.57B,$299.58B,0.90%
2012-03-31,$2.93B,$295.88B,1.06%
2011-12-31,$3.00B,$271.21B,1.13%
2011-09-30,$3.34B,$269.47B,1.26%
2011-06-30,$3.61B,$263.12B,1.38%
2011-03-31,$3.51B,$259.38B,1.34%
2010-12-31,$3.01B,$264.28B,1.15%
2010-09-30,$3.22B,$260.13B,1.22%
2010-06-30,$2.60B,$261.70B,0.97%
2010-03-31,$1.88B,$265.40B,0.69%
2009-12-31,$2.00B,$269.86B,0.72%
2009-09-30,$0.72B,$271.41B,0.26%
2009-06-30,$0.50B,$279.75B,0.20%
2009-03-31,$0.94B,$286.42B,0.44%
2008-12-31,$0.86B,$291.08B,0.48%
2008-09-30,$1.31B,$145.61B,0.92%
2008-06-30,$1.47B,$142.77B,1.06%
2008-03-31,$1.39B,$139.99B,1.03%
2007-12-31,$1.47B,$138.92B,1.13%
2007-09-30,$1.66B,$131.37B,1.38%
2007-06-30,$2.74B,$125.65B,2.44%
2007-03-31,$2.70B,$122.56B,2.58%
2006-12-31,$2.59B,$101.82B,2.67%
2006-09-30,$2.57B,$98.44B,2.72%
2006-06-30,$1.42B,$94.91B,1.52%
2006-03-31,$1.32B,$93.26B,1.43%
2005-12-31,$1.32B,$91.95B,1.47%
