Webster Financial Price/Book Ratio Historical Data,Webster Financial Price/Book Ratio Historical Data,Webster Financial Price/Book Ratio Historical Data,Webster Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,56.43,,1.57
2020-12-31,41.82,$35.86,1.17
2020-09-30,25.93,$35.69,0.73
2020-06-30,27.68,$35.20,0.79
2020-03-31,21.81,$34.27,0.64
2019-12-31,50.38,$34.86,1.45
2019-09-30,43.89,$34.25,1.28
2019-06-30,44.37,$33.32,1.33
2019-03-31,47.06,$32.22,1.46
2018-12-31,45.5,$31.31,1.45
2018-09-30,54.13,$30.56,1.77
2018-06-30,58.19,$30.01,1.94
2018-03-31,50.33,$29.56,1.7
2017-12-31,50.78,$29.36,1.73
2017-09-30,47.29,$28.71,1.65
2017-06-30,46.75,$28.30,1.65
2017-03-31,44.58,$27.84,1.6
2016-12-31,48.13,$27.54,1.75
2016-09-30,33.49,$27.44,1.22
2016-06-30,29.71,$27.08,1.1
2016-03-31,31.19,$26.68,1.17
2015-12-31,32.09,$26.36,1.22
2015-09-30,30.56,$26.25,1.16
2015-06-30,33.72,$25.94,1.3
2015-03-31,31.39,$26.03,1.21
2014-12-31,27.4,$25.70,1.07
2014-09-30,24.39,$25.65,0.95
2014-06-30,26.21,$25.36,1.03
2014-03-31,25.64,$24.94,1.03
2013-12-31,25.61,$24.56,1.04
2013-09-30,20.85,$24.14,0.86
2013-06-30,20.86,$23.72,0.88
2013-03-31,19.58,$23.75,0.82
2012-12-31,16.51,$24.64,0.67
2012-09-30,18.96,$22.68,0.84
2012-06-30,17.24,$22.11,0.78
2012-03-31,17.96,$21.72,0.83
2011-12-31,16.12,$21.16,0.76
2011-09-30,12.06,$21.25,0.57
2011-06-30,16.53,$21.18,0.78
2011-03-31,16.81,$20.99,0.8
2010-12-31,15.45,$20.48,0.75
2010-09-30,13.76,$24.40,0.56
2010-06-30,14.05,$24.13,0.58
2010-03-31,13.69,$23.81,0.58
2009-12-31,9.29,$25.14,0.37
2009-09-30,9.75,$27.85,0.35
2009-06-30,6.29,$28.88,0.22
2009-03-31,3.31,$35.30,0.09
2008-12-31,10.71,$35.62,0.3
2008-09-30,19.3,$34.46,0.56
2008-06-30,14.0,$36.00,0.39
2008-03-31,20.76,$32.71,0.63
2007-12-31,23.59,$33.09,0.71
2007-09-30,30.81,$33.73,0.91
2007-06-30,30.99,$33.63,0.92
2007-03-31,34.64,$33.70,1.03
2006-12-31,34.96,$35.86,0.98
2006-09-30,33.43,$32.07,1.04
2006-06-30,33.47,$31.27,1.07
2006-03-31,34.0,$31.09,1.09
