Webster Financial Debt/Equity Ratio Historical Data,Webster Financial Debt/Equity Ratio Historical Data,Webster Financial Debt/Equity Ratio Historical Data,Webster Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$29.36B,$3.24B,9.08
2020-09-30,$29.78B,$3.22B,9.25
2020-06-30,$29.53B,$3.18B,9.3
2020-03-31,$28.57B,$3.09B,9.24
2019-12-31,$27.18B,$3.21B,8.47
2019-09-30,$26.74B,$3.15B,8.48
2019-06-30,$25.88B,$3.07B,8.44
2019-03-31,$25.27B,$2.97B,8.52
2018-12-31,$24.72B,$2.89B,8.57
2018-09-30,$24.53B,$2.82B,8.71
2018-06-30,$24.28B,$2.76B,8.79
2018-03-31,$24.04B,$2.72B,8.85
2017-12-31,$23.79B,$2.70B,8.8
2017-09-30,$23.71B,$2.64B,8.99
2017-06-30,$23.57B,$2.61B,9.05
2017-03-31,$23.44B,$2.56B,9.16
2016-12-31,$23.55B,$2.53B,9.32
2016-09-30,$23.12B,$2.51B,9.21
2016-06-30,$22.64B,$2.48B,9.14
2016-03-31,$22.50B,$2.44B,9.23
2015-12-31,$22.23B,$2.41B,9.21
2015-09-30,$21.67B,$2.40B,9.02
2015-06-30,$21.24B,$2.38B,8.93
2015-03-31,$20.75B,$2.36B,8.81
2014-12-31,$20.21B,$2.32B,8.7
2014-09-30,$19.52B,$2.31B,8.45
2014-06-30,$19.24B,$2.28B,8.42
2014-03-31,$18.94B,$2.24B,8.46
2013-12-31,$18.64B,$2.21B,8.44
2013-09-30,$18.44B,$2.17B,8.51
2013-06-30,$18.20B,$2.13B,8.56
2013-03-31,$17.98B,$2.13B,8.45
2012-12-31,$18.05B,$2.09B,8.62
2012-09-30,$17.75B,$1.98B,8.95
2012-06-30,$17.50B,$1.93B,9.06
2012-03-31,$17.24B,$1.90B,9.1
2011-12-31,$16.87B,$1.85B,9.14
2011-09-30,$16.38B,$1.85B,8.85
2011-06-30,$15.96B,$1.84B,8.66
2011-03-31,$16.14B,$1.83B,8.85
2010-12-31,$16.26B,$1.78B,9.14
2010-09-30,$15.89B,$1.91B,8.34
2010-06-30,$15.86B,$1.88B,8.42
2010-03-31,$16.17B,$1.86B,8.71
2009-12-31,$15.78B,$1.96B,8.06
2009-09-30,$15.91B,$1.90B,8.39
2009-06-30,$15.60B,$1.85B,8.43
2009-03-31,$15.39B,$1.87B,8.25
2008-12-31,$15.70B,$1.88B,8.33
2008-09-30,$15.70B,$1.82B,8.64
2008-06-30,$15.59B,$1.89B,8.24
2008-03-31,$15.53B,$1.72B,9.05
2007-12-31,$15.47B,$1.74B,8.91
2007-09-30,$15.04B,$1.81B,8.33
2007-06-30,$15.11B,$1.84B,8.22
2007-03-31,$14.97B,$1.91B,7.86
2006-12-31,$15.22B,$1.87B,8.12
2006-09-30,$16.46B,$1.68B,9.78
2006-06-30,$16.38B,$1.65B,9.96
2006-03-31,$16.27B,$1.64B,9.91
2005-12-31,$16.19B,$1.65B,9.83
2005-09-30,$16.17B,$1.64B,9.89
2005-06-30,$15.86B,$1.61B,9.85
2005-03-31,$15.85B,$1.56B,10.14
