W.R Berkley Debt/Equity Ratio Historical Data,W.R Berkley Debt/Equity Ratio Historical Data,W.R Berkley Debt/Equity Ratio Historical Data,W.R Berkley Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$0.00B,,0.0
2020-09-30,$22.17B,$6.04B,3.67
2020-06-30,$21.48B,$5.85B,3.67
2020-03-31,$20.55B,$5.54B,3.71
2019-12-31,$20.54B,$6.12B,3.36
2019-09-30,$20.12B,$6.10B,3.3
2019-06-30,$20.47B,$6.02B,3.4
2019-03-31,$19.78B,$5.80B,3.41
2018-12-31,$19.42B,$5.48B,3.54
2018-09-30,$19.38B,$5.48B,3.54
2018-06-30,$19.16B,$5.47B,3.51
2018-03-31,$19.10B,$5.49B,3.48
2017-12-31,$18.85B,$5.45B,3.46
2017-09-30,$18.87B,$5.47B,3.45
2017-06-30,$18.67B,$5.33B,3.51
2017-03-31,$18.33B,$5.22B,3.51
2016-12-31,$18.28B,$5.08B,3.6
2016-09-30,$18.38B,$4.96B,3.71
2016-06-30,$18.09B,$4.94B,3.66
2016-03-31,$17.44B,$4.79B,3.64
2015-12-31,$17.10B,$4.63B,3.69
2015-09-30,$17.12B,$4.62B,3.71
2015-06-30,$17.15B,$4.54B,3.78
2015-03-31,$17.23B,$4.61B,3.74
2014-12-31,$17.09B,$4.62B,3.7
2014-09-30,$17.35B,$4.74B,3.66
2014-06-30,$16.51B,$4.66B,3.55
2014-03-31,$16.29B,$4.41B,3.69
2013-12-31,$16.18B,$4.37B,3.7
2013-09-30,$16.13B,$4.40B,3.67
2013-06-30,$15.95B,$4.27B,3.74
2013-03-31,$15.71B,$4.41B,3.56
2012-12-31,$15.82B,$4.34B,3.65
2012-09-30,$15.60B,$4.33B,3.6
2012-06-30,$15.25B,$4.22B,3.62
2012-03-31,$15.00B,$4.14B,3.63
2011-12-31,$14.44B,$3.96B,3.65
2011-09-30,$14.46B,$3.87B,3.74
2011-06-30,$14.28B,$3.92B,3.64
2011-03-31,$14.19B,$3.80B,3.73
2010-12-31,$13.82B,$3.71B,3.73
2010-09-30,$13.98B,$3.83B,3.65
2010-06-30,$13.73B,$3.69B,3.72
2010-03-31,$13.58B,$3.65B,3.72
2009-12-31,$13.73B,$3.60B,3.81
2009-09-30,$13.78B,$3.61B,3.82
2009-06-30,$13.36B,$3.30B,4.05
2009-03-31,$13.11B,$3.08B,4.26
2008-12-31,$13.07B,$3.05B,4.28
2008-09-30,$13.37B,$3.05B,4.38
2008-06-30,$13.27B,$3.28B,4.05
2008-03-31,$13.39B,$3.45B,3.88
2007-12-31,$13.23B,$3.59B,3.68
2007-09-30,$13.18B,$3.52B,3.75
2007-06-30,$13.06B,$3.57B,3.66
2007-03-31,$13.00B,$3.54B,3.68
2006-12-31,$12.32B,$3.34B,3.69
2006-09-30,$12.35B,$3.10B,3.99
2006-06-30,$11.89B,$2.80B,4.25
2006-03-31,$11.82B,$2.71B,4.36
2005-12-31,$11.33B,$2.57B,4.41
2005-09-30,$11.25B,$2.43B,4.64
2005-06-30,$10.48B,$2.36B,4.44
2005-03-31,$9.99B,$2.17B,4.61
