East West Bancorp Price/Book Ratio Historical Data,East West Bancorp Price/Book Ratio Historical Data,East West Bancorp Price/Book Ratio Historical Data,East West Bancorp Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,74.38,,2.0
2020-12-31,50.46,$37.22,1.36
2020-09-30,32.33,$36.23,0.89
2020-06-30,35.51,$35.25,1.01
2020-03-31,25.02,$34.67,0.72
2019-12-31,47.06,$34.46,1.37
2019-09-30,42.52,$33.54,1.27
2019-06-30,44.65,$32.53,1.37
2019-03-31,45.55,$31.56,1.44
2018-12-31,41.15,$30.52,1.35
2018-09-30,56.82,$29.29,1.94
2018-06-30,61.15,$28.39,2.15
2018-03-31,58.48,$27.46,2.13
2017-12-31,56.71,$26.58,2.13
2017-09-30,55.54,$26.17,2.12
2017-06-30,54.23,$25.40,2.14
2017-03-31,47.61,$24.68,1.93
2016-12-31,46.71,$23.78,1.96
2016-09-30,33.57,$23.44,1.43
2016-06-30,31.07,$22.88,1.36
2016-03-31,29.37,$22.33,1.32
2015-12-31,37.35,$21.70,1.72
2015-09-30,34.36,$21.35,1.61
2015-06-30,39.9,$20.89,1.91
2015-03-31,35.85,$20.43,1.75
2014-12-31,34.11,$19.89,1.71
2014-09-30,29.81,$19.30,1.54
2014-06-30,30.52,$18.84,1.62
2014-03-31,31.67,$18.30,1.73
2013-12-31,30.19,$17.18,1.76
2013-09-30,27.46,$16.78,1.64
2013-06-30,23.52,$16.40,1.43
2013-03-31,21.82,$17.16,1.27
2012-12-31,18.15,$16.98,1.07
2012-09-30,17.75,$16.52,1.07
2012-06-30,19.63,$16.09,1.22
2012-03-31,19.23,$15.76,1.22
2011-12-31,16.38,$15.48,1.06
2011-09-30,12.33,$15.18,0.81
2011-06-30,16.67,$14.99,1.11
2011-03-31,18.07,$14.52,1.24
2010-12-31,16.08,$14.23,1.13
2010-09-30,13.38,$16.12,0.83
2010-06-30,12.53,$15.81,0.79
2010-03-31,14.3,$15.59,0.92
2009-12-31,12.96,$20.78,0.62
2009-09-30,6.8,$16.60,0.41
2009-06-30,5.31,$23.06,0.23
2009-03-31,3.74,$24.00,0.16
2008-12-31,13.03,$24.33,0.54
2008-09-30,11.11,$19.88,0.56
2008-06-30,5.68,$20.05,0.28
2008-03-31,14.19,$17.42,0.81
2007-12-31,19.29,$18.56,1.04
2007-09-30,28.54,$18.53,1.54
2007-06-30,30.78,$17.34,1.77
2007-03-31,29.03,$17.03,1.7
2006-12-31,27.89,$16.59,1.68
2006-09-30,31.15,$16.03,1.94
2006-06-30,29.78,$15.41,1.93
2006-03-31,30.24,$14.91,2.03
