Truist Financial Price/Book Ratio Historical Data,Truist Financial Price/Book Ratio Historical Data,Truist Financial Price/Book Ratio Historical Data,Truist Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,60.02,,1.14
2020-12-31,47.52,$52.57,0.9
2020-09-30,37.37,$51.90,0.72
2020-06-30,36.45,$51.12,0.71
2020-03-31,29.52,$49.03,0.6
2019-12-31,53.48,$49.59,1.08
2019-09-30,50.26,$42.15,1.19
2019-06-30,45.83,$41.47,1.11
2019-03-31,43.04,$40.32,1.07
2018-12-31,39.75,$39.53,1.01
2018-09-30,44.19,$38.94,1.13
2018-06-30,45.56,$38.52,1.18
2018-03-31,46.68,$38.04,1.23
2017-12-31,44.28,$37.97,1.17
2017-09-30,41.51,$37.84,1.1
2017-06-30,39.88,$37.56,1.06
2017-03-31,38.99,$37.01,1.05
2016-12-31,40.75,$36.97,1.1
2016-09-30,32.44,$37.08,0.87
2016-06-30,30.38,$36.52,0.83
2016-03-31,28.15,$36.09,0.78
2015-12-31,31.72,$35.04,0.91
2015-09-30,29.65,$34.95,0.85
2015-06-30,33.35,$34.26,0.97
2015-03-31,32.03,$34.21,0.94
2014-12-31,31.75,$33.82,0.94
2014-09-30,30.19,$33.76,0.89
2014-06-30,31.78,$33.30,0.95
2014-03-31,32.16,$32.79,0.98
2013-12-31,29.7,$32.28,0.92
2013-09-30,26.68,$31.34,0.85
2013-06-30,26.61,$31.29,0.85
2013-03-31,24.47,$30.26,0.81
2012-12-31,22.38,$30.33,0.74
2012-09-30,25.34,$29.35,0.86
2012-06-30,23.42,$27.08,0.86
2012-03-31,23.68,$25.60,0.92
2011-12-31,18.87,$25.07,0.75
2011-09-30,15.88,$25.16,0.63
2011-06-30,19.87,$24.46,0.81
2011-03-31,20.19,$23.94,0.84
2010-12-31,19.23,$23.76,0.81
2010-09-30,17.5,$24.20,0.72
2010-06-30,19.02,$24.16,0.79
2010-03-31,23.31,$23.89,0.98
2009-12-31,18.16,$23.55,0.77
2009-09-30,19.39,$23.48,0.83
2009-06-30,15.53,$22.82,0.68
2009-03-31,11.63,$28.87,0.4
2008-12-31,18.51,$28.75,0.64
2008-09-30,25.11,$23.42,1.07
2008-06-30,14.81,$23.40,0.63
2008-03-31,20.56,$23.49,0.88
2007-12-31,19.34,$23.14,0.84
2007-09-30,25.19,$22.58,1.12
2007-06-30,25.09,$21.97,1.14
2007-03-31,25.03,$21.48,1.17
2006-12-31,26.55,$21.69,1.22
2006-09-30,26.21,$21.70,1.21
2006-06-30,24.64,$20.79,1.18
2006-03-31,23.0,$20.48,1.12
