Sixth Street Specialty Lending ROA - Return on Assets Historical Data,Sixth Street Specialty Lending ROA - Return on Assets Historical Data,Sixth Street Specialty Lending ROA - Return on Assets Historical Data,Sixth Street Specialty Lending ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.18B,$2.34B,8.30%
2020-09-30,$0.16B,$2.14B,7.65%
2020-06-30,$0.11B,$2.02B,5.25%
2020-03-31,$0.06B,$2.08B,2.96%
2019-12-31,$0.16B,$2.28B,7.48%
2019-09-30,$0.13B,$2.07B,6.77%
2019-06-30,$0.14B,$2.09B,7.19%
2019-03-31,$0.12B,$1.85B,6.56%
2018-12-31,$0.12B,$1.73B,6.23%
2018-09-30,$0.13B,$2.01B,6.92%
2018-06-30,$0.12B,$1.98B,6.66%
2018-03-31,$0.12B,$1.93B,6.92%
2017-12-31,$0.11B,$1.72B,6.90%
2017-09-30,$0.12B,$1.58B,7.31%
2017-06-30,$0.13B,$1.59B,7.95%
2017-03-31,$0.15B,$1.61B,9.00%
2016-12-31,$0.14B,$1.68B,8.42%
2016-09-30,$0.10B,$1.67B,6.33%
2016-06-30,$0.07B,$1.63B,4.75%
2016-03-31,$0.06B,$1.58B,3.81%
2015-12-31,$0.06B,$1.51B,4.37%
2015-09-30,$0.08B,$1.43B,5.82%
2015-06-30,$0.09B,$1.46B,6.72%
2015-03-31,$0.08B,$1.37B,6.54%
2014-12-31,$0.09B,$1.30B,6.78%
2014-09-30,$0.09B,$1.28B,7.75%
2014-06-30,$0.09B,$1.18B,8.10%
2014-03-31,$0.08B,$1.25B,7.33%
2013-12-31,$0.07B,$1.04B,7.13%
2013-09-30,$0.06B,$0.93B,6.52%
2013-06-30,$0.06B,$0.93B,6.72%
2013-03-31,$0.05B,$0.81B,6.54%
2012-12-31,$0.04B,$0.83B,5.88%
2012-09-30,$0.03B,$0.71B,5.41%
2012-06-30,$0.02B,$0.65B,3.95%
2012-03-31,$0.01B,$0.53B,2.90%
2011-12-31,$0.00B,$0.33B,0.00%
