Nasdaq Price/Book Ratio Historical Data,Nasdaq Price/Book Ratio Historical Data,Nasdaq Price/Book Ratio Historical Data,Nasdaq Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,156.1,,4.0
2020-12-31,132.29,$39.02,3.39
2020-09-30,121.82,$36.67,3.32
2020-06-30,118.14,$35.05,3.37
2020-03-31,93.49,$32.85,2.85
2019-12-31,104.89,$34.16,3.07
2019-09-30,96.86,$32.50,2.98
2019-06-30,93.32,$33.56,2.78
2019-03-31,84.48,$33.16,2.55
2018-12-31,78.36,$32.99,2.38
2018-09-30,82.0,$34.17,2.4
2018-06-30,86.82,$33.69,2.58
2018-03-31,81.63,$34.29,2.38
2017-12-31,72.42,$35.12,2.06
2017-09-30,72.76,$34.42,2.11
2017-06-30,66.71,$33.51,1.99
2017-03-31,64.47,$32.40,1.99
2016-12-31,62.02,$32.60,1.9
2016-09-30,62.12,$34.83,1.78
2016-06-30,59.2,$34.54,1.71
2016-03-31,60.47,$34.63,1.75
2015-12-31,52.79,$34.13,1.55
2015-09-30,48.18,$33.80,1.43
2015-06-30,43.88,$33.84,1.3
2015-03-31,45.57,$32.82,1.39
2014-12-31,42.78,$34.33,1.25
2014-09-30,37.71,$36.31,1.04
2014-06-30,34.22,$36.82,0.93
2014-03-31,32.59,$36.58,0.89
2013-12-31,35.0,$36.51,0.96
2013-09-30,28.14,$36.18,0.78
2013-06-30,28.62,$35.06,0.82
2013-03-31,28.08,$31.39,0.89
2012-12-31,21.63,$31.45,0.69
2012-09-30,20.06,$31.09,0.65
2012-06-30,19.42,$29.73,0.65
2012-03-31,22.05,$30.03,0.73
2011-12-31,20.86,$28.73,0.73
2011-09-30,19.7,$28.20,0.7
2011-06-30,21.54,$29.14,0.74
2011-03-31,22.0,$28.57,0.77
2010-12-31,20.2,$26.90,0.75
2010-09-30,16.54,$25.67,0.64
2010-06-30,15.14,$23.15,0.65
2010-03-31,17.98,$23.55,0.76
2009-12-31,16.87,$23.39,0.72
2009-09-30,17.92,$23.55,0.76
2009-06-30,18.14,$22.26,0.81
2009-03-31,16.67,$21.07,0.79
2008-12-31,21.03,$21.31,0.99
2008-09-30,26.02,$23.76,1.1
2008-06-30,22.6,$23.59,0.96
2008-03-31,32.91,$23.10,1.42
2007-12-31,42.13,$15.90,2.65
2007-09-30,32.08,$15.69,2.04
2007-06-30,25.29,$14.20,1.78
2007-03-31,25.04,$12.81,1.95
2006-12-31,26.21,$12.98,2.02
2006-09-30,25.74,$11.78,2.19
2006-06-30,25.45,$10.56,2.41
2006-03-31,34.08,$5.61,6.07
