RLI Price/Book Ratio Historical Data,RLI Price/Book Ratio Historical Data,RLI Price/Book Ratio Historical Data,RLI Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,114.68,,4.56
2020-12-31,103.91,$25.16,4.13
2020-09-30,82.5,$24.40,3.38
2020-06-30,80.69,$23.39,3.45
2020-03-31,86.16,$20.38,4.23
2019-12-31,87.97,$22.18,3.97
2019-09-30,89.68,$22.30,4.02
2019-06-30,82.52,$21.43,3.85
2019-03-31,68.89,$20.08,3.43
2018-12-31,66.04,$18.13,3.64
2018-09-30,75.22,$19.60,3.84
2018-06-30,63.18,$19.17,3.3
2018-03-31,60.31,$18.82,3.2
2017-12-31,57.51,$19.33,2.97
2017-09-30,52.67,$19.95,2.64
2017-06-30,49.96,$19.93,2.51
2017-03-31,54.69,$19.28,2.84
2016-12-31,57.33,$18.74,3.06
2016-09-30,59.93,$21.01,2.85
2016-06-30,60.13,$20.87,2.88
2016-03-31,58.27,$19.97,2.92
2015-12-31,53.66,$18.91,2.84
2015-09-30,44.9,$20.36,2.21
2015-06-30,42.95,$20.07,2.14
2015-03-31,43.64,$19.96,2.19
2014-12-31,40.98,$19.61,2.09
2014-09-30,33.6,$21.70,1.55
2014-06-30,35.39,$21.37,1.66
2014-03-31,34.06,$20.23,1.68
2013-12-31,37.34,$19.29,1.94
2013-09-30,32.45,$19.92,1.63
2013-06-30,28.24,$19.32,1.46
2013-03-31,26.43,$19.58,1.35
2012-12-31,23.68,$18.73,1.26
2012-09-30,22.57,$21.07,1.07
2012-06-30,22.98,$20.12,1.14
2012-03-31,24.02,$19.54,1.23
2011-12-31,24.33,$18.73,1.3
2011-09-30,19.69,$20.58,0.96
2011-06-30,19.09,$20.51,0.93
2011-03-31,17.68,$19.47,0.91
2010-12-31,16.04,$18.87,0.85
2010-09-30,15.18,$21.77,0.7
2010-06-30,14.0,$20.51,0.68
2010-03-31,15.13,$20.14,0.75
2009-12-31,14.06,$19.57,0.72
2009-09-30,13.86,$19.12,0.73
2009-06-30,11.71,$17.66,0.66
2009-03-31,13.04,$16.47,0.79
2008-12-31,15.8,$16.49,0.96
2008-09-30,15.97,$16.78,0.95
2008-06-30,12.68,$17.36,0.73
2008-03-31,12.64,$17.29,0.73
2007-12-31,14.41,$17.48,0.82
2007-09-30,14.34,$17.59,0.82
2007-06-30,14.09,$16.50,0.85
2007-03-31,13.78,$16.00,0.86
2006-12-31,14.1,$15.58,0.9
2006-09-30,12.65,$14.49,0.87
2006-06-30,11.96,$13.60,0.88
2006-03-31,14.16,$13.74,1.03
