Wells Fargo Debt/Equity Ratio Historical Data,Wells Fargo Debt/Equity Ratio Historical Data,Wells Fargo Debt/Equity Ratio Historical Data,Wells Fargo Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,"$1,769.24B",$185.92B,9.52
2020-09-30,"$1,740.19B",$182.03B,9.56
2020-06-30,"$1,788.64B",$180.12B,9.93
2020-03-31,"$1,798.02B",$183.33B,9.81
2019-12-31,"$1,739.57B",$187.98B,9.25
2019-09-30,"$1,749.53B",$194.42B,9.0
2019-06-30,"$1,723.35B",$200.04B,8.62
2019-03-31,"$1,689.06B",$198.73B,8.5
2018-12-31,"$1,698.82B",$197.07B,8.62
2018-09-30,"$1,673.30B",$199.68B,8.38
2018-06-30,"$1,673.63B",$206.07B,8.12
2018-03-31,"$1,709.48B",$205.91B,8.3
2017-12-31,"$1,743.68B",$208.08B,8.38
2017-09-30,"$1,728.12B",$206.82B,8.36
2017-06-30,"$1,724.73B",$206.15B,8.37
2017-03-31,"$1,749.08B",$202.49B,8.64
2016-12-31,"$1,729.62B",$200.50B,8.63
2016-09-30,"$1,738.17B",$203.96B,8.52
2016-06-30,"$1,686.57B",$202.66B,8.32
2016-03-31,"$1,650.68B",$198.50B,8.32
2015-12-31,"$1,593.74B",$193.89B,8.22
2015-09-30,"$1,557.22B",$194.04B,8.03
2015-06-30,"$1,529.94B",$190.68B,8.02
2015-03-31,"$1,547.77B",$189.96B,8.15
2014-12-31,"$1,501.89B",$185.26B,8.11
2014-09-30,"$1,453.87B",$182.99B,7.95
2014-06-30,"$1,417.33B",$181.55B,7.81
2014-03-31,"$1,370.24B",$176.47B,7.77
2013-12-31,"$1,352.49B",$171.01B,7.91
2013-09-30,"$1,319.24B",$168.81B,7.82
2013-06-30,"$1,276.79B",$163.78B,7.8
2013-03-31,"$1,273.24B",$163.40B,7.79
2012-12-31,"$1,264.06B",$158.91B,7.95
2012-09-30,"$1,218.66B",$156.06B,7.81
2012-06-30,"$1,186.77B",$149.44B,7.94
2012-03-31,"$1,186.95B",$146.85B,8.08
2011-12-31,"$1,172.18B",$141.69B,8.27
2011-09-30,"$1,165.70B",$139.24B,8.37
2011-06-30,"$1,121.82B",$137.92B,8.13
2011-03-31,"$1,109.72B",$134.94B,8.22
2010-12-31,"$1,130.24B",$127.89B,8.84
2010-09-30,"$1,095.62B",$125.17B,8.75
2010-06-30,"$1,104.46B",$121.40B,9.1
2010-03-31,"$1,105.48B",$118.15B,9.36
2009-12-31,"$1,129.29B",$114.36B,9.88
2009-09-30,"$1,099.70B",$128.92B,8.53
2009-06-30,"$1,162.79B",$121.38B,9.58
2009-03-31,"$1,178.83B",$107.06B,11.01
2008-12-31,"$1,207.32B",$102.32B,11.8
2008-09-30,$575.40B,$46.96B,12.25
2008-06-30,$561.11B,$47.96B,11.7
2008-03-31,$546.78B,$48.44B,11.29
2007-12-31,$527.81B,$47.63B,11.08
2007-09-30,$501.16B,$47.57B,10.54
2007-06-30,$492.63B,$47.24B,10.43
2007-03-31,$439.83B,$46.07B,9.55
2006-12-31,$436.18B,$45.81B,9.52
2006-09-30,$438.58B,$44.86B,9.78
2006-06-30,$457.62B,$41.89B,10.92
2006-03-31,$450.47B,$41.96B,10.74
2005-12-31,$441.08B,$40.66B,10.85
2005-09-30,$413.66B,$39.84B,10.38
2005-06-30,$395.70B,$39.28B,10.07
2005-03-31,$397.17B,$38.48B,10.32
