American Express Debt/Equity Ratio Historical Data,American Express Debt/Equity Ratio Historical Data,American Express Debt/Equity Ratio Historical Data,American Express Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$168.38B,$22.98B,7.33
2020-09-30,$165.39B,$21.87B,7.56
2020-06-30,$167.55B,$21.06B,7.96
2020-03-31,$165.05B,$21.01B,7.86
2019-12-31,$175.25B,$23.07B,7.6
2019-09-30,$171.16B,$23.03B,7.43
2019-06-30,$174.51B,$23.09B,7.56
2019-03-31,$174.98B,$22.22B,7.88
2018-12-31,$166.31B,$22.29B,7.46
2018-09-30,$167.63B,$21.46B,7.81
2018-06-30,$163.97B,$20.89B,7.85
2018-03-31,$160.34B,$19.61B,8.18
2017-12-31,$162.94B,$18.26B,8.92
2017-09-30,$147.49B,$21.09B,7.0
2017-06-30,$145.82B,$21.18B,6.89
2017-03-31,$140.45B,$20.94B,6.71
2016-12-31,$138.39B,$20.50B,6.75
2016-09-30,$132.36B,$21.02B,6.3
2016-06-30,$138.93B,$20.71B,6.71
2016-03-31,$138.09B,$20.73B,6.66
2015-12-31,$140.51B,$20.67B,6.8
2015-09-30,$132.88B,$21.34B,6.23
2015-06-30,$135.27B,$21.89B,6.18
2015-03-31,$132.85B,$21.83B,6.09
2014-12-31,$138.43B,$20.67B,6.7
2014-09-30,$133.65B,$20.22B,6.61
2014-06-30,$132.17B,$20.21B,6.54
2014-03-31,$131.52B,$19.98B,6.58
2013-12-31,$133.88B,$19.50B,6.87
2013-09-30,$130.89B,$19.22B,6.81
2013-06-30,$132.90B,$19.03B,6.98
2013-03-31,$137.57B,$19.29B,7.13
2012-12-31,$134.25B,$18.89B,7.11
2012-09-30,$133.40B,$19.48B,6.85
2012-06-30,$128.86B,$19.27B,6.69
2012-03-31,$131.88B,$19.91B,6.63
2011-12-31,$134.54B,$18.79B,7.16
2011-09-30,$130.59B,$18.10B,7.22
2011-06-30,$129.59B,$18.21B,7.12
2011-03-31,$126.50B,$17.48B,7.24
2010-12-31,$130.46B,$16.23B,8.04
2010-09-30,$130.14B,$15.92B,8.17
2010-06-30,$129.25B,$14.51B,8.91
2010-03-31,$129.89B,$13.43B,9.68
2009-12-31,$110.74B,$14.41B,7.69
2009-09-30,$106.50B,$13.94B,7.64
2009-06-30,$103.62B,$13.42B,7.72
2009-03-31,$105.40B,$15.78B,6.68
2008-12-31,$114.23B,$11.84B,9.65
2008-09-30,$114.70B,$12.52B,9.16
2008-06-30,$125.06B,$12.27B,10.19
2008-03-31,$123.78B,$11.51B,10.75
2007-12-31,$138.71B,$11.03B,12.58
2007-09-30,$130.03B,$10.90B,11.93
2007-06-30,$123.74B,$10.64B,11.64
2007-03-31,$115.87B,$10.50B,11.04
2006-12-31,$117.82B,$10.51B,11.21
2006-09-30,$110.18B,$10.76B,10.24
2006-06-30,$106.81B,$10.48B,10.2
2006-03-31,$99.46B,$10.61B,9.38
2005-12-31,$103.41B,$10.55B,9.8
2005-09-30,$98.92B,$9.90B,9.99
2005-06-30,$178.58B,$17.16B,10.4
2005-03-31,$173.44B,$16.13B,10.75
