Bank Of New York Mellon Debt/Equity Ratio Historical Data,Bank Of New York Mellon Debt/Equity Ratio Historical Data,Bank Of New York Mellon Debt/Equity Ratio Historical Data,Bank Of New York Mellon Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$423.69B,$45.94B,9.22
2020-09-30,$383.23B,$45.17B,8.49
2020-06-30,$398.51B,$43.81B,9.1
2020-03-31,$426.92B,$41.24B,10.35
2019-12-31,$339.92B,$41.59B,8.17
2019-09-30,$331.85B,$41.32B,8.03
2019-06-30,$339.47B,$41.70B,8.14
2019-03-31,$304.79B,$41.35B,7.37
2018-12-31,$322.13B,$40.74B,7.91
2018-09-30,$308.12B,$41.65B,7.4
2018-06-30,$311.37B,$41.56B,7.49
2018-03-31,$331.66B,$41.94B,7.91
2017-12-31,$330.19B,$41.57B,7.94
2017-09-30,$313.49B,$40.91B,7.66
2017-06-30,$314.50B,$40.32B,7.8
2017-03-31,$297.86B,$39.67B,7.51
2016-12-31,$294.04B,$39.43B,7.46
2016-09-30,$333.92B,$40.20B,8.31
2016-06-30,$333.23B,$39.13B,8.52
2016-03-31,$333.75B,$39.12B,8.53
2015-12-31,$355.01B,$38.78B,9.16
2015-09-30,$338.42B,$38.95B,8.69
2015-06-30,$356.07B,$39.18B,9.09
2015-03-31,$360.42B,$38.67B,9.32
2014-12-31,$346.83B,$38.47B,9.02
2014-09-30,$346.94B,$39.35B,8.82
2014-06-30,$361.51B,$39.24B,9.21
2014-03-31,$329.48B,$38.76B,8.5
2013-12-31,$336.24B,$38.28B,8.78
2013-09-30,$334.17B,$37.78B,8.85
2013-06-30,$323.76B,$36.74B,8.81
2013-03-31,$319.45B,$36.50B,8.75
2012-12-31,$321.73B,$37.26B,8.63
2012-09-30,$302.81B,$37.14B,8.15
2012-06-30,$294.90B,$35.39B,8.33
2012-03-31,$265.46B,$34.71B,7.65
2011-12-31,$291.18B,$34.09B,8.54
2011-09-30,$287.78B,$34.41B,8.37
2011-06-30,$270.10B,$34.61B,7.81
2011-03-31,$232.41B,$34.04B,6.83
2010-12-31,$214.19B,$33.07B,6.48
2010-09-30,$221.31B,$32.85B,6.74
2010-06-30,$204.59B,$31.11B,6.58
2010-03-31,$190.10B,$30.46B,6.24
2009-12-31,$183.22B,$29.00B,6.32
2009-09-30,$183.69B,$28.32B,6.49
2009-06-30,$175.71B,$27.30B,6.44
2009-03-31,$175.24B,$28.24B,6.21
2008-12-31,$209.42B,$28.09B,7.46
2008-09-30,$240.00B,$27.51B,8.72
2008-06-30,$172.66B,$28.57B,6.04
2008-03-31,$176.46B,$28.48B,6.2
2007-12-31,$168.25B,$29.40B,5.72
2007-09-30,$155.02B,$28.96B,5.35
2007-06-30,$114.50B,$11.83B,9.68
2007-03-31,$88.32B,$11.53B,7.66
2006-12-31,$91.78B,$11.43B,8.03
2006-09-30,$96.17B,$10.47B,9.19
2006-06-30,$98.83B,$10.06B,9.83
2006-03-31,$93.51B,$10.10B,9.26
2005-12-31,$92.24B,$9.88B,9.34
2005-09-30,$92.16B,$9.61B,9.59
2005-06-30,$93.59B,$9.47B,9.88
2005-03-31,$87.20B,$9.34B,9.34
