JPMorgan Chase Price/Book Ratio Historical Data,JPMorgan Chase Price/Book Ratio Historical Data,JPMorgan Chase Price/Book Ratio Historical Data,JPMorgan Chase Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,156.28,,1.71
2020-12-31,125.43,$91.61,1.37
2020-09-30,94.17,$88.94,1.06
2020-06-30,91.13,$86.78,1.05
2020-03-31,86.3,$85.74,1.01
2019-12-31,132.76,$84.74,1.57
2019-09-30,111.19,$84.28,1.32
2019-06-30,104.88,$82.32,1.27
2019-03-31,94.25,$80.10,1.18
2018-12-31,90.15,$78.31,1.15
2018-09-30,103.48,$77.87,1.33
2018-06-30,95.05,$76.60,1.24
2018-03-31,99.81,$75.25,1.33
2017-12-31,96.56,$74.65,1.29
2017-09-30,85.75,$74.47,1.15
2017-06-30,81.62,$73.45,1.11
2017-03-31,77.99,$72.02,1.08
2016-12-31,76.2,$71.38,1.07
2016-09-30,58.38,$71.08,0.82
2016-06-30,54.06,$69.88,0.77
2016-03-31,51.14,$68.41,0.75
2015-12-31,56.62,$67.58,0.84
2015-09-30,51.91,$66.75,0.78
2015-06-30,57.32,$65.22,0.88
2015-03-31,50.91,$63.56,0.8
2014-12-31,52.25,$62.38,0.84
2014-09-30,49.96,$61.87,0.81
2014-06-30,47.46,$60.44,0.79
2014-03-31,49.69,$58.04,0.86
2013-12-31,47.55,$56.22,0.85
2013-09-30,41.73,$54.98,0.76
2013-06-30,42.31,$55.52,0.76
2013-03-31,37.8,$54.64,0.69
2012-12-31,34.78,$53.65,0.65
2012-09-30,31.79,$52.56,0.6
2012-06-30,27.83,$50.46,0.55
2012-03-31,35.57,$49.52,0.72
2011-12-31,25.54,$48.66,0.52
2011-09-30,22.95,$47.98,0.48
2011-06-30,31.01,$46.77,0.66
2011-03-31,34.73,$45.30,0.77
2010-12-31,31.92,$45.04,0.71
2010-09-30,28.6,$44.28,0.65
2010-06-30,27.47,$43.04,0.64
2010-03-31,33.51,$41.44,0.81
2009-12-31,31.16,$41.95,0.74
2009-09-30,32.77,$41.19,0.8
2009-06-30,25.47,$39.44,0.65
2009-03-31,19.81,$45.29,0.44
2008-12-31,23.22,$44.71,0.52
2008-09-30,34.13,$39.13,0.87
2008-06-30,24.8,$38.76,0.64
2008-03-31,30.79,$36.94,0.83
2007-12-31,31.02,$36.59,0.85
2007-09-30,32.3,$35.72,0.9
2007-06-30,33.89,$35.08,0.97
2007-03-31,33.6,$34.45,0.98
2006-12-31,33.31,$33.45,1.0
2006-09-30,32.16,$32.75,0.98
2006-06-30,28.54,$31.89,0.89
2006-03-31,28.07,$31.19,0.9
