JPMorgan Chase Debt/Equity Ratio Historical Data,JPMorgan Chase Debt/Equity Ratio Historical Data,JPMorgan Chase Debt/Equity Ratio Historical Data,JPMorgan Chase Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,"$3,106.72B",$279.35B,11.12
2020-09-30,"$2,974.96B",$271.11B,10.97
2020-06-30,"$2,948.65B",$264.47B,11.15
2020-03-31,"$2,878.17B",$261.26B,11.02
2019-12-31,"$2,426.05B",$261.33B,9.28
2019-09-30,"$2,500.31B",$264.35B,9.46
2019-06-30,"$2,464.16B",$263.22B,9.36
2019-03-31,"$2,477.35B",$259.84B,9.53
2018-12-31,"$2,366.02B",$256.52B,9.22
2018-09-30,"$2,356.23B",$258.96B,9.1
2018-06-30,"$2,332.59B",$257.46B,9.06
2018-03-31,"$2,353.58B",$256.20B,9.19
2017-12-31,"$2,277.91B",$255.69B,8.91
2017-09-30,"$2,304.69B",$258.38B,8.92
2017-06-30,"$2,304.69B",$258.48B,8.92
2017-03-31,"$2,290.43B",$255.86B,8.95
2016-12-31,"$2,236.78B",$254.19B,8.8
2016-09-30,"$2,266.70B",$254.33B,8.91
2016-06-30,"$2,213.67B",$252.42B,8.77
2016-03-31,"$2,173.65B",$250.16B,8.69
2015-12-31,"$2,104.13B",$247.57B,8.5
2015-09-30,"$2,171.39B",$245.73B,8.84
2015-06-30,"$2,208.39B",$241.21B,9.16
2015-03-31,"$2,341.28B",$235.86B,9.93
2014-12-31,"$2,340.55B",$231.73B,10.1
2014-09-30,"$2,295.73B",$231.28B,9.93
2014-06-30,"$2,293.02B",$227.31B,10.09
2014-03-31,"$2,257.33B",$219.66B,10.28
2013-12-31,"$2,204.51B",$211.18B,10.44
2013-09-30,"$2,256.64B",$206.67B,10.92
2013-06-30,"$2,230.26B",$209.24B,10.66
2013-03-31,"$2,182.26B",$207.09B,10.54
2012-12-31,"$2,155.07B",$204.07B,10.56
2012-09-30,"$2,121.59B",$199.69B,10.62
2012-06-30,"$2,098.57B",$191.57B,10.95
2012-03-31,"$2,130.90B",$189.27B,11.26
2011-12-31,"$2,082.22B",$183.57B,11.34
2011-09-30,"$2,106.95B",$182.29B,11.56
2011-06-30,"$2,063.89B",$182.88B,11.29
2011-03-31,"$2,017.56B",$180.60B,11.17
2010-12-31,"$1,941.50B",$176.11B,11.03
2010-09-30,"$1,967.77B",$173.83B,11.32
2010-06-30,"$1,842.90B",$171.12B,10.77
2010-03-31,"$1,971.08B",$164.72B,11.97
2009-12-31,"$1,866.62B",$165.37B,11.29
2009-09-30,"$1,878.76B",$162.25B,11.58
2009-06-30,"$1,871.88B",$154.77B,12.1
2009-03-31,"$1,908.99B",$170.19B,11.22
2008-12-31,"$2,008.17B",$166.88B,12.03
2008-09-30,"$2,105.63B",$145.84B,14.44
2008-06-30,"$1,642.49B",$133.18B,12.33
2008-03-31,"$1,517.24B",$125.63B,12.08
2007-12-31,"$1,438.93B",$123.22B,11.68
2007-09-30,"$1,359.60B",$119.98B,11.33
2007-06-30,"$1,338.83B",$119.21B,11.23
2007-03-31,"$1,291.21B",$117.70B,10.97
2006-12-31,"$1,235.73B",$115.79B,10.67
2006-09-30,"$1,224.47B",$113.56B,10.78
2006-06-30,"$1,217.32B",$110.68B,11.0
2006-03-31,"$1,164.95B",$108.34B,10.75
2005-12-31,"$1,091.73B",$107.21B,10.18
2005-09-30,"$1,096.90B",$106.14B,10.34
2005-06-30,"$1,065.90B",$105.39B,10.11
2005-03-31,"$1,072.97B",$105.34B,10.19
