Globe Life Debt/Equity Ratio Historical Data,Globe Life Debt/Equity Ratio Historical Data,Globe Life Debt/Equity Ratio Historical Data,Globe Life Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$20.28B,$8.77B,2.31
2020-09-30,$19.82B,$8.23B,2.41
2020-06-30,$19.69B,$7.85B,2.51
2020-03-31,$18.83B,$6.52B,2.89
2019-12-31,$18.68B,$7.29B,2.56
2019-09-30,$18.48B,$7.31B,2.53
2019-06-30,$18.16B,$6.70B,2.71
2019-03-31,$18.09B,$6.04B,2.99
2018-12-31,$17.68B,$5.42B,3.27
2018-09-30,$17.93B,$5.54B,3.24
2018-06-30,$17.31B,$5.57B,3.11
2018-03-31,$17.36B,$5.82B,2.98
2017-12-31,$17.24B,$6.23B,2.77
2017-09-30,$17.83B,$5.17B,3.45
2017-06-30,$17.53B,$5.05B,3.47
2017-03-31,$17.34B,$4.75B,3.66
2016-12-31,$16.87B,$4.57B,3.69
2016-09-30,$16.99B,$5.09B,3.34
2016-06-30,$16.70B,$4.88B,3.42
2016-03-31,$16.23B,$4.39B,3.7
2015-12-31,$15.80B,$4.06B,3.9
2015-09-30,$15.84B,$4.28B,3.7
2015-06-30,$15.72B,$4.31B,3.65
2015-03-31,$15.81B,$4.88B,3.24
2014-12-31,$15.58B,$4.70B,3.32
2014-09-30,$15.34B,$4.53B,3.39
2014-06-30,$15.14B,$4.51B,3.36
2014-03-31,$14.88B,$4.19B,3.55
2013-12-31,$14.42B,$3.78B,3.82
2013-09-30,$14.36B,$3.78B,3.8
2013-06-30,$14.32B,$3.82B,3.75
2013-03-31,$14.57B,$4.31B,3.39
2012-12-31,$14.42B,$4.36B,3.31
2012-09-30,$13.63B,$4.31B,3.16
2012-06-30,$13.19B,$4.00B,3.3
2012-03-31,$12.90B,$3.83B,3.37
2011-12-31,$12.73B,$3.86B,3.3
2011-09-30,$12.79B,$4.18B,3.06
2011-06-30,$12.44B,$3.78B,3.29
2011-03-31,$12.37B,$3.96B,3.12
2010-12-31,$12.14B,$4.02B,3.02
2010-09-30,$13.45B,$4.27B,3.15
2010-06-30,$13.01B,$3.95B,3.3
2010-03-31,$12.92B,$3.68B,3.52
2009-12-31,$12.63B,$3.40B,3.71
2009-09-30,$12.54B,$3.32B,3.78
2009-06-30,$12.09B,$2.62B,4.61
2009-03-31,$11.27B,$1.98B,5.71
2008-12-31,$11.31B,$2.22B,5.09
2008-09-30,$11.51B,$2.44B,4.72
2008-06-30,$11.77B,$2.97B,3.96
2008-03-31,$11.89B,$3.08B,3.86
2007-12-31,$11.92B,$3.33B,3.58
2007-09-30,$11.89B,$3.26B,3.64
2007-06-30,$11.85B,$3.25B,3.65
2007-03-31,$11.66B,$3.40B,3.43
2006-12-31,$11.52B,$3.46B,3.33
2006-09-30,$11.57B,$3.37B,3.44
2006-06-30,$11.66B,$3.13B,3.73
2006-03-31,$11.53B,$3.22B,3.58
2005-12-31,$11.34B,$3.43B,3.3
2005-09-30,$11.30B,$3.36B,3.36
2005-06-30,$11.20B,$3.46B,3.24
2005-03-31,$10.88B,$3.28B,3.32
