Bank Of America Debt/Equity Ratio Historical Data,Bank Of America Debt/Equity Ratio Historical Data,Bank Of America Debt/Equity Ratio Historical Data,Bank Of America Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,"$2,546.70B",$272.92B,9.33
2020-09-30,"$2,469.60B",$268.85B,9.19
2020-06-30,"$2,476.05B",$265.64B,9.32
2020-03-31,"$2,355.04B",$264.92B,8.89
2019-12-31,"$2,169.27B",$264.81B,8.19
2019-09-30,"$2,157.94B",$268.39B,8.04
2019-06-30,"$2,124.48B",$271.41B,7.83
2019-03-31,"$2,110.15B",$267.01B,7.9
2018-12-31,"$2,089.18B",$265.33B,7.87
2018-09-30,"$2,076.68B",$262.16B,7.92
2018-06-30,"$2,027.45B",$264.22B,7.67
2018-03-31,"$2,062.25B",$266.22B,7.75
2017-12-31,"$2,014.09B",$267.15B,7.54
2017-09-30,"$2,011.44B",$272.46B,7.38
2017-06-30,"$1,983.54B",$270.99B,7.32
2017-03-31,"$1,979.55B",$268.15B,7.38
2016-12-31,"$1,921.87B",$266.20B,7.22
2016-09-30,"$1,925.23B",$270.08B,7.13
2016-06-30,"$1,919.54B",$267.07B,7.19
2016-03-31,"$1,922.72B",$262.78B,7.32
2015-12-31,"$1,888.11B",$256.18B,7.37
2015-09-30,"$1,897.10B",$255.91B,7.41
2015-06-30,"$1,897.38B",$251.66B,7.54
2015-03-31,"$1,893.36B",$250.19B,7.57
2014-12-31,"$1,861.06B",$243.47B,7.64
2014-09-30,"$1,884.93B",$238.68B,7.9
2014-06-30,"$1,933.15B",$237.41B,8.14
2014-03-31,"$1,917.96B",$231.89B,8.27
2013-12-31,"$1,869.59B",$232.69B,8.04
2013-09-30,"$1,894.37B",$232.28B,8.16
2013-06-30,"$1,892.29B",$231.03B,8.19
2013-03-31,"$1,937.53B",$237.29B,8.17
2012-12-31,"$1,973.02B",$236.96B,8.33
2012-09-30,"$1,927.56B",$238.61B,8.08
2012-06-30,"$1,924.88B",$235.98B,8.16
2012-03-31,"$1,948.95B",$232.50B,8.38
2011-12-31,"$1,898.95B",$230.10B,8.25
2011-09-30,"$1,989.38B",$230.25B,8.64
2011-06-30,"$2,039.14B",$222.18B,9.18
2011-03-31,"$2,043.66B",$230.88B,8.85
2010-12-31,"$2,036.66B",$228.25B,8.92
2010-09-30,"$2,109.17B",$230.50B,9.15
2010-06-30,"$2,130.70B",$233.17B,9.14
2010-03-31,"$2,108.88B",$229.82B,9.18
2009-12-31,"$1,998.79B",$231.44B,8.64
2009-09-30,"$1,993.36B",$257.68B,7.74
2009-06-30,"$1,999.24B",$255.15B,7.84
2009-03-31,"$2,082.41B",$239.55B,8.69
2008-12-31,"$1,640.89B",$177.05B,9.27
2008-09-30,"$1,670.14B",$161.04B,10.37
2008-06-30,"$1,554.18B",$162.69B,9.55
2008-03-31,"$1,580.19B",$156.31B,10.11
2007-12-31,"$1,568.94B",$146.80B,10.69
2007-09-30,"$1,440.25B",$138.51B,10.4
2007-06-30,"$1,398.61B",$135.75B,10.3
2007-03-31,"$1,367.30B",$134.86B,10.14
2006-12-31,"$1,324.47B",$135.27B,9.79
2006-09-30,"$1,315.61B",$133.60B,9.85
2006-06-30,"$1,317.35B",$127.84B,10.31
2006-03-31,"$1,245.65B",$129.43B,9.62
2005-12-31,"$1,190.27B",$101.53B,11.72
2005-09-30,"$1,151.00B",$101.26B,11.37
2005-06-30,"$1,145.79B",$100.54B,11.4
2005-03-31,"$1,113.72B",$98.52B,11.31
